半夏,天南星,辰砂,陈皮,皂,腻粉
半夏,紫菀,杏仁,葶苈,桔梗,陈皮
贝母,紫菀,杏仁,葶苈,马兜铃,款冬花
半夏,杏仁,葶苈,款冬花,桔梗,陈皮
檀香,柿霜,硼砂,紫苏,白葛粉,白冰糖
半夏,紫菀,远志,杏仁,葶苈,桔梗
天南星,乳香,梅冰片,节白附,赤金箔,净全蝎
半夏,京三棱,陈皮,黑牵牛,青皮,枳壳
天南星,蝉壳,僵蚕,蜈蚣,朱砂,乳香
天竺黄,胆南星,片脑,僵蚕,白附,朱砂
半夏,天南星,金箔,龙脑,丁香,天麻
半夏,芍药,前胡,旋覆花,麻黄,荆芥
半夏,当归,陈皮,茯苓,熟地,甘草
川甜消,干葛,大黄,甘草
贝母,半夏,天南星,葶苈,麦芽,腹皮
半夏,天南星,皂角,白矾
白芥子,透骨草,芍药,橘络,鸡血藤膏,片姜黄
半夏,夏枯草,天麻,秦艽,羌活,杭白菊
海粉,瓜蒌仁,桔梗,陈皮,青黛,竹沥
天南星,当归,陈皮,天麻,羌活,肉桂
天南星,远志,僵蚕,全蝎,天麻,白附子
贝母,半夏,杏仁,桔梗,陈皮,紫苏
贝母,杏仁,桔梗,陈皮,紫苏,前胡
贝母,半夏,杏仁,桔梗,陈皮,紫苏
贝母,紫菀,小蓟,丹皮,桃仁,滑石
海藻,大青叶,党参,柴胡,黄芪,板蓝根
贝母,柴胡,当归,白术,陈皮,地骨皮
贝母,远志,桔梗,柴胡,赤苓,银花
贝母,半夏,紫菀,远志,杏仁,款冬花
贝母,半夏,紫菀,杏仁,款冬花,桔梗
贝母,半夏,紫菀,杏仁,马兜铃,陈皮
贝母,杏仁,陈皮,净金灯,五味子,米壳
贝母,半夏,紫菀,杏仁,款冬花,桔梗
贝母,半夏,紫菀,杏仁,桔梗,瓜蒌皮
半夏,莱菔,白术,陈皮,连翘,茯苓
半夏,白术,陈皮,枳实
半夏,桔梗,陈皮,黄芩,黑山栀,茯苓
紫菀,四季青,鱼腥草,金荞麦,前胡,麻黄
天竺黄,胆南星,僵蚕,朱砂,羚羊,天麻
杏仁,米仁,五味子,百合,麦门冬,知母
半夏,天南星,白芥子,杏仁,麦芽,桔梗
贝母,杏仁,桔梗,片芩,麻黄,石膏
半夏,杏仁,1,栝楼,小枳实,广皮红
半夏,杏仁,桔梗,当归,干姜,陈皮
半夏,青皮,草果,生姜,广皮,人参
半夏,桔梗,黄柏,黄芩,黄连,栀子
半夏,柴胡,桔梗,当归,白术,陈皮
半夏,粉草,陈皮,益智,茯苓,香附
半夏,党参,白术,桂枝,三七,干姜炭
贝母,党参,麦冬,五味子,沙参,熟地
紫菀,旋复花,桔梗,嫩苏梗,陈皮,白前
半夏,白术,干姜,陈皮,五味子,茯苓
半夏,竹茹,柴胡,桔梗,陈皮,麦冬
半夏,竹茹,钩藤,陈皮,生磁石,枳实
远志,杏仁,琥珀粉,羚羊粉,当归,佩兰
半夏,白术,陈皮,紫苏,北梗,辣桂
远志,菖蒲,琥珀,郁金,茯苓,人参
半夏,远志,紫苏,茯苓,厚朴,茯神
半夏,天南星,益智仁,陈皮,枳实,白豆蔻
半夏,紫苏,菖蒲,茯苓,厚朴,木香
杏仁,刀豆子,藕节,玫瑰花,生瓦楞,当归
半夏,海藻,党参,夏枯草,当归,白术
半夏,桔梗,白术,前胡,枳实,茯苓
杏仁,款冬花,桔梗,麦冬,黄芩,枇杷叶
半夏,昆布,海藻,白僵蚕,当归,白术
半夏,竹茹,桔梗,当归,地黄,陈皮
半夏,茅术,陈皮,茯苓,枳壳,生姜
玄明粉,柿霜,白粉,硼砂,薄荷,寒水石
胆南星,蒌皮,蒌子,苏叶子,于术,羚羊
竹茹,焦三仙,干青果,陈皮
三仙饮,炙桑白皮
焦三仙,陈皮
胆南星,苏合油3毫升,钩蘑,僵蚕,当归,杭芍
贝母,海藻,漏芦,柴胡,元参,连翘
半夏,干姜,桂枝,黄芩,麻黄,白芍
半夏,天南星,桔梗,辰砂,栝楼,陈皮
贝母,半夏,柴胡,当归,白术,陈皮
贝母,半夏,天南星,芍药,栝楼,白术
穿心莲,百部,玉竹,葎草,黄精,白及
倭硫,朱砂
半夏,半夏,桔梗,陈皮,紫苏,净洗
杏仁,陈皮,薄荷,桂枝,苏叶,麻黄
杏仁,葶苈,天冬,木通,石膏,百合
半夏,醋2500毫升
钟乳粉,款冬花,川姜,白术,人参,甘草
杏仁,款冬花,麻黄,甘草
榔片,生芍,川朴,灵脂,陈皮,玄胡
半夏,桔梗,枳壳,桂
生老姜,厚朴
半夏,天南星,葶苈,白术,黑牵牛,或加旋复花
半夏,京三棱,大腹子,青皮,木香
生龙脑,生犀角,朱砂,麦门冬,栀子,茯苓
生龙脑,生犀角,朱砂,麦门冬,栀子,茯苓
鸡苏叶,桔梗,龙脑,黍粘子,紫苏,瓜蒌根
半夏,天南星,草龙脑,白矾
半夏,白术,龙骨,附片,牡蛎,茯苓
白芥子,杏仁,蛤壳,龙延香,瓜蒌皮,紫苏
白芥子,杏仁,蛤壳,回克,瓜蒌皮,紫苏
白芥子,杏仁,蛤壳,桅子,瓜萎皮,紫苏
万年干,青礞石,硼砂,石膏
淡条芩,京元参,细川连,上广皮,桔梗,香附
橘叶,栝楼,连翘,皂角刺,川芎,青皮
紫菀,杏仁,款冬花,桔梗,紫苏,五味子
新鲜萝卜约,粳米
新鲜白萝卜
贝母,莱菔,冰糖,白糖,豆腐皮,白果仁
莱菔,粳米
莱菔
贝母,款冬花,鹅管石,肉桂,甘草
缩砂仁,丁香,乌梅,巴豆,胡椒
绿茶,醋
杏仁,葶苈,桔梗,马兜铃,陈皮,茯苓
半夏,党参,桔梗,陈皮,前胡,黄芩
半夏,白术,干姜,苏子,茯苓,人参
半夏,白术,干姜,茯苓,人参,甘草
贝母,萝卜,秋梨,麦冬,鲜藕,鲜姜
半夏,茴香,茯苓,草乌,细辛,香附
莱菔,麦芽,桔梗,茅术,制野军,果仁
贝母,桔梗,元参,花粉,牛蒡,山栀
半夏,胆南星,紫菀,杏仁,款冬花,生乌
半夏,杏仁,陈皮,茯苓,甘草
半夏,白术,陈皮,茯苓,人参,甘草
半夏,杏仁,款冬花,苏子,黄芩,麻黄
半夏,明天麻,广红皮,钩藤钩,清炙草,菊花
贝母,杏仁,陈皮,牛蒡,麻黄,石膏
半夏,杏仁,豆腐1小块,麻黄,甘草
半夏,莱菔,白芥子,杏仁,茶叶,诃子
半夏,杏仁,马兜铃,巴豆
白萝卜,蜂蜜
远志,罗参,粉草,当归,陈皮,莲肉
贝母,天竺黄,胆南星,桔梗,钩藤,明天麻
半夏,桔梗,当归,陈皮,大力子,重楼
梅花脑,五,牙硝,硼砂,寒水石,麝香
梅花脑,牙消,硼砂,寒水石,麝香,甘草
贝母,天冬,麦冬,莲子,枇杷叶,玄参
冰糖,粳米,枇杷叶
冰糖,粳米,枇杷叶
半夏,莱菔,麦芽,白术,陈皮,枳实
半夏,天南星,黄芩,法制消,枳实,礞石
远志,菖蒲,麦冬,黄芩,花粉,茯神
半夏,竹茹,旋复花,胆草,黄芩,黄连
贝母,半夏,杏仁,桔梗,瓜蒌仁,陈皮
贝母,半夏,紫菀,杏仁,桔梗,地黄
