枣仁,远志,桂心,黄芩,麦门冬,半夏
葱,鸡,酒,乌灵参,姜,盐
朱砂,黄芩,郁金,丹参,栀子,黄连
枣仁,柏子仁,莲子心,丹皮,丹参,玄参
茯神,犀角屑,麦门冬,人参,黄芩,龙齿
辰砂,琥珀,枸杞,白芍,柴胡,桃仁
茯神,珍珠母,合欢皮,丹参,夏枯草,钩藤
红糖,小米,龙眼肉
鸡蛋,小米
枣仁,小米,蜂蜜
朱砂,人参,脑,半夏,胆南星,麝
天竺黄,菖蒲,珠粉,飞朱砂,胡连,煅青礞石
远志,辰砂,牡蛎,肉苁蓉,人参,干姜
茯神,枣仁,远志,木香,紫石英,当归
朱砂,钩藤,白术,人参,茯苓,甘草
枣仁,远志,麦门冬,地黄,黄耆,当归
葱,白糖,味精,猪心,玉竹,花椒
枣仁,合欢皮,女贞子,灵芝,浮小麦,甘草
枣仁,夜交藤,白糖,粳米
远志,桂心,芍药,黄耆,地黄,五味子
枣仁,薏仁,川断,大茴,当归,木香
茯神,枣仁,川芎,丹皮,野于术,柴胡
茯神,枣仁,远志,紫石英,当归,丹砂
寒水石,丁子香,黄金,磁石,木香,犀角
朱砂,柏子仁,紫石英,肉苁蓉,麝香,人参
茯神,枣仁,远志,地黄,当归,人参
