远志,辰砂,牡蛎,干姜,肉苁蓉,人参
茯神,枣仁,远志,柏子仁,黄耆,紫石英
朱砂,白术,钩藤,人参,甘草,茯苓
枣仁,远志,黄耆,麦门冬,当归,胆南星
葱,白糖,食盐,猪心,味精,玉竹
枣仁,合欢皮,女贞子,浮小麦,灵芝,何首乌
枣仁,白糖,夜交藤,粳米
远志,芍药,桂心,黄耆,当归,五味子
枣仁,薏仁,当归,麦冬,山药,甘杞子
茯神,枣仁,柏子仁,丹皮,生地,当归
茯神,枣仁,远志,柏子仁,熟地,黄耆
寒水石,黄金,丁子香,磁石,犀角,木香
朱砂,柏子仁,螵蛸,肉苁蓉,紫石英,龙骨
茯神,枣仁,远志,当归,人参,地黄
