半夏,黑附子,陈皮,草果子,白姜,厚朴
贝母,桔梗,陈皮,白芷,元参,赤芍
贝母,芍药,桔梗,苍术,陈皮,白芷
半夏,独活,芎,天麻,茯苓,白芷
杏仁,木香,防己
贝母,半夏,玉竹,天冬,石斛,麦冬
白皮大萝卜,蜂蜜
半夏,陈皮,茯苓,甘草
白鲜,龙齿,枳实,黄芩,茯神,羚羊角
贝母,杏仁,葶苈,薏仁,桔梗,连翘
鱼腥草,铁树叶,党参,黄芪,白花蛇舌草,薏仁
贝母,贝母,半夏,半夏,白芥子,杏仁
贝母,竹茹,丹皮,生地,菊花炭,石斛
半夏,粉霜,黑牵牛子,白矾
片脑,白豆蔻末,芽茶,白檀香末
贝母,半夏,玄明粉,桔梗,白术,陈皮
贝母,半夏,玄明粉,桔梗,白术,陈皮
半夏
半夏,檀香,百药煎,五味子,陈皮,乌梅肉
半夏,天南星,干姜,皂角,白矾
半夏,天南星,干姜,杏仁,皂角,紫苏
半夏,天南星,莱菔,紫苏,白术,陈皮
竹茹,苍术,陈皮,缩砂,菖蒲,郁金
杏仁,百药煎,黑矾,乌梅,甘草
半夏,丁香,白矾,草豆蔻
半夏,五味子,陈皮,丁香,木香,沉香
半夏,明矾,硝石
贝母,海藻,白酒,黄药子
百部,鱼腥草,穿心莲,开金锁,生干蟾
贝母,半夏,桔梗,远志,陈皮,五味子
四季青,平地木,干日红,鼠曲草
半夏,竹茹,陈皮,枣仁,枳实,茯苓
天竺黄,丹皮,槐花,生川军,牡蛎,生石决明
贝母,当归,桔梗,片芩,木香,瓜蒌
杏仁,瓜蒌仁,黄连
橄榄,萝卜
半夏,龙骨,杏仁,枣仁,桂枝,牡蛎
半夏,远志,白术,五味子,熟附块,合桃肉
桔梗,败酱草,栝蒌实,炮干姜,防风,人参
白酒700毫升,薤白,栝楼
山芋,杏仁,栝楼,甘草
半夏,海藻,昆布,夏枯草,陈皮,三棱
半夏,陈皮,伽楠香,龙涎香
贝母,郁金,人参,白芍,香附
半夏,当归,白术,陈皮,茯苓,白芍
海藻,鸡血藤,黄芪,黄精,丹参,玄参
半夏,黄耆,党参,白术,陈皮,破故纸
半夏,天南星,明矾,百药煎,五味子,乌梅肉
半夏,天南星,香墨,杜仲,芎,白附子
贝母,半夏,杏仁,皂荚,知母
半夏,天南星,泽泻,白术,陈皮,黄芩
贝母,桔梗,连翘,儿茶,胖大海,蝉蜕
贝母,天竺黄,半夏,胆南星,槟榔,白芥子
半夏,海粉,杏仁,栝楼,青黛,香附
款冬花,蛤蚧,成炼钟乳,肉桂,白矾,甘草
贝母,半夏,莱菔,白芥子,杏仁,薏仁
远志,虎睛,犀角屑,栀子,大黄
半夏,藿香,陈皮,苍术,茯苓,厚朴
半夏,藿香,陈皮,厚朴,甘草
半夏,藿香,陈皮,厚朴,甘草
半夏,藿香,陈皮,丁香,茯苓,生姜
半夏,竹茹,青蒿脑4,青子芩4,陈广皮,碧玉散
桔梗,僵蚕,全蝎,天麻,苏木,白芷
半夏,朱砂,白矾,雄黄
天南星,海藻,海带,琥珀,京墨,木香
胆南星,地龙,朱砂,琥珀,制军,犀角
贝母,半夏,天冬,京知母,百合,血琥珀
天竺黄,天南星,檀香,琥珀,朱砂,红参
天竺黄,天南星,檀香,金箔,粉草,水飞朱砂
天竺黄,天南星,琥珀,朱砂,赤苓,全蝎
天竺黄,天南星,檀香,金箔,琥珀,朱砂
贝母,天竺黄,胆南星,琥珀,全蝎,飞腰黄
天竺黄,胆南星,琥珀,腰黄,月石,辰砂
天竺黄,天南星,琥珀,真麝香,真正丹参,人参
贝母,天竺黄,胆南星,桔梗,琥珀,天麻
天南星,远志,大辰砂,人乳,真琥珀,菖蒲
贝母,天竺黄,枣仁,羚羊角,青礞石,伽楠香
贝母,枣仁,青礞石,羚羊角,天竹黄,月石
远志,金箔,甘松,桔梗,黄耆,粉草
海粉,青黛,黄芩,神曲
荸荠,海蜇皮
荸荠,海蜇
贝母,半夏,当归,海藻,海带,昆布
海藻,昆布,柴胡,小麦,龙胆草
海石,香附
海石,石礞,蚶壳,红花,三棱,桃仁
透骨草,马前子,烧酒,牛膝,老葱胡,三七
半夏,昆布,当归,红花,丹皮,陈皮
半夏,当归,地黄,陈皮,川芎,茯苓
贝母,当归,丹皮,桔梗,白术,麦冬
天竺黄,当归,牛膝,朱砂,杜仲,地龙
半夏,桂心,芍药,白术,旋覆花,枳实
杏仁,葶苈,蛤蚧,商陆,茯苓,防己
槐实,皂荚,槟榔,芎,菊花,牵牛子
黄酒,山慈菇,核桃肉
白芥子,干姜,全丝瓜,上肉桂,白僵蚕,陈皮
天竺黄,天南星,柴胡,滑石,桔梗,莲子心
半夏,枣仁,丁香,厚朴,生姜,甘草
杏仁,紫苏,陈皮,茯苓,桑白皮,麻黄
天南星,独活,粉草,天麻,全蝎,人参
天南星,独活,粉草,天麻,全蝎,人参
半夏,天南星,皂角,轻粉,白附子,寒水石
天南星,陈皮,陈皮,蒌仁,元芩,海浮石
贝母,半夏,海藻,海带,昆布,蛇莓
