葶苈,甘遂,红芽大戟,灵脂,神曲,芫花
大戟,葶苈,甘遂,灵脂,石榴皮,芫花
化毒散,祛湿药膏
没药,乳香,草乌,浮石,巴豆
五倍子,枯矾,蛇床子,川椒,雄黄,桃仁
鸡蛋
冬瓜,鲫鱼
野菊花,贝母,薄荷,白茅根
蒲公英,红藤,厚朴,大黄
淮地,薄荷,川乌
冰片,硼砂,火消,硇砂,雄黄,僵蚕
猪蹄,鲜金针菜根
干蟾皮不拘多少
川军,明雄,山甲,朱砂,全蝎,僵蚕
山菊花,黄柏,黄连,栀子,黄芩
叶子雌黄,麝香,郁金,黄连,槟榔,大黄
三七,金刚莲,马钱子霜,接骨木,陈皮,红花
三七,金刚莲,马钱子霜,见血清,18厘米,捆仙绳
冰片,枪消,蒲黄,牙皂,僵蚕
京红粉,元明粉,轻粉
芙蓉叶,大青叶,人中黄,青黛
冰片,连翘,松香,白芷,薄荷,汽油
蟾酥,雄黄,朱砂,丁香
蒲公英,银花,赤芍,连翘,花粉,薄荷
银花,连翘,赤芍,白芷,花粉,薏仁
蒲公英,金银花,川军,赤芍,连翘,贝母
白菊花
花椒,生葱,陈酒糟,广胶,葱白,艾叶
香油,章丹
金银花,连翘,甘草,山栀,黄连,芍药
橘核,川军,乌药,金铃子,胡芦巴,玄胡
血竭,没药,乳香,自然铜,土鳖虫,发灰
花椒,大蒜头,黄丹,槐枝,生姜,葱白
马钱子,草乌,枳壳
没药,乳香,苏木,好麻
没药,木鳖子,自然铜,虎骨随多少,羊胫骨灰,故纸
小黄米面,皂角末,发灰
冰片,乳香,没药,熊胆,青鱼胆,黄柏
薄荷,鸡内金,黄连,升麻,栀子
没药,乳香,木鳖子,葱,白胶香,清油
乌药,穿山甲,甘草,独活,红花,陈皮
蒲公英,马勃,赤芍,瓜蒌,郁金,元参
车前子,官桂,地黄,茱萸,黑附子,山药
西瓜霜,珠粉,西黄,琥珀
白果,地肤子,桑白皮,白茅根,黄芪,白僵蚕
昆布,海藻,木通,甘草,陈皮,白僵蚕
没药,乳香,紫苏,黄柏,薄荷,轻粉
没药,乳香,黄柏,薄荷,苏叶,轻粉
冰片,月石,贝母,朱砂,滑石,龙骨
没药,乳香,麻黄,马钱子粉
没药,乳香,自然铜,土鳖虫,麻黄,马前子
醋2500毫升,半夏
广地龙,大独活,西秦艽,甘草,海桐皮,威灵仙
9克,9克,或,3克,萝卜子,厚朴
鸡蛋,细盐,龙衣
冰片,蝙蝠
冰片,马勃,西瓜霜,麝香,甘草,蒲黄
粳米,蔓荆子,香子,鹿头肉,高良姜
冬瓜,鲤鱼头
蛇床人,黄丹,乱发,黄蜡,蛇蜕皮,杏仁
冰片,血竭,乳香,没药,硼砂,熊胆
银花,红藤,炙山甲,桃仁,川楝,丹皮
蒲公英,金银花,红藤,连翘,贝母,夏枯草
银花,连翘,赤芍,白芷,黄柏,花粉
金银花,连翘,赤芍,白芷,花粉,黄柏
荠苨,连翘,桑白皮,人参,桔梗,甘草
鲜萝卜缨
粳米,绿豆
白糖,绿豆
葶苈,贝母,桑白皮,人参,紫菀,五味子
蟾酥,乳香,硇砂,雄黄,麝香,朱砂
蟾酥,血竭,没药,朱砂,金脚信,龙脑
血竭,蟾酥,胆矾,麝香,朱砂,京墨
血竭,蟾酥,胆矾,麝香,朱砂,京墨
海石,天葵子,贝母,昆布,牡蛎
赤芍,炒桃仁,刘寄奴,生地,枳壳,大黄
没药,乳香,木鳖子,自然铜,蓖麻子,白芷
葱,赤芍,紫苏,黄柏,玄胡,柴胡
冬瓜皮,车前子,官桂,蝼蛄虫,带皮苓,建泽泻
蟾酥,西丹参,珠粉,飞腰黄,飞朱砂,麝香
冰片,蟾酥,珍珠,雄黄,丹参,丁香
芙蓉叶,草乌,野芋头,天南星,川乌
大麻子仁,大黄
大米,白茅根
葶苈,商陆根,海藻,蜀漆,栝楼,牡蛎
冰片,血竭,乳香,蟾酥,葶苈,没药
生姜皮,车前子,木通,川萆解,陈皮,砂仁
蒲公英,粳米
紫草茸,白芷,地黄,甘草,半夏,藿香
银花,连翘,赤芍,牛蒡,薄荷,羌活
金银花,青果,北豆根,桔梗,麦冬,玄参
紫苏,葫芦巴,地肤子,猪苓,桃仁,茯苓
冰片,白糖,大蚯蚓
赤芍,连翘,黄柏,甘草,黄连,黄芩
连翘,白芷,射干,荆芥,柴胡,羌活
冰片,血竭,乳香,没药,儿茶,赤小豆
闹羊花
