天竺黄,天南星,僵蚕,辰砂,真麝香,琥珀
贝母,天竺黄,胆南星,僵蚕,桔梗,朱砂
天南星,远志,大辰砂,人乳,真琥珀,菖蒲
贝母,天竺黄,青礞石,月石,伽楠香,麝香
贝母,沉香,青礞石,月石,天竹黄,麝香
远志,金箔,粉草,麝香3厘,桔梗,辰砂
海粉,青黛,神曲,黄芩
荸荠,海蜇皮
荸荠,海蜇
贝母,半夏,海藻,昆布,海带,独活
昆布,海藻,柴胡,小麦,龙胆草
海石,香附
海石,蚶壳,石礞,红花,香附,莪术
透骨草,马前子,烧酒,老葱胡,牛膝,川羌
半夏,昆布,当归,陈皮,丹皮,红花
半夏,当归,陈皮,地黄,茯苓,白芍
贝母,桔梗,白术,当归,麦冬,丹皮
天竺黄,僵蚕,油松节,玄参,梅片,没药
半夏,芍药,桂心,白术,枳实,旋覆花
杏仁,葶苈,蛤蚧,商陆,桑白皮,防己
槐实,皂荚,牵牛子,枳壳,槟榔,芎
黄酒,山慈菇,核桃肉
白芥子,全丝瓜,上肉桂,白僵蚕,陈皮,干姜
天竺黄,天南星,僵蚕,柴胡,玄参,牛蒡
半夏,丁香,厚朴,枣仁,生姜,甘草
杏仁,紫苏,陈皮,桑白皮,麻黄,茯苓
天南星,独活,粉草,全蝎,天麻,羌活
天南星,独活,粉草,全蝎,天麻,羌活
半夏,天南星,皂角,寒水石,白附子,干生姜
天南星,沉香,陈皮,陈皮,大黄,海浮石
五倍子
贝母,半夏,海藻,昆布,海带,枳实
半夏,桔梗,干姜,茯苓
半夏,天南星,杏仁,紫苏,麦蘖,萝卜子
半夏,天南星,明矾,白附子
半夏,天南星,皂角,白矾,生姜
天络丝
半夏,天南星,巴豆,干姜,枯矾,滑石
半夏,天南星,杏仁,瓜蒌仁,紫苏,萝卜子
半夏,葶苈,杏仁,桔梗,陈皮,五味子
半夏,葶苈,桔梗,白术,荆三棱,硼砂
半夏,天南星,辰砂,陈皮,皂,腻粉
半夏,紫菀,葶苈,杏仁,桔梗,陈皮
贝母,紫菀,葶苈,杏仁,款冬花,桔梗
半夏,款冬花,葶苈,杏仁,桔梗,陈皮
檀香,柿霜,白葛粉,紫苏,乌梅肉,硼砂
半夏,紫菀,远志,葶苈,杏仁,桔梗
天南星,乳香,节白附,直僵蚕,赤金箔,净全蝎
半夏,京三棱,黑牵牛,陈皮,大黄,青皮
天南星,僵蚕,蜈蚣,蝉壳,朱砂,全蝎
天竺黄,胆南星,僵蚕,片脑,金箔,白附
半夏,天南星,金箔,丁香,龙脑,天麻
半夏,芍药,旋覆花,前胡,荆芥,麻黄
半夏,当归,陈皮,熟地,茯苓,甘草
贝母,半夏,天南星,黄柏,葶苈,腹皮
半夏,天南星,皂角,白矾
白芥子,芍药,透骨草,橘络,片姜黄,鸡血藤膏
半夏,天麻,夏枯草,杭白菊,秦艽,葛根
海粉,桔梗,瓜蒌仁,陈皮,皮硝,竹沥
天南星,当归,陈皮,天麻,羌活,肉桂
天南星,僵蚕,远志,全蝎,天麻,菖蒲
贝母,半夏,杏仁,桔梗,紫苏,陈皮
贝母,杏仁,桔梗,紫苏,陈皮,黄芩
贝母,半夏,杏仁,桔梗,紫苏,陈皮
贝母,紫菀,滑石,小蓟,丹皮,桑白皮
海藻,黄芪,党参,大青叶,柴胡,板蓝根
贝母,地骨皮,柴胡,白术,当归,陈皮
贝母,远志,柴胡,桔梗,玄参,赤苓
贝母,半夏,紫菀,款冬花,远志,杏仁
贝母,半夏,紫菀,款冬花,杏仁,桔梗
贝母,半夏,紫菀,杏仁,马兜铃,陈皮
贝母,杏仁,陈皮,五味子,净金灯,米壳
贝母,半夏,紫菀,瓜蒌皮,款冬花,杏仁
贝母,半夏,紫菀,瓜蒌皮,杏仁,桔梗
半夏,莱菔,白术,陈皮,连翘,神曲
半夏,白术,陈皮,枳实
半夏,桔梗,陈皮,黑山栀,黄芩,黄连
紫菀,鱼腥草,四季青,金荞麦,枳壳,前胡
天竺黄,胆南星,僵蚕,朱砂,羚羊,天麻
杏仁,五味子,米仁,百合,天门冬,麦门冬
半夏,天南星,白芥子,杏仁,麦芽,瓜蒌仁
贝母,杏仁,桔梗,片芩,石膏,知母
半夏,杏仁,小枳实,1,栝楼,广皮红
半夏,杏仁,桔梗,当归,陈皮,桂枝
半夏,草果,广皮,青皮,人参,生姜
半夏,黄柏,桔梗,黄芩,黄连,栀子
半夏,桔梗,白术,柴胡,当归,陈皮
半夏,粉草,陈皮,益智,香附,茯苓
半夏,党参,白术,三七,枳实,桂枝
贝母,党参,五味子,麦冬,熟地,沙参
紫菀,桔梗,旋复花,嫩苏梗,陈皮,白前
半夏,白术,陈皮,五味子,干姜,茯苓
半夏,竹茹,桔梗,柴胡,陈皮,枳实
半夏,竹茹,陈皮,枳实,钩藤,生磁石
杏仁,远志,当归,羚羊粉,琥珀粉,郁金
半夏,白术,紫苏,陈皮,北梗,辣桂
远志,琥珀,郁金,菖蒲,茯苓,人参
半夏,远志,紫苏,茯神,厚朴,茯苓
半夏,天南星,益智仁,陈皮,枳实,苏梗
半夏,紫苏,菖蒲,厚朴,茯苓,木香
杏仁,当归,刀豆子,生瓦楞,藕节,玫瑰花
半夏,海藻,党参,白术,当归,夏枯草
半夏,桔梗,白术,枳实,前胡,香附
杏仁,款冬花,桔梗,麦冬,枇杷叶,银花
半夏,海藻,昆布,白僵蚕,白术,当归
半夏,竹茹,桔梗,当归,陈皮,地黄
半夏,茅术,陈皮,枳壳,茯苓,生姜
玄明粉,柿霜,白粉,硼砂,寒水石,乌梅肉
胆南星,小枳实,蒌子,羚羊,苏叶子,蒌皮
竹茹,焦三仙,干青果,陈皮
三仙饮,炙桑白皮
焦三仙,陈皮
胆南星,黑附子,僵蚕,苏合油3毫升,钩蘑,当归
贝母,海藻,漏芦,柴胡,元参,蒲公英
半夏,桂枝,干姜,黄芩,栀子,麻黄
半夏,天南星,桔梗,辰砂,陈皮,枳实
贝母,半夏,柴胡,白术,当归,陈皮
贝母,半夏,天南星,芍药,白术,陈皮
百部,穿心莲,葎草,玉竹,黄精,白及
倭硫,朱砂
半夏,半夏,桔梗,紫苏,陈皮,用生姜
杏仁,陈皮,桂枝,薄荷,苏叶,桑白皮
杏仁,葶苈,天冬,大黄,木通,桑白皮
半夏,醋2500毫升
钟乳粉,款冬花,川姜,白术,人参,甘草
杏仁,款冬花,麻黄,甘草
川朴,榔片,生芍,灵脂,巴豆,玄胡
半夏,桔梗,桂,枳壳
生老姜,厚朴
半夏,天南星,葶苈,白术,枳实,黑牵牛
半夏,大腹子,京三棱,青皮,木香
朱砂,生犀角,生龙脑,石膏,麦门冬,栀子
朱砂,生犀角,生龙脑,石膏,麦门冬,栀子
鸡苏叶,桔梗,黍粘子,龙脑,紫苏,瓜蒌根
半夏,天南星,草龙脑,白矾
半夏,白术,龙骨,附片,茯苓,白芍
白芥子,杏仁,瓜蒌皮,牛蒡,蛤壳,紫苏
白芥子,杏仁,瓜蒌皮,牛蒡,蛤壳,紫苏
白芥子,杏仁,牛蒡,蛤壳,紫苏,瓜萎皮
万年干,青礞石,硼砂,石膏
桔梗,细川连,上广皮,淡条芩,京元参,枳壳
橘叶,栝楼,连翘,皂角刺,桃仁,青皮
紫菀,杏仁,款冬花,桔梗,五味子,紫苏
新鲜萝卜约,粳米
新鲜白萝卜
贝母,莱菔,冰糖,白糖,豆腐皮,白果仁
莱菔,粳米
莱菔
贝母,款冬花,鹅管石,肉桂,甘草
缩砂仁,巴豆,丁香,胡椒,乌梅
绿茶,醋
杏仁,葶苈,桔梗,马兜铃,陈皮,茯苓
半夏,桔梗,党参,陈皮,苏叶,葛根
半夏,白术,苏子,干姜,茯苓,人参
半夏,白术,干姜,茯苓,人参,甘草
贝母,萝卜,秋梨,鲜姜,麦冬,鲜藕
半夏,茴香,草乌,香附,茯苓,细辛
莱菔,茅术,桔梗,制野军,麦芽,果仁
贝母,桔梗,牛蒡,元参,黄连,山栀
半夏,胆南星,紫菀,款冬花,杏仁,生乌
半夏,杏仁,陈皮,茯苓,甘草
半夏,白术,陈皮,茯苓,人参,甘草
半夏,款冬花,杏仁,苏子,黄芩,桑白皮
半夏,明天麻,广红皮,清炙草,钩藤钩,茯神
贝母,杏仁,牛蒡,陈皮,石膏,麻黄
半夏,杏仁,豆腐1小块,麻黄,甘草
半夏,莱菔,白芥子,杏仁,茶叶,陈皮
半夏,杏仁,马兜铃,巴豆
白萝卜,蜂蜜
远志,罗参,粉草,当归,莲肉,陈皮
贝母,天竺黄,胆南星,桔梗,陈皮,明天麻
半夏,桔梗,当归,大力子,陈皮,重楼
梅花脑,五,牙硝,硼砂,寒水石,麝香
梅花脑,牙消,硼砂,寒水石,麝香,甘草
贝母,玄参,天冬,麦冬,莲子,枇杷叶
冰糖,粳米,枇杷叶
冰糖,粳米,枇杷叶
半夏,莱菔,麦芽,白术,枳实,陈皮
半夏,天南星,枳实,法制消,礞石,黄芩
远志,菖蒲,麦冬,茯神,黄芩,丹参
半夏,竹茹,胆草,旋复花,黄芩,黄连
贝母,半夏,杏仁,瓜蒌仁,桔梗,陈皮
贝母,半夏,紫菀,杏仁,桔梗,地黄
白芥子,紫菀,百部,玄参,牛蒡,东白薇
贝母,瓜蒌仁,桔梗,陈皮,桑白皮,黄芩
半夏,陈皮,苍术,干姜,神曲,香附
半夏,陈皮,苍术,神曲,香附,黄连
贝母,胆南星,海石,陈皮,木通
半夏,良姜,乌梅,厚朴,草果,青皮
杏仁,葶苈,地龙,牛蒡,丹参,羚羊角
贝母,黄柏,桔梗,黄芩,前胡,苦参
贝母,天竺黄,紫菀,鱼腥草,杏仁,元参
贝母,鱼腥草,杏仁,败酱草,桔梗,白术
昆布,海粉,当归,牙皂,黄连,芦荟
贝母,海藻,僵蚕,柴胡,当归,昆布海带
半夏,白芥子,桔梗,柴胡,当归,蝉衣
檀香,薄荷,羌活,荆芥,石膏,防风
檀香,四,一了,二,薄荷,羌活
檀香,薄荷,羌活,荆芥,石膏,防风
半夏,瓜蒌仁,苍术,黄芩,香附,黄连
贝母,半夏,天南星,白芥子,玄明粉,沉香
半夏,天南星,杏仁,陈皮,枳实,瓜蒌仁霜
半夏,天南星,莱菔,海粉,麦芽,瓜蒌仁
半夏,天南星,杏仁,瓜蒌仁,陈皮,枳实
贝母,贝母,紫菀,地骨皮,杏仁,草河车
半夏,五味子,射干,石膏,麻黄,细辛
贝母,半夏,杏仁,瓜蒌仁,桔梗,泽泻
半夏,海藻,昆布,白芥子,玄明粉,陈皮
贝母,郁金,荷叶蒂,砂仁壳,杵头糠,丹参
蜈蚣,全虫,僵蚕,炙穿山甲,蝉衣,夜明砂
贝母,桔梗,地黄,陈皮,麦门冬,知母
五倍子,诃子,五味子,甘草
百药煎,桔梗,粉草,紫河车,香附
半夏,天南星,陈皮,黄芩,黄连,甘草
半夏,天南星,陈皮,黄芩,黄连,白矾
半夏,天南星,天麻,干姜,川乌,川芎
半夏,天南星,天麻,干姜,川乌,川芎
天竺黄,沉香,玄参,None,None,党参
天南星,黑附子,乌头,木香
天南星,辰砂,蛇含,白附子,麝香
蛇胆汁,陈皮
半夏,黑附子,茱萸,柴胡,当归,黄连
竹茹,桔梗,苏子,陈皮,甘草
文蛤,红芽大戟,山慈菇,续随子,麝香
远志,金箔,铁粉,菖蒲,丹砂,羚羊角
贝母,半夏,杏仁,桔梗,干葛,陈皮
半夏,白术,柴胡,肉桂,枳壳,茯苓
贝母,胆南星,远志,元参,辰砂,天冬
半夏,陈皮,茯苓,生姜,甘草
铅霜,香墨,黄明胶,巴豆,黑铅,干蝎
贝母,半夏,杏仁,苏子,山栀,黄芩
半夏,僵蚕,槐角子,辰砂,天麻,陈皮
天南星,朱砂,琥珀
胆南星,远志,朱砂,白术,当归,琥珀
半夏,芍药,远志,玫瑰花,厚朴花,绿萼梅
昆布,海藻,海带,陈皮,海蛤粉,螵蛸
半夏,厚朴,肉豆蔻,山药
半夏,陈皮,吴萸,黄连,桃仁
半夏,白术,乌梅肉,陈皮,草果,茯苓
半夏,紫苏,厚朴,茯苓
半夏,昆布,升麻,桔梗,天南星片,连翘
檀香,降香,苏合香,朱砂,僵蚕,丁香
檀香,降香,苏合香,朱砂,僵蚕,丁香
杏仁,神僸,萝卜子,麦蘖,干漆,青皮
莱菔,白芥子,山楂
半夏,天南星,金箔,朱砂,琥珀,全蝎
银箔,远志,金箔,升麻,白僵蚕,铁粉
半夏,丁香,诃子,干姜,草豆蔻,生姜
贝母,半夏,天南星,海藻,桔梗,当归
半夏,桔梗,陈皮,苏叶,葛根,前胡
天南星,蜈蚣,直僵蚕,麝香,猪牙皂角
半夏,薤白,麦芽,陈皮,苏梗,全瓜蒌
贝母,莱菔,葶苈,杏仁,牛蒡,苏子
杏仁,葶苈,黑牵牛,防己,麻黄
胆南星,海石,苍术,栝楼,抚芎,山栀
莱菔,杏仁,僵蛹,连翘,夏枯草,大力子
贝母,海藻,没药,乳香,蓖麻子肉,猫头骨牙爪1副
半夏,天南星,白芥子,红芽大戟,僵蚕,制甘遂
贝母,杏仁,款冬花,桔梗,地黄,当归
文蛤,红芽大戟,朱砂,山茨菇,千金子,雄黄
半夏,白术,天麻,老生姜,茯苓,甘草
百部,远志,桔梗,地黄,当归,菖蒲
天南星
蜈蚣,鸡血藤,地龙,当归,羌活,赤芍
瓜瓣,苇茎,薏仁,桃仁
半夏,竹茹,陈皮,枳壳,茯苓,甘草
半夏,竹茹,陈皮,枳实,生姜,甘草
半夏,桂心,远志,黄芩,萆薢,麦门冬
半夏,白术,陈皮,干姜
半夏,芍药,桔梗,当归,二十,陈皮
半夏,芍药,桔梗,陈皮,苍术,川归
藕汁,牛乳60毫升,梨汁10毫升,生姜汁,韭汁
半夏,白术,陈皮2,砂仁,茯苓,木香
半夏,党参,白术,炒广皮,西砂仁,茯苓
半夏,小枳实,生川军,栝楼,小川连,皮硝
贝母,半夏,天南星,柴胡,白术,当归
半夏,天南星,黄柏,苍术,黄芩,辛夷
贝母,杏仁,桔梗,玄参,柏仁,麦冬
犀角汁20毫升,生姜汁2滴,淡竹沥60毫升,青连翘,生赤芍,丹皮
半夏,麦芽,陈皮,苍术,山植,藿香
蝉壳,陈皮,白僵蚕,厚朴,羌活,茯苓
半夏,杏仁,桔梗,干葛,陈皮,苏叶
昆布,白芥子,海藻,桔梗,山茨菇,元参
半夏,海藻,昆布,通草,海蛤粉,松萝
贝母,半夏,海藻,昆布,柴胡,元参
昆布,海藻,炒山甲,夏枯草,莪术,生地
昆布,海藻,海带,海马,海红蛤,石燕
海藻,桔梗,海带,海昆布,猪琰子,海蛤
半夏,皂角,生山甲,生马钱子,血竭,甘草
贝母,元参,牡蛎
贝母,玄参,没药,乳香,血竭,生黄耆
海石,杏仁,桔梗,栝楼,连翘,皮硝
半夏,白芥子,柴胡,陈皮,瓜蒌,香附
海藻,元参,红娘子,糯米,牡蛎,甘草
半夏,僵蚕,桔梗,元参,陈皮,栝楼
半夏,茯苓,甘草
半夏,黑附子,陈皮,菖蒲,茯神,神曲
半夏,杏仁,桔梗,陈皮,苏叶,前胡
半夏,紫菀,桂心,杏仁,白术,诃子
杏仁,桑白皮,桃仁,人参
杏仁,萝卜子
百部,远志,杏仁,桔梗,陈皮流浸膏,甘草
