天南星,远志,人乳,大辰砂,真琥珀,菖蒲
贝母,天竺黄,青礞石,月石,伽楠香,麝香
贝母,青礞石,月石,天竹黄,沉香,麝香
远志,金箔,桔梗,麝香3厘,甘松,辰砂
海粉,青黛,黄芩,神曲
荸荠,海蜇皮
荸荠,海蜇
贝母,半夏,昆布,海藻,海带,当归
昆布,海藻,柴胡,小麦,龙胆草
海石,香附
海石,蚶壳,石礞,红花,莪术,香附
透骨草,烧酒,老葱胡,马前子,牛膝,乳香
半夏,昆布,当归,陈皮,红花,丹皮
半夏,当归,陈皮,地黄,白芍,茯苓
贝母,桔梗,当归,白术,枸杞,黄芩
天竺黄,草蔻,朱砂,僵蚕,梅片,牛膝
半夏,桂心,芍药,白术,枳实,旋覆花
葶苈,杏仁,蛤蚧,商陆,茯苓,桑白皮
槐实,皂荚,牵牛子,芎,枳壳,菊花
黄酒,山慈菇,核桃肉
白芥子,上肉桂,全丝瓜,白僵蚕,干姜,陈皮
天竺黄,天南星,柴胡,僵蚕,桔梗,白附子
半夏,丁香,厚朴,枣仁,生姜,甘草
杏仁,陈皮,紫苏,麻黄,茯苓,桑白皮
天南星,天麻,全蝎,粉草,独活,羌活
天南星,天麻,全蝎,粉草,独活,羌活
半夏,天南星,皂角,白附子,寒水石,硇砂
天南星,蒌仁,元芩,陈皮,陈皮,海浮石
五倍子
贝母,半夏,昆布,海藻,海带,枳实
半夏,桔梗,干姜,茯苓
半夏,天南星,杏仁,麦蘖,皂角,陈皮
半夏,天南星,明矾,白附子
半夏,天南星,皂角,白矾,生姜
天络丝
半夏,天南星,干姜,巴豆,枯矾,滑石
半夏,天南星,杏仁,瓜蒌仁,陈皮,萝卜子
半夏,葶苈,杏仁,桔梗,陈皮,旋覆花
半夏,葶苈,麦蘖,桔梗,荆三棱,白术
半夏,天南星,辰砂,陈皮,皂,腻粉
半夏,紫菀,葶苈,杏仁,桔梗,陈皮
贝母,紫菀,款冬花,葶苈,杏仁,桔梗
半夏,葶苈,款冬花,杏仁,桔梗,陈皮
檀香,硼砂,柿霜,白冰糖,白葛粉,薄荷
半夏,紫菀,葶苈,远志,杏仁,桔梗
天南星,直僵蚕,乳香,梅冰片,赤金箔,节白附
半夏,京三棱,黑牵牛,陈皮,青皮,枳壳
天南星,蝉壳,僵蚕,朱砂,蜈蚣,铁粉
天竺黄,胆南星,片脑,金箔,朱砂,僵蚕
半夏,天南星,金箔,龙脑,天麻,丁香
半夏,芍药,旋覆花,荆芥,前胡,麻黄
半夏,当归,陈皮,茯苓,熟地,甘草
川甜消,干葛,大黄,甘草
贝母,半夏,天南星,葶苈,黄柏,麦芽
半夏,天南星,皂角,白矾
白芥子,芍药,透骨草,片姜黄,僵蚕,鸡血藤膏
半夏,夏枯草,天麻,秦艽,葛根,杭白菊
海粉,桔梗,瓜蒌仁,陈皮,青黛,连翘
天南星,当归,天麻,陈皮,羌活,肉桂
天南星,远志,僵蚕,白附子,天麻,全蝎
贝母,半夏,杏仁,桔梗,陈皮,紫苏
贝母,杏仁,桔梗,陈皮,紫苏,黄芩
贝母,半夏,杏仁,桔梗,陈皮,紫苏
贝母,紫菀,小蓟,丹皮,白芍,桃仁
海藻,大青叶,板蓝根,党参,柴胡,黄芪
贝母,柴胡,当归,白术,陈皮,薄荷
贝母,远志,柴胡,桔梗,赤苓,玄参
贝母,半夏,紫菀,款冬花,远志,杏仁
贝母,半夏,紫菀,款冬花,杏仁,桔梗
贝母,半夏,紫菀,杏仁,马兜铃,陈皮
贝母,杏仁,陈皮,净金灯,五味子,米壳
贝母,半夏,紫菀,款冬花,杏仁,瓜蒌皮
贝母,半夏,紫菀,杏仁,瓜蒌皮,桔梗
半夏,莱菔,白术,陈皮,连翘,山楂
半夏,白术,陈皮,枳实
半夏,桔梗,陈皮,黄芩,黑山栀,黄连
紫菀,鱼腥草,四季青,金荞麦,前胡,枳壳
天竺黄,胆南星,朱砂,僵蚕,天麻,薄荷
杏仁,五味子,米仁,百合,知母,麦门冬
半夏,天南星,白芥子,杏仁,麦芽,桔梗
贝母,杏仁,桔梗,片芩,麻黄,石膏
半夏,杏仁,1,小枳实,栝楼,广皮红
半夏,杏仁,桔梗,干姜,当归,陈皮
半夏,草果,青皮,广皮,生姜,人参
半夏,黄柏,桔梗,黄芩,黄连,栀子
半夏,柴胡,桔梗,当归,白术,陈皮
半夏,粉草,陈皮,益智,香附,茯苓
半夏,党参,白术,枳实,桂枝,三七
贝母,党参,五味子,麦冬,沙参,山药
紫菀,旋复花,桔梗,嫩苏梗,陈皮,白前
半夏,干姜,白术,陈皮,五味子,茯苓
半夏,竹茹,柴胡,桔梗,陈皮,枳实
半夏,竹茹,陈皮,枳实,钩藤,生磁石
杏仁,远志,琥珀粉,羚羊粉,当归,佩兰
半夏,白术,陈皮,紫苏,北梗,辣桂
远志,郁金,琥珀,菖蒲,茯苓,人参
半夏,远志,紫苏,厚朴,茯苓,茯神
半夏,天南星,益智仁,陈皮,枳实,神曲
半夏,紫苏,菖蒲,厚朴,茯苓,木香
杏仁,生瓦楞,藕节,刀豆子,当归,玫瑰花
半夏,海藻,党参,夏枯草,当归,白术
半夏,桔梗,白术,枳实,前胡,香附
杏仁,款冬花,桔梗,枇杷叶,黄芩,麦冬
半夏,昆布,海藻,白僵蚕,当归,白术
