贝母,海藻,黄药子,白酒
鱼腥草,百部,穿心莲,生干蟾,开金锁
蜈蚣,知柏,僵蚕,当归,桔梗,生耆
贝母,半夏,远志,五味子,甘草,麻黄浸膏
四季青,鼠曲草,干日红,平地木
半夏,竹茹,枳实,陈皮,人参,麦门冬
天竺黄,生石决明,黄芩,枳实,生川军,丹皮
贝母,当归,木香,瓜蒌,山栀,片芩
杏仁,瓜蒌仁,黄连
橄榄,萝卜
半夏,杏仁,瓜蒌皮,龙骨,桂枝,枣仁
半夏,远志,白术,桂枝,破故纸,五味子
栝蒌实,炮干姜,败酱草,桔梗,厚朴,人参
白酒700毫升,薤白,栝楼
山芋,杏仁,栝楼,甘草
半夏,昆布,海藻,夏枯草,陈皮,牡蛎
半夏,龙涎香,陈皮,伽楠香
贝母,人参,白芍,香附,郁金
半夏,当归,白术,人参,陈皮,白芍
海藻,鸡血藤,黄芪,黄精,玄参,丹参
半夏,党参,白术,黄耆,破故纸,陈皮
半夏,天南星,明矾,百药煎,五味子,猪牙皂角
半夏,天南星,香墨,续断,芎,白附子
贝母,半夏,皂荚,杏仁,知母
半夏,天南星,白术,泽泻,黄芩,黄芩
贝母,诃子,儿茶,川芎,大黄,胖大海
贝母,天竺黄,半夏,白芥子,胆南星,槟榔
半夏,海粉,杏仁,诃子,栝楼,香附
蛤蚧,款冬花,成炼钟乳,肉桂,白矾,甘草
贝母,半夏,莱菔,白芥子,党参,杏仁
远志,虎睛,犀角屑,栀子,大黄
半夏,厚朴,苍术,人参,藿香,陈皮
半夏,厚朴,藿香,陈皮,甘草
半夏,厚朴,藿香,陈皮,甘草
半夏,丁香,藿香,陈皮,生姜,茯苓
半夏,竹茹,青子芩4,青蒿脑4,碧玉散,陈广皮
僵蚕,桔梗,全蝎,天麻,苏木,麻黄
半夏,朱砂,雄黄,白矾
天南星,海藻,海带,京墨,血竭,琥珀
胆南星,朱砂,竺黄,苏珠,地龙,制军
贝母,半夏,血琥珀,茯苓,京知母,百合
天竺黄,天南星,檀香,朱砂,山药,枳壳
天竺黄,天南星,檀香,人参,山药,枳壳
天竺黄,天南星,僵蚕,朱砂,赤苓,全蝎
天竺黄,天南星,檀香,朱砂,蜂蜜,珍珠
贝母,天竺黄,胆南星,僵蚕,全蝎,茯苓
天竺黄,胆南星,沉香,腰黄,山药,辰砂
天竺黄,天南星,僵蚕,人参,真麝香,真正丹参
贝母,天竺黄,胆南星,人参,珍珠,僵蚕
天南星,远志,人乳,大辰砂,菖蒲,人参
贝母,天竺黄,枣仁,羚羊角,青礞石,伽楠香
贝母,沉香,枣仁,羚羊角,青礞石,麝香
远志,麝香3厘,桔梗,辰砂,金箔,甘松
海粉,青黛,神曲,黄芩
荸荠,海蜇皮
荸荠,海蜇
贝母,半夏,昆布,海藻,海带,当归
昆布,海藻,柴胡,小麦,龙胆草
海石,香附
海石,石礞,蚶壳,香附,红花,三棱
透骨草,马前子,老葱胡,烧酒,川羌,三七
半夏,昆布,当归,陈皮,红花,人参
半夏,当归,地黄,陈皮,白芍,茯苓
贝母,当归,山栀,黄芩,白术,丹皮
天竺黄,草蔻,梅片,朱砂,油松节,僵蚕
半夏,桂心,芍药,白术,旋覆花,枳实
杏仁,蛤蚧,葶苈,商陆,防己,桑白皮
槐实,皂荚,牵牛子,菊花,槟榔,芎
黄酒,山慈菇,核桃肉
白芥子,上肉桂,全丝瓜,白僵蚕,陈皮,干姜
天竺黄,天南星,僵蚕,柴胡,木香,桔梗
半夏,丁香,厚朴,枣仁,生姜,甘草
杏仁,紫苏,陈皮,茯苓,桑白皮,麻黄
天南星,全蝎,天麻,粉草,独活,人参
天南星,全蝎,天麻,粉草,独活,人参
半夏,天南星,皂角,硇砂,白附子,寒水石
天南星,陈皮,陈皮,蒌仁,元芩,海浮石
五倍子
贝母,半夏,昆布,海藻,海带,白石英
半夏,干姜,桔梗,茯苓
半夏,天南星,杏仁,皂角,萝卜子,紫苏
半夏,天南星,明矾,白附子
半夏,天南星,皂角,生姜,白矾
天络丝
半夏,天南星,干姜,巴豆,滑石,枯矾
半夏,天南星,杏仁,萝卜子,紫苏,瓜蒌仁
半夏,葶苈,杏仁,桔梗,旋覆花,陈皮
半夏,葶苈,麦蘖,荆三棱,白术,紫苏
半夏,天南星,腻粉,人参,辰砂,皂
半夏,紫菀,葶苈,杏仁,桔梗,陈皮
贝母,紫菀,杏仁,款冬花,葶苈,旋覆花
半夏,葶苈,杏仁,款冬花,桔梗,旋覆花
檀香,柿霜,紫苏,白葛粉,硼砂,白冰糖
半夏,紫菀,远志,葶苈,杏仁,桔梗
天南星,真麝香,乳香,赤金箔,梅冰片,净全蝎
半夏,京三棱,黑牵牛,槟榔,陈皮,木香
天南星,朱砂,蜈蚣,僵蚕,蝉壳,全蝎
天竺黄,胆南星,朱砂,片脑,白附,僵蚕
半夏,天南星,丁香,龙脑,丹砂,金箔
半夏,芍药,旋覆花,前胡,甘草,荆芥
半夏,当归,陈皮,茯苓,甘草,熟地
川甜消,干葛,大黄,甘草
贝母,半夏,天南星,黄柏,当归,葶苈
半夏,天南星,皂角,白矾
白芥子,透骨草,芍药,僵蚕,片姜黄,鸡血藤膏
半夏,天麻,夏枯草,秦艽,杭白菊,葛根
海粉,桔梗,瓜蒌仁,陈皮,香附,青黛
天南星,当归,陈皮,天麻,人参,肉桂
天南星,远志,僵蚕,全蝎,天麻,白附子
贝母,半夏,木香,杏仁,葛根,枳壳
贝母,杏仁,黄芩,菊花,枳壳,甘草
贝母,半夏,木香,杏仁,葛根,枳壳
贝母,紫菀,滑石,丹皮,桑白皮,枳壳
海藻,党参,大青叶,黄芪,板蓝根,柴胡
贝母,当归,柴胡,地骨皮,麦门冬,白术
贝母,柴胡,远志,生地,赤苓,广皮
贝母,半夏,紫菀,木香,远志,杏仁
贝母,半夏,紫菀,杏仁,麦门冬,款冬花
贝母,半夏,紫菀,马兜铃,杏仁,五味子
贝母,净金灯,杏仁,米壳,五味子,甘草
贝母,半夏,紫菀,杏仁,款冬花,地黄
贝母,半夏,紫菀,杏仁,苏子,生地
粳米,陈皮
半夏,莱菔,白术,连翘,香附,陈皮
半夏,白术,枳实,陈皮
半夏,桔梗,陈皮,黄芩,枳壳,黑山栀
紫菀,鱼腥草,四季青,金荞麦,前胡,枳壳
天竺黄,胆南星,朱砂,僵蚕,羚羊,犀角
杏仁,米仁,五味子,百合,麦门冬,天门冬
半夏,天南星,白芥子,杏仁,白术,萝卜子
贝母,杏仁,片芩,甘草,石膏,知母
半夏,杏仁,1,小枳实,栝楼,广皮红
半夏,杏仁,当归,桔梗,干姜,桂枝
半夏,草果,人参,广皮,生姜,青皮
半夏,黄柏,桔梗,人参,黄芩,栀子
半夏,当归,柴胡,白术,桔梗,陈皮
半夏,粉草,人参,陈皮,香附,益智
半夏,党参,白术,枳实,三七,桂枝
贝母,党参,山药,五味子,沙参,熟地
紫菀,旋复花,桔梗,嫩苏梗,陈皮,香附
半夏,白术,干姜,陈皮,人参,五味子
半夏,竹茹,柴胡,桔梗,枳实,陈皮
半夏,竹茹,枳实,陈皮,生磁石,葛根
杏仁,远志,琥珀粉,当归,佩兰,羚羊粉
半夏,白术,紫苏,陈皮,槟榔,木香
远志,郁金,琥珀,菖蒲,茯苓,人参
半夏,远志,紫苏,厚朴,茯神,茯苓
半夏,天南星,益智仁,厚朴,槟榔,枳实
半夏,紫苏,厚朴,木香,白芷,茯苓
杏仁,藕节,刀豆子,当归,生瓦楞,陈皮
半夏,海藻,党参,当归,白术,夏枯草
半夏,白术,桔梗,枳实,人参,香附
杏仁,款冬花,桔梗,麦冬,枇杷叶,银花
半夏,昆布,海藻,当归,白术,白僵蚕
半夏,竹茹,当归,桔梗,地黄,陈皮
半夏,茅术,陈皮,生姜,枳壳,茯苓
玄明粉,白粉,柿霜,硼砂,薄荷,寒水石
胆南星,蒌皮,苏叶子,蒌子,于术,羚羊
竹茹,焦三仙,干青果,陈皮
三仙饮,炙桑白皮
焦三仙,陈皮
胆南星,僵蚕,苏合油3毫升,钩蘑,当归,黑附子
贝母,海藻,漏芦,柴胡,元参,蒲公英
半夏,干姜,桂枝,黄芩,白芍,栀子
半夏,天南星,桔梗,辰砂,枳实,木香
贝母,半夏,黄耆,当归,人参,柴胡
贝母,半夏,天南星,芍药,苍术,白术
百部,穿心莲,玉竹,葎草,黄精,白及
朱砂,倭硫
半夏,半夏,紫苏,桔梗,厚朴,厚朴
杏仁,陈皮,薄荷,桂枝,苏叶,桑白皮
杏仁,葶苈,天冬,木通,百合,桑白皮
半夏,醋2500毫升
钟乳粉,款冬花,白术,川姜,人参,甘草
杏仁,款冬花,麻黄,甘草
川朴,灵脂,榔片,生芍,陈皮,玄胡
半夏,桔梗,枳壳,桂
生老姜,厚朴
半夏,天南星,葶苈,白术,木香,枳实
半夏,京三棱,大腹子,木香,青皮
生龙脑,朱砂,生犀角,麦门冬,茯苓,石膏
生龙脑,朱砂,生犀角,麦门冬,茯苓,石膏
鸡苏叶,紫苏,桔梗,黍粘子,龙脑,瓜蒌根
半夏,天南星,草龙脑,白矾
半夏,白术,龙骨,生姜,附片,白芍
白芥子,杏仁,紫苏,蛤壳,龙延香,瓜蒌皮
白芥子,杏仁,紫苏,蛤壳,瓜蒌皮,回克
白芥子,杏仁,紫苏,瓜萎皮,蛤壳,桅子
万年干,青礞石,硼砂,石膏
淡条芩,细川连,京元参,上广皮,桔梗,香附
橘叶,栝楼,连翘,皂角刺,青皮,桃仁
紫菀,杏仁,款冬花,紫苏,桔梗,五味子
粳米,新鲜萝卜约
新鲜白萝卜
贝母,莱菔,白糖,冰糖,豆腐皮,白果仁
莱菔,粳米
莱菔
贝母,甘草,款冬花,肉桂,鹅管石
缩砂仁,丁香,巴豆,胡椒,乌梅
绿茶,醋
杏仁,葶苈,桔梗,陈皮,马兜铃,茯苓
半夏,党参,桔梗,陈皮,木香,葛根
半夏,白术,苏子,干姜,人参,茯苓
半夏,白术,干姜,人参,茯苓,甘草
贝母,萝卜,秋梨,鲜姜,鲜藕,麦冬
半夏,茴香,草乌,香附,茯苓,细辛
莱菔,制野军,桔梗,果仁,麦芽,茅术
贝母,山栀,元参,牛蒡,大黄,防风
半夏,胆南星,紫菀,杏仁,款冬花,牙皂肉
半夏,杏仁,陈皮,茯苓,甘草
半夏,白术,人参,陈皮,茯苓,甘草
半夏,杏仁,款冬花,苏子,厚朴,黄芩
半夏,广红皮,茯神,清炙草,菊花,明天麻
贝母,杏仁,牛蒡,甘草,石膏,麻黄
半夏,杏仁,豆腐1小块,甘草,麻黄
半夏,莱菔,白芥子,杏仁,茶叶,苏子
半夏,杏仁,马兜铃,巴豆
白萝卜,蜂蜜
远志,罗参,当归,陈皮,莲肉,粉草
贝母,天竺黄,胆南星,明天麻,枳壳,茯神
半夏,当归,桔梗,陈皮,重楼,大力子
梅花脑,牙硝,五,硼砂,寒水石,麝香
梅花脑,牙消,硼砂,寒水石,麝香,甘草
贝母,枣仁,生地,枇杷叶,莲子,天冬
冰糖,粳米,枇杷叶
冰糖,粳米,枇杷叶
半夏,莱菔,白术,麦芽,枳实,厚朴
半夏,天南星,黄芩,枳实,礞石,法制消
远志,麦冬,菖蒲,黄连,茯神,黄芩
半夏,竹茹,旋复花,胆草,黄芩,枳壳
贝母,半夏,杏仁,黄芩,枳壳,茯苓
贝母,半夏,紫菀,杏仁,天门冬,地黄
百部,白芥子,紫菀,剖麦冬,苏子,东白薇
贝母,麦门冬,黄芩,桑白皮,茯苓,栀子
半夏,干姜,苍术,陈皮,香附,茯苓
半夏,陈皮,苍术,香附,白芍,枳壳
贝母,海石,胆南星,木通,陈皮
半夏,草果,厚朴,良姜,乌梅,甘草
杏仁,葶苈,地龙,牛蒡,石膏,麻黄
贝母,黄柏,黄芩,栀子,大黄,苦参
贝母,天竺黄,鱼腥草,紫菀,黄芩,元参
贝母,鱼腥草,薏仁,败酱草,杏仁,黄芩
昆布,海粉,牙皂,当归,芦荟,生地
贝母,海藻,当归,僵蚕,柴胡,生地
半夏,白芥子,当归,柴胡,桔梗,苏子
檀香,薄荷,人参,羌活,荆芥,细辛
檀香,四,二,一了,薄荷,人参
檀香,薄荷,人参,羌活,荆芥,细辛
半夏,瓜蒌仁,苍术,黄芩,香附,黄连
贝母,半夏,天南星,白芥子,玄明粉,沉香
半夏,天南星,杏仁,枳实,瓜蒌仁霜,黄芩
半夏,天南星,莱菔,海粉,白术,牙皂
半夏,天南星,杏仁,瓜蒌仁,枳实,黄芩
贝母,贝母,紫菀,地骨皮,石斛,杏仁
半夏,五味子,甘草,细辛,射干,石膏
贝母,半夏,泽泻,杏仁,枣仁,麦门冬
半夏,昆布,白芥子,海藻,玄明粉,陈皮
贝母,杵头糠,砂仁壳,茯苓,丹参,荷叶蒂
蜈蚣,僵蚕,全虫,炙穿山甲,蝉衣,夜明砂
贝母,麦门冬,地黄,茯苓,甘草,花粉
五倍子,诃子,五味子,甘草
半夏,天南星,黄芩,甘草,陈皮,黄连
半夏,天南星,黄芩,陈皮,白矾,黄连
半夏,天南星,干姜,天麻,川芎,甘草
半夏,天南星,干姜,天麻,川芎,甘草
天竺黄,党参,24克,24克,60克,60克
天南星,黑附子,乌头,木香
天南星,辰砂,蛇含,白附子,麝香
蛇胆汁,陈皮
半夏,当归,柴胡,黑附子,茱萸,人参
竹茹,桔梗,苏子,陈皮,甘草
文蛤,红芽大戟,续随子,山慈菇,麝香
远志,金箔,铁粉,菖蒲,丹砂,茯苓
贝母,半夏,杏仁,黄芩,桑白皮,枳壳
半夏,柴胡,白术,枳壳,白芍,茯苓
贝母,胆南星,远志,元参,茯苓,丹参
半夏,生姜,陈皮,茯苓,甘草
香墨,铅霜,黄明胶,干蝎,巴豆,百草霜
贝母,半夏,苏子,黄芩,山栀,杏仁
半夏,僵蚕,辰砂,槐角子,天麻,人参
天南星,朱砂,琥珀
胆南星,远志,朱砂,当归,白术,陈皮
半夏,芍药,远志,玫瑰花,厚朴花,佛手花
昆布,海藻,海带,陈皮,海蛤粉,木香
半夏,厚朴,山药,肉豆蔻
半夏,吴萸,陈皮,桃仁,黄连
半夏,白术,草果,陈皮,人参,枣仁
半夏,紫苏,厚朴,茯苓
半夏,昆布,升麻,桔梗,粉葛,天南星片
檀香,降香,苏合香,朱砂,僵蚕,海沉香
檀香,降香,苏合香,朱砂,僵蚕,金礞石
