天南星,海藻,海带,血竭,琥珀,京墨
胆南星,地龙,朱砂,苏珠,琥珀,薄荷
贝母,半夏,百合,石膏,茯苓,血琥珀
天竺黄,天南星,檀香,朱砂,枳实,枳壳
天竺黄,天南星,檀香,粉草,金箔,枳实
天竺黄,天南星,僵蚕,朱砂,全蝎,雄黄
天竺黄,天南星,檀香,蜂蜜,朱砂,金箔
贝母,天竺黄,胆南星,僵蚕,全蝎,茯苓
天竺黄,胆南星,辰砂,腰黄,枳壳,月石
天竺黄,天南星,僵蚕,真正丹参,真麝香,辰砂
贝母,天竺黄,胆南星,僵蚕,桔梗,全蝎
天南星,远志,菖蒲,人乳,大辰砂,真琥珀
贝母,天竺黄,伽楠香,月石,麝香,青礞石
贝母,天竹黄,月石,麝香,青礞石,羚羊角
远志,麝香3厘,桔梗,金箔,粉草,甘松
海粉,黄芩,青黛,神曲
荸荠,海蜇皮
荸荠,海蜇
贝母,半夏,昆布,海藻,陈皮,当归
昆布,海藻,柴胡,小麦,龙胆草
海石,香附
海石,蚶壳,石礞,香附,莪术,红花
透骨草,烧酒,老葱胡,马前子,牛膝,川羌
半夏,昆布,当归,陈皮,人参,青皮
半夏,当归,陈皮,地黄,茯苓,甘草
贝母,桔梗,当归,甘草,青皮,山栀
天竺黄,地龙,僵蚕,梅片,朱砂,丁香
半夏,芍药,桂心,枳实,白术,旋覆花
杏仁,葶苈,蛤蚧,商陆,桑白皮,防己
黄酒,山慈菇,核桃肉
白芥子,全丝瓜,白僵蚕,上肉桂,干姜,陈皮
天竺黄,天南星,僵蚕,桔梗,柴胡,白附子
半夏,丁香,厚朴,甘草,生姜,枣仁
杏仁,紫苏,陈皮,桑白皮,麻黄,茯苓
天南星,粉草,独活,天麻,全蝎,羌活
天南星,粉草,独活,天麻,全蝎,羌活
半夏,天南星,白附子,皂角,硇砂,轻粉
天南星,陈皮,陈皮,清夏,蒌仁,海浮石
贝母,半夏,昆布,海藻,白石英,神曲
半夏,桔梗,干姜,茯苓
半夏,天南星,杏仁,干葛,陈皮,皂角
半夏,天南星,明矾,白附子
半夏,天南星,皂角,白矾,生姜
天络丝
半夏,天南星,枯矾,干姜,滑石,巴豆
半夏,天南星,杏仁,陈皮,萝卜子,瓜蒌仁
半夏,杏仁,桔梗,葶苈,陈皮,旋覆花
半夏,荆三棱,桔梗,硼砂,葶苈,茴香
半夏,天南星,陈皮,辰砂,人参,腻粉
半夏,紫菀,杏仁,桔梗,葶苈,陈皮
贝母,紫菀,款冬花,杏仁,桔梗,葶苈
半夏,款冬花,杏仁,桔梗,葶苈,陈皮
檀香,柿霜,硼砂,白冰糖,白葛粉,紫苏
半夏,紫菀,杏仁,远志,桔梗,葶苈
天南星,乳香,真麝香,梅冰片,净全蝎,节白附
半夏,京三棱,陈皮,黑牵牛,青皮,枳壳
天南星,僵蚕,朱砂,蝉壳,蜈蚣,乳香
天竺黄,胆南星,片脑,僵蚕,朱砂,白附
半夏,天南星,龙脑,金箔,丁香,天麻
半夏,芍药,前胡,荆芥,旋覆花,甘草
半夏,当归,陈皮,茯苓,甘草,熟地
贝母,半夏,天南星,腹皮,桔梗,麦芽
半夏,天南星,皂角,白矾
芍药,透骨草,白芥子,僵蚕,鸡血藤膏,片姜黄
半夏,夏枯草,秦艽,天麻,牡蛎,羌活
海粉,桔梗,瓜蒌仁,陈皮,青黛,连翘
天南星,当归,天麻,陈皮,羌活,白芷
天南星,僵蚕,远志,白附子,天麻,全蝎
贝母,半夏,杏仁,桔梗,陈皮,枳壳
贝母,杏仁,桔梗,陈皮,石膏,枳壳
贝母,半夏,杏仁,桔梗,陈皮,枳壳
贝母,紫菀,桑白皮,枳壳,甘草,白芍
海藻,板蓝根,黄芪,党参,大青叶,柴胡
贝母,柴胡,陈皮,当归,茯苓,甘草
贝母,桔梗,远志,柴胡,甘草,玄参
贝母,半夏,紫菀,款冬花,杏仁,远志
贝母,半夏,紫菀,款冬花,杏仁,桔梗
贝母,半夏,紫菀,杏仁,陈皮,生草
贝母,杏仁,陈皮,甘草,白矾,米壳
贝母,半夏,紫菀,款冬花,杏仁,桔梗
贝母,半夏,紫菀,杏仁,桔梗,陈皮
半夏,莱菔,陈皮,神曲,白术,茯苓
半夏,枳实,陈皮,白术
半夏,桔梗,陈皮,黑山栀,枳壳,黄连
紫菀,鱼腥草,四季青,金荞麦,前胡,枳壳
天竺黄,胆南星,僵蚕,朱砂,羚羊,天麻
杏仁,五味子,米仁,百合,知母,人参
半夏,天南星,白芥子,杏仁,桔梗,麦芽
贝母,桔梗,杏仁,片芩,石膏,甘草
半夏,杏仁,1,栝楼,石膏,广皮红
半夏,杏仁,桔梗,当归,陈皮,桂枝
半夏,草果,青皮,人参,生姜,广皮
半夏,桔梗,黄柏,人参,黄连,栀子
半夏,桔梗,柴胡,当归,陈皮,白术
半夏,陈皮,粉草,益智,人参,茯苓
半夏,党参,枳实,白术,三七,桂枝
贝母,沙参,熟地,党参,麦冬,五味子
紫菀,旋复花,桔梗,嫩苏梗,陈皮,香附
半夏,陈皮,白术,五味子,干姜,人参
半夏,竹茹,桔梗,柴胡,枳实,陈皮
半夏,竹茹,枳实,陈皮,生磁石,钩藤
杏仁,远志,当归,羚羊粉,琥珀粉,菖蒲
半夏,陈皮,白术,北梗,辣桂,紫苏
远志,菖蒲,郁金,琥珀,茯苓,人参
半夏,远志,紫苏,厚朴,茯神,茯苓
半夏,天南星,益智仁,枳实,陈皮,白豆蔻
半夏,紫苏,厚朴,菖蒲,白芷,茯苓
杏仁,当归,藕节,生瓦楞,刀豆子,玫瑰花
半夏,海藻,党参,当归,夏枯草,陈皮
半夏,桔梗,枳实,前胡,白术,人参
杏仁,款冬花,桔梗,前胡,麦冬,枇杷叶
半夏,昆布,海藻,白僵蚕,当归,陈皮
半夏,竹茹,桔梗,当归,陈皮,地黄
半夏,茅术,陈皮,枳壳,茯苓,甘草
玄明粉,柿霜,白粉,硼砂,薄荷,乌梅肉
胆南星,蒌子,苏叶子,小枳实,羚羊,蒌皮
竹茹,焦三仙,干青果,陈皮
炙桑白皮,三仙饮
焦三仙,陈皮
胆南星,僵蚕,菖蒲,当归,苏合油3毫升,杭芍
贝母,海藻,漏芦,柴胡,双花,刘寄奴
半夏,桂枝,干姜,栀子,麻黄,甘草
半夏,天南星,桔梗,枳实,辰砂,陈皮
贝母,半夏,柴胡,鳖甲,陈皮,人参
贝母,半夏,天南星,芍药,陈皮,地黄
百部,玉竹,穿心莲,葎草,黄精,白及
朱砂,倭硫
半夏,半夏,桔梗,陈皮,净洗,晒干
杏仁,陈皮,薄荷,桂枝,苏叶,桑白皮
杏仁,葶苈,石膏,天冬,木通,枳壳
半夏,醋2500毫升
款冬花,钟乳粉,川姜,白术,人参,甘草
杏仁,款冬花,麻黄,甘草
灵脂,川朴,生芍,榔片,玄胡,陈皮
半夏,桔梗,枳壳,桂
生老姜,厚朴
半夏,天南星,葶苈,枳实,白术,黑牵牛
半夏,大腹子,京三棱,青皮,木香
生龙脑,生犀角,朱砂,石膏,栀子,人参
生龙脑,生犀角,朱砂,石膏,栀子,人参
鸡苏叶,桔梗,黍粘子,龙脑,紫苏,瓜蒌根
半夏,天南星,白矾,草龙脑
半夏,白术,龙骨,附片,牡蛎,茯苓
杏仁,白芥子,蛤壳,龙延香,紫苏,牛蒡
杏仁,白芥子,蛤壳,回克,紫苏,牛蒡
杏仁,白芥子,蛤壳,瓜萎皮,紫苏,桅子
万年干,青礞石,硼砂,石膏
上广皮,桔梗,细川连,京元参,淡条芩,香附
橘叶,栝楼,连翘,皂角刺,青皮,桃仁
紫菀,杏仁,款冬花,桔梗,紫苏,五味子
新鲜萝卜约,粳米
新鲜白萝卜
贝母,莱菔,冰糖,豆腐皮,白糖,白果仁
莱菔,粳米
莱菔
贝母,款冬花,甘草,肉桂,鹅管石
缩砂仁,丁香,巴豆,乌梅,胡椒
绿茶,醋
杏仁,桔梗,葶苈,马兜铃,陈皮,茯苓
半夏,桔梗,党参,陈皮,前胡,葛根
半夏,苏子,白术,干姜,人参,茯苓
半夏,白术,人参,干姜,茯苓,甘草
贝母,鲜姜,鲜藕,萝卜,秋梨,麦冬
半夏,茴香,草乌,茯苓,香附,细辛
莱菔,桔梗,茅术,麦芽,制野军,果仁
贝母,桔梗,荆芥,牛蒡,石膏,黄连
半夏,胆南星,紫菀,款冬花,杏仁,生乌
半夏,杏仁,陈皮,茯苓,甘草
半夏,陈皮,白术,人参,茯苓,甘草
半夏,款冬花,杏仁,苏子,厚朴,桑白皮
半夏,广红皮,荆芥,茯神,清炙草,钩藤钩
贝母,杏仁,牛蒡,陈皮,石膏,甘草
半夏,杏仁,豆腐1小块,甘草,麻黄
半夏,莱菔,白芥子,杏仁,茶叶,苏子
半夏,杏仁,马兜铃,巴豆
白萝卜,蜂蜜
贝母,天竺黄,胆南星,桔梗,陈皮,枳壳
半夏,桔梗,当归,陈皮,重楼,皂刺
梅花脑,五,牙硝,硼砂,麝香,寒水石
梅花脑,牙消,硼砂,寒水石,麝香,甘草
贝母,莲子,玄参,枇杷叶,天冬,麦冬
冰糖,粳米,枇杷叶
冰糖,粳米,枇杷叶
半夏,莱菔,麦芽,枳实,陈皮,白术
半夏,天南星,枳实,法制消,礞石,黄芩
远志,菖蒲,麦冬,丹参,丹参,茯神
半夏,竹茹,胆草,旋复花,枳壳,黄连
贝母,半夏,杏仁,桔梗,陈皮,石膏
贝母,半夏,紫菀,杏仁,桔梗,地黄
百部,紫菀,白芥子,剖麦冬,苏子,东白薇
贝母,桔梗,陈皮,桑白皮,瓜蒌仁,茯苓
半夏,陈皮,苍术,神曲,干姜,栀子
半夏,陈皮,苍术,神曲,枳壳,栀子
贝母,胆南星,海石,陈皮,木通
半夏,乌梅,良姜,草果,青皮,厚朴
杏仁,葶苈,地龙,牛蒡,石膏,丹参
贝母,桔梗,前胡,知母,栀子,大黄
贝母,天竺黄,紫菀,鱼腥草,板蓝根,杏仁
贝母,鱼腥草,杏仁,桔梗,败酱草,桑白皮
昆布,海粉,当归,牙皂,芦荟,青皮
贝母,海藻,僵蚕,柴胡,夏枯草,当归
半夏,白芥子,桔梗,柴胡,苏子,蝉衣
檀香,薄荷,石膏,荆芥,羌活,人参
檀香,四,一了,二,薄荷,石膏
檀香,薄荷,石膏,荆芥,羌活,人参
半夏,苍术,瓜蒌仁,黄连,香附,黄芩
贝母,半夏,天南星,白芥子,玄明粉,陈皮
半夏,天南星,杏仁,陈皮,枳实,瓜蒌仁霜
半夏,天南星,莱菔,海粉,麦芽,苏子
半夏,天南星,杏仁,陈皮,枳实,瓜蒌仁
贝母,贝母,蛤壳,紫菀,杏仁,白花蛇舌草
半夏,石膏,五味子,射干,麻黄,甘草
贝母,半夏,杏仁,桔梗,地黄,枳实
半夏,昆布,白芥子,海藻,玄明粉,陈皮
贝母,郁金,茯苓,荷叶蒂,沙参,丹参
僵蚕,全虫,炙穿山甲,蜈蚣,蝉衣,夜明砂
贝母,桔梗,地黄,陈皮,茯苓,甘草
五倍子,诃子,五味子,甘草
桔梗,百药煎,粉草,香附,紫河车
半夏,天南星,陈皮,黄连,甘草,黄芩
半夏,天南星,陈皮,黄连,白矾,黄芩
半夏,天南星,天麻,干姜,甘草,防风
半夏,天南星,天麻,干姜,甘草,防风
天竺黄,党参,75克,75克,75克,60克
天南星,黑附子,乌头,木香
天南星,白附子,辰砂,蛇含,麝香
蛇胆汁,陈皮
半夏,柴胡,当归,黑附子,茱萸,人参
竹茹,桔梗,陈皮,苏子,甘草
文蛤,红芽大戟,续随子,山慈菇,麝香
远志,金箔,铁粉,菖蒲,丹砂,茯苓
贝母,半夏,杏仁,桔梗,陈皮,干葛
半夏,柴胡,白术,枳壳,茯苓,白芍
贝母,胆南星,远志,陈皮,钩藤,茯神
半夏,陈皮,茯苓,甘草,生姜
香墨,铅霜,黄明胶,干蝎,百草霜,腻粉
贝母,半夏,杏仁,桑白皮,黄连,苏子
半夏,僵蚕,槐角子,辰砂,陈皮,天麻
天南星,朱砂,琥珀
胆南星,远志,朱砂,当归,白术,琥珀
半夏,芍药,远志,玫瑰花,绿萼梅,厚朴花
昆布,海藻,海带,陈皮,海蛤粉,螵蛸
半夏,厚朴,肉豆蔻,山药
半夏,陈皮,黄连,吴萸,桃仁
半夏,陈皮,白术,乌梅肉,草果,人参
半夏,厚朴,紫苏,茯苓
