葱,白糖,玉竹,花椒,食盐,味精
枣仁,合欢皮,何首乌,灵芝,甘草,女贞子
枣仁,白糖,粳米,夜交藤
远志,芍药,桂心,当归,黄耆,五味子
枣仁,薏仁,甘杞子,大茴,大热地,建莲肉
茯神,枣仁,丹参,丹皮,野于术,川芎
茯神,枣仁,远志,熟地,柏子仁,丹砂
寒水石,黄金,丁子香,犀角,磁石,羚羊角
朱砂,柏子仁,肉苁蓉,龙骨,螵蛸,紫石英
茯神,枣仁,羚羊角,远志,甘草,人参
