丹参,甘草,莲子心,川芎,当归
银花,赤芍,连翘,白芷,薏仁
蒲公英,金银花,川军,赤小豆,赤芍
白菊花
花椒,广胶,陈酒糟,生葱,葱白
香油,章丹
金银花,连翘,山栀,黄连,丹皮
车前子,地黄,泽泻,茱萸,黑附子
橘核,川军,乌药,金铃子,胡芦巴
血竭,没药,乳香,发灰,土鳖虫
花椒,黄丹,大蒜头,槐枝,葱白
马钱子,草乌,枳壳
没药,乳香,苏木,好麻
没药,自然铜,骨碎补,木鳖子,川乌
皂角末,小黄米面,发灰
冰片,没药,乳香,黄柏,熊胆
鸡内金,薄荷,栀子,升麻,黄连
没药,葱,白胶香,清油,乳香
乌药,穿山甲,泽泻,红花,川芎
蒲公英,赤芍,元参,瓜蒌,蜂房
车前子,官桂,地黄,泽泻,茱萸
西瓜霜,珠粉,西黄,琥珀
白果,地肤子,白茅根,桑白皮,黄芪
昆布,海藻,白术,木通,白僵蚕
没药,乳香,紫苏,黄柏,薄荷
黄柏,薄荷,苏叶,杏仁,甘草
没药,乳香,黄柏,苏叶,薄荷
冰片,月石,贝母,滑石,龙骨
没药,乳香,麻黄,马钱子粉
没药,乳香,麻黄,土鳖虫,自然铜
醋2500毫升,半夏
大独活,广地龙,西秦艽,威灵仙,骨碎补
3克,或,9克,9克,厚朴
鸡蛋,龙衣,细盐
冰片,蝙蝠
冰片,西瓜霜,麝香,马勃,蒲黄
粳米,鹿头肉,香子,蔓荆子,高良姜
冬瓜,鲤鱼头
蛇床人,黄丹,黄蜡,乱发,蛇蜕皮
冰片,血竭,没药,儿茶,硼砂
银花,桃仁,炙山甲,红藤,川楝
蒲公英,金银花,连翘,夏枯草,贝母
银花,赤芍,连翘,白芷,黄柏
金银花,花粉,赤芍,连翘,白芷
鲜萝卜缨
粳米,绿豆
绿豆,白糖
葶苈,人参,贝母,桑白皮,紫菀
蟾酥,乳香,硇砂,麝香,雄黄
血竭,蟾酥,没药,朱砂,金脚信
血竭,蟾酥,胆矾,京墨,麝香
血竭,蟾酥,胆矾,京墨,麝香
昆布,贝母,天葵子,海石,牡蛎
赤芍,炒桃仁,刘寄奴,大黄,生地
没药,乳香,黄丹,草乌,蓖麻子
葱,赤芍,紫苏,黄柏,玄胡
冬瓜皮,大腹皮,车前子,官桂,建泽泻
蟾酥,西丹参,珠粉,麝香,飞朱砂
冰片,蟾酥,雄黄,珍珠,丁香
芙蓉叶,草乌,川乌,野芋头,天南星
大麻子仁,大黄
大米,白茅根
葶苈,海藻,商陆根,栝楼,蜀漆
冰片,葶苈,蟾酥,血竭,没药
生姜皮,车前子,川萆解,木通,大腹皮
蒲公英,粳米
紫草茸,白芷,地黄,川芎,藿香
银花,赤芍,牛蒡,连翘,薄荷
金银花,桔梗,麦冬,青果,北豆根
葫芦巴,紫苏,地肤子,白术,猪苓
冰片,白糖,大蚯蚓
赤芍,连翘,黄柏,黄连,甘草
连翘,白芷,射干,川芎,荆芥
冰片,血竭,没药,儿茶,乳香
闹羊花
芙蓉叶,滑石,花粉,生川柏,东丹
茶叶末,生清油
赤芍,连翘,黄柏,花粉,地黄
赤芍,连翘,黄柏,花粉,地黄
金银花,薏仁,地榆,麦冬,玄参
蒲公英,金银花,野菊花,连翘,瓜蒌
蒲公英,金银花,赤芍,连翘,车前子
金银花,连翘,地黄,山栀,川芎
连翘,牛蒡,薄荷,荆芥,石膏
金银花,玄明粉,连翘,鼠粘子,薄荷
芙蓉叶,赤小豆,白芷,黄柏,雄黄
冰片,血竭,没药,儿茶,乳香
金银花,麦冬,熟地,生地,甘菊花
白芷,姜黄,黄柏,厚朴,花粉
白酒,如意草
赤芍,海藻,昆布,鸡血藤,王不留行
元参,连翘,花粉,白术,鼠粘子
冰片,血竭,三七,薄荷,麝香
冰片,血竭,没药,儿茶,白芷
白酒,苏木
没药,人参,栝楼,甘草,当归
续随子,红芽大戟,麝香,文蛤,山慈菇
金银花,没药,乳香,白芷,贝母
清酒,甜石榴,酸石榴,苍耳子,羌活
车前子,薏仁,生枳,白术,车前草
冰片,虎杖,黄柏
白芷,黄柏,绿豆粉,郁金,白及
如意金黄散,樟冰
金银花,赤芍,牛蒡,射干,知母
大腹子,白术,厚朴,木瓜,草果仁
芙蓉叶,黄柏,大黄,泽兰叶,黄连
黄柏末,大黄末,雄黄,丹参
草乌,狼毒,天南星,半夏
粳米,商陆
大梅片,珍珠,西丹参,硼砂,人指甲
马钱子,枳壳
连翘,白芷,黄柏,薄荷,荆芥
白菊花,北防风,黄柏,地黄,白蒺藜
芙蓉叶,五倍子,赤小豆,草乌,川乌
芙蓉叶,薄荷,耳草叶,大黄,金桐叶
没药,桂心,琥珀,麝香,细辛
葶苈,白术,猪苓,滑石,辣桂
葶苈,人参,贝母,桑白皮,紫菀
没药,乳香,白芷,透骨草,木瓜
连翘,薄荷,莱菔,大力子,僵蛹
粳米,桃花瓣
没药,乳香,硇砂,糯米,丁香
白酒,天天果
灯心草,猪苓,滑石,泽泻,茯神
赤小豆,白樟柳根,木香,陈皮
