紫苏,葫芦巴,地肤子,猪苓,桃仁
冰片,白糖,大蚯蚓
连翘,赤芍,黄柏,甘草,黄连
连翘,白芷,射干,荆芥,羌活
冰片,儿茶,血竭,没药,乳香
闹羊花
芙蓉叶,花粉,生川柏,东丹,大黄
茶叶末,生清油
连翘,赤芍,黄柏,花粉,栀子
连翘,赤芍,黄柏,花粉,栀子
金银花,薏仁,地榆,麦冬,玄参
蒲公英,金银花,连翘,瓜蒌,野菊花
蒲公英,金银花,连翘,赤芍,车前子
金银花,连翘,山栀,地黄,川芎
连翘,牛蒡,薄荷,栀子,石膏
金银花,连翘,玄明粉,薄荷,栀子
芙蓉叶,赤小豆,白芷,黄柏,雄黄
冰片,儿茶,血竭,没药,乳香
金银花,麦冬,生地,熟地,甘菊花
姜黄,白芷,黄柏,花粉,天南星
白酒,如意草
赤芍,海藻,昆布,柴胡,王不留行
连翘,花粉,元参,桅子,鼠粘子
冰片,血竭,三七,薄荷,麝香
冰片,儿茶,血竭,没药,乳香
白酒,苏木
没药,人参,栝楼,甘草,当归
续随子,红芽大戟,山慈菇,文蛤,麝香
金银花,没药,乳香,白芷,花粉
酸石榴,甜石榴,清酒,苍耳子,羌活
车前子,车前草,生枳,薏仁,蝉衣
冰片,黄柏,虎杖
白芷,黄柏,郁金,轻粉,绿豆粉
紫苏,官桂,人参,五灵脂,砂仁
樟冰,如意金黄散
金银花,赤芍,牛蒡,射干,炙僵蚕
大腹子,木瓜,干姜,草果仁,黑附子
芙蓉叶,黄柏,泽兰叶,大黄,黄芩
大黄末,黄柏末,雄黄,丹参
草乌,狼毒,天南星,半夏
粳米,商陆
大梅片,硼砂,西丹参,马勃,青鱼胆
马钱子,枳壳
连翘,白芷,黄柏,薄荷,栀子
白菊花,北防风,黄柏,石膏,骨碎补
芙蓉叶,五倍子,赤小豆,草乌,半夏
芙蓉叶,薄荷,金桐叶,泽兰叶,耳草叶
没药,桂心,琥珀,麝香,细辛
葶苈,辣桂,木通,猪苓,滑石
葶苈,人参,贝母,桑白皮,紫菀
没药,乳香,透骨草,白芷,木瓜
连翘,夏枯草,僵蛹,薄荷,大力子
粳米,桃花瓣
没药,乳香,硇砂,糯米,丁香
白酒,天天果
灯心草,猪苓,滑石,茯苓,泽泻
赤小豆,白樟柳根,木香,陈皮
没药,乳香,黄柏,骨碎补,肉桂
猪蹄蜕,蚕蜕,穿山甲,粉草,蝉蜕
白芷,穿山甲,生地,黄耆,当归
赤芍,连翘,牛蒡,地黄,水牛角浓缩粉
生姜皮,茯苓皮,桑白皮,大腹皮,陈皮
蒲公英,银花,野菊花,地丁,紫背天葵子
没药,乳香,雄精,麝香
冰片,薄荷,薄荷,西瓜霜
升麻22,犀角,玄参,大黄,甘草
芙蓉叶,紫荆皮,白芷,天南星,骨碎补
生姜皮,葶苈,车前子,木通,猪苓
芙蓉叶,五倍子,草乌,天南星,陈小粉
乳香,上冰片,白及,丹皮
散血草,透骨草,姜黄,黄柏,大黄
通脱木,瞿麦,黑牵牛,木通,滑石
蒲公英,没药,乳香,栀子,木瓜
冰片,硼砂,寒水石,熊胆,孩儿茶
蒲公英,芙蓉叶,金银花,花粉,牛蒡
连翘,蓖麻仁,夏枯草
银花,花粉,白芷,贝母,柴胡
