马钱子,草乌,枳壳
没药,乳香,苏木,好麻
没药,木鳖子,川乌,羊胫骨灰,骨碎补
小黄米面,皂角末,发灰
冰片,没药,熊胆,黄柏,青鱼胆
没药,葱,木鳖子,清油,白胶香
穿山甲,乌药,红花,独活,川芎
蒲公英,赤芍,瓜蒌,蜂房,马勃
车前子,官桂,茱萸,地黄,泽泻
西瓜霜,珠粉,西黄,琥珀
地肤子,白果,白茅根,黄芪,桑白皮
昆布,海藻,木通,白僵蚕,苦参
没药,乳香,紫苏,黄柏,薄荷
没药,乳香,黄柏,薄荷,苏叶
冰片,月石,贝母,朱砂,滑石
没药,乳香,麻黄,马钱子粉
没药,乳香,土鳖虫,麻黄,自然铜
醋2500毫升,半夏
大独活,广地龙,西秦艽,威灵仙,骨碎补
或,3克,9克,9克,萝卜子
鸡蛋,细盐,龙衣
冰片,蝙蝠
冰片,西瓜霜,马勃,青黛,麝香
粳米,鹿头肉,香子,蔓荆子,高良姜
冬瓜,鲤鱼头
黄丹,蛇床人,黄蜡,乱发,蛇蜕皮
冰片,没药,血竭,儿茶,硼砂
银花,红藤,炙山甲,桃仁,皂角刺
蒲公英,金银花,连翘,夏枯草,贝母
银花,花粉,赤芍,白芷,连翘
金银花,赤芍,白芷,连翘,黄柏
鲜萝卜缨
粳米,绿豆
绿豆,白糖
葶苈,贝母,紫菀,桑白皮,人参
蟾酥,乳香,硇砂,朱砂,雄黄
蟾酥,血竭,没药,朱砂,龙脑
蟾酥,血竭,胆矾,朱砂,京墨
蟾酥,血竭,胆矾,朱砂,京墨
昆布,天葵子,海石,贝母,牡蛎
赤芍,刘寄奴,炒桃仁,生地,大黄
没药,木鳖子,黄丹,乳香,蓖麻子
葱,赤芍,紫苏,玄胡,黄柏
冬瓜皮,车前子,官桂,姜川朴,蝼蛄虫
蟾酥,西丹参,珠粉,飞腰黄,飞朱砂
冰片,蟾酥,雄黄,珍珠,丁香
芙蓉叶,草乌,天南星,川乌,野芋头
大麻子仁,大黄
大米,白茅根
葶苈,海藻,商陆根,栝楼,泽泻
冰片,蟾酥,没药,血竭,葶苈
