丹参,甘草,川芎,当归,莲子心
金银花,桔梗,青果,北豆根,白芍
紫苏,猪苓,葫芦巴,地肤子,桃仁
冰片,白糖,大蚯蚓
连翘,赤芍,黄柏,黄连,黄芩
连翘,白芷,射干,羌活,桔梗
冰片,儿茶,血竭,赤小豆,没药
闹羊花
芙蓉叶,花粉,滑石,生川柏,大黄
茶叶末,生清油
连翘,赤芍,花粉,黄柏,栀子
连翘,赤芍,花粉,黄柏,栀子
金银花,薏仁,地榆,麦冬,黄芩
蒲公英,金银花,连翘,野菊花,瓜蒌
蒲公英,金银花,赤芍,连翘,车前子
金银花,连翘,山栀,川芎,甘草
连翘,牛蒡,薄荷,栀子,桔梗
金银花,连翘,鼠粘子,薄荷,栀子
芙蓉叶,赤小豆,白芷,黄柏,雄黄
冰片,儿茶,血竭,没药,乳香
金银花,麦冬,生地,熟地,甘菊花
白芷,花粉,姜黄,黄柏,天南星
白酒,如意草
赤芍,海藻,昆布,鸡血藤,柴胡
连翘,花粉,元参,桅子,鼠粘子
冰片,血竭,薄荷,三七,麝香
冰片,儿茶,血竭,没药,黄柏
白酒,苏木
没药,人参,栝楼,甘草,当归
续随子,红芽大戟,麝香,山慈菇,文蛤
金银花,没药,乳香,白芷,贝母
清酒,甜石榴,酸石榴,苍耳子,羌活
车前子,薏仁,车前草,生枳,蝉衣
冰片,黄柏,虎杖
白芷,黄柏,郁金,大黄,轻粉
紫苏,人参,官桂,砂仁,五灵脂
如意金黄散,樟冰
金银花,赤芍,牛蒡,射干,知母
大腹子,木瓜,干姜,草果仁,厚朴
芙蓉叶,黄柏,泽兰叶,大黄,黄芩
大黄末,黄柏末,雄黄,丹参
草乌,狼毒,天南星,半夏
粳米,商陆
大梅片,西丹参,贝母,硼砂,青鱼胆
马钱子,枳壳
连翘,白芷,薄荷,黄柏,栀子
白菊花,北防风,黄柏,地黄,石膏
芙蓉叶,草乌,五倍子,赤小豆,川乌
芙蓉叶,薄荷,泽兰叶,牛膝,大黄
没药,桂心,麝香,琥珀,细辛
葶苈,猪苓,辣桂,木通,滑石
葶苈,贝母,人参,紫菀,桑白皮
没药,乳香,透骨草,白芷,木瓜
连翘,薄荷,僵蛹,大力子,莱菔
粳米,桃花瓣
没药,乳香,硇砂,糯米,丁香
白酒,天天果
灯心草,猪苓,滑石,茯神,茯苓
赤小豆,白樟柳根,陈皮,木香
没药,乳香,黄柏,肉桂,骨碎补
猪蹄蜕,蚕蜕,穿山甲,蝉蜕,粉草
白芷,天南星,红花,当归,防风
白芷,穿山甲,生地,当归,黄耆
连翘,赤芍,牛蒡,水牛角浓缩粉,玄参
生姜皮,茯苓皮,桑白皮,大腹皮,陈皮
蒲公英,银花,野菊花,紫背天葵子,地丁
没药,乳香,雄精,麝香
冰片,西瓜霜,薄荷,薄荷
升麻22,犀角,玄参,大黄,甘草
芙蓉叶,紫荆皮,白芷,天南星,橙橘叶
葶苈,生姜皮,猪苓,车前子,木通
芙蓉叶,草乌,五倍子,天南星,陈小粉
乳香,上冰片,白及,丹皮
散血草,透骨草,黄柏,姜黄,大黄
通脱木,滑石,瞿麦,黑牵牛,木通
蒲公英,没药,乳香,木瓜,栀子
冰片,寒水石,硼砂,熊胆,甘草
蒲公英,芙蓉叶,金银花,牛蒡,花粉
连翘,蓖麻仁,夏枯草
银花,贝母,白芷,花粉,柴胡
连翘,花粉,元参,栝楼,桔梗
蚯蚓,细辛,麻黄,雄黄,羌活
金银花,没药,乳香,穿山甲,连翘
大戟,葶苈,甘遂,商陆,桑白皮
乳香,硼砂,朱砂,麝香,雄黄
癞虾蟆草,枳壳
没药,乳香,草乌,木鳖子,五灵脂
冰片,赤芍,没药,贝母,乳香
粳米,青头雄鸭,葱白
没药,乳香,樟冰,甲片,麝香
冰片,姜黄,胆矾,铜绿,樟冰
