茯神,枣仁,金箔,远志,琥珀,辰砂
茯神,枣仁,远志,黄耆,当归,陈皮
茯神,天竺黄,胆南星,钩藤,防风,贝母
羊心,鲜玫瑰花,食盐
茯神,远志,辰砂,山药,麝香,人参
茯神,朱砂,枣仁,远志,天门冬,麦门冬
茯神,远志,菖蒲,麦冬,丹参,丹参
茯神,紫石英,芡实,枸杞,肉苁蓉,韭子
枣仁,珍珠母,合欢皮,丹参,钩藤,夏枯草
梅花片,真豆粉,大朱砂,丹参,甘草
珍珠母,板蓝根,胆酸,猪脱氧胆酸,水牛角,金银花
枣仁,牛心粉,沉香,枫香脂,丁香,木香
菖蒲,乌梅肉,人参,地黄,当归,芍药
茯神,朱砂,枣仁,远志,牡蛎,人参
枣仁,茯苓,知母,甘草,芎藭
枣仁,粳米
枣仁,夜交藤,丹参,龙骨,炒柏子仁,生地
光明砂,磁石,神曲
琥珀,辰砂,麝香,滴乳,当归,没药
铁粉,蛇黄,使君子仁,天南星,茯苓
茯神,远志,辰砂,菖蒲,麦冬,钩藤
远志,巴戟天,肉苁蓉,山药,牛膝,五味子
枣仁,山药,白术,人参急者用30克,干姜,当归
朱砂,琥珀,天南星
朱砂,远志,琥珀,胆南星,白芍,五味子
朱砂,檀香,琥珀,诃子,天麻,麝香
朱砂,檀香,琥珀,诃子,天麻,丹参
茯神,枣仁,远志,辰砂,紫石英,柏子仁
檀香,枣仁,石灰华,高山辣根菜,诃子,诃子
朱砂,金箔,琥珀,天南星,白附子,半夏
茯神,金箔,远志,铁粉,丹参,丹参
远志,巴戟,牛膝,地黄,菟丝子,杜仲
檀香,三,川芎,白芷,甘草,桔梗
枣仁,远志,麦门冬,柏子仁,丹参,地黄
茯神,枣仁,远志,菖蒲,天门冬,麦门冬
朱砂,枣仁,远志,菖蒲,柏子仁,麦冬
枣仁,山药,五味子,山萸,党参,破故纸60宽
枣仁,远志,麦门冬,半夏,人参,桂心
葱,酒,乌灵参,鸡,姜,盐
朱砂,丹参,郁金,黄芩,栀子,黄连
枣仁,丹参,柏子仁,丹皮,莲子心,玄参
茯神,麦门冬,龙齿,人参,犀角屑,甘草
琥珀,辰砂,青龙齿,枸杞,白芍,党参
茯神,珍珠母,合欢皮,丹参,钩藤,夏枯草
红糖,小米,龙眼肉
鸡蛋,小米
枣仁,小米,蜂蜜
朱砂,脑,胆南星,真珠,半夏,人参
天竺黄,菖蒲,胡连,胆南星,珠粉,煅青礞石
远志,辰砂,牡蛎,肉苁蓉,干姜,人参
茯神,枣仁,远志,紫石英,柏子仁,白芍
朱砂,钩藤,白术,人参,茯苓,甘草
枣仁,远志,麦门冬,胆南星,地黄,黄耆
葱,白糖,香油,玉竹,味精,花椒
枣仁,合欢皮,女贞子,何首乌,灵芝,浮小麦
枣仁,夜交藤,粳米,白糖
远志,茯苓X克,五味子,地黄,人参,黄耆
枣仁,麦冬,薏仁,山药,建莲肉,当归
茯神,枣仁,柏子仁,丹参,丹皮,当归
茯神,枣仁,远志,紫石英,柏子仁,阿胶
寒水石,黄金,丁子香,磁石,犀角,沉香
朱砂,肉苁蓉,紫石英,柏子仁,麝香,龙骨
茯神,枣仁,远志,地黄,人参,羚羊角
