海石,石礞,蚶壳,红花,香附,桃仁
透骨草,川羌,马前子,烧酒,老葱胡,三七
半夏,昆布,陈皮,红花,当归,白芍
半夏,陈皮,当归,白芍,川芎,茯苓
贝母,桔梗,枸杞,麦冬,当归,白芍
天竺黄,朱砂,天麻,白蔻,僵蚕,油松节
半夏,枳实,防己,旋覆花,桂心,芍药
杏仁,蛤蚧,葶苈,商陆,防己,茯苓
白芥子,陈皮,全丝瓜,上肉桂,白僵蚕,莪术
天竺黄,天南星,桔梗,天麻,陈皮,僵蚕
半夏,丁香,生姜,枣仁,甘草,厚朴
杏仁,陈皮,紫苏,茯苓,甘草,桑白皮
天南星,天麻,粉草,全蝎,荆芥,人参
天南星,天麻,粉草,全蝎,荆芥,人参
半夏,天南星,白附子,寒水石,干生姜,皂角
天南星,陈皮,陈皮,蒌仁,清夏,元芩
贝母,半夏,昆布,海藻,枳实,海带
半夏,桔梗,茯苓,干姜
半夏,天南星,杏仁,陈皮,紫苏,麦蘖
半夏,天南星,明矾,白附子
半夏,天南星,皂角,生姜,白矾
半夏,天南星,巴豆,干姜,枯矾,滑石
半夏,天南星,杏仁,陈皮,瓜蒌仁,紫苏
半夏,杏仁,桔梗,陈皮,葶苈,五味子
半夏,桔梗,陈皮,葶苈,硼砂,紫苏
半夏,天南星,陈皮,辰砂,腻粉,皂
半夏,紫菀,杏仁,桔梗,陈皮,葶苈
贝母,紫菀,款冬花,杏仁,桔梗,葶苈
半夏,款冬花,杏仁,桔梗,陈皮,葶苈
檀香,硼砂,柿霜,紫苏,薄荷,白葛粉
半夏,紫菀,杏仁,远志,瓜蒌仁,桔梗
天南星,真麝香,直僵蚕,明天麻,节白附,梅冰片
半夏,陈皮,黑牵牛,京三棱,青皮,槟榔
天南星,朱砂,蜈蚣,僵蚕,蝉壳,全蝎
天竺黄,胆南星,金箔,真麝香,朱砂,僵蚕
半夏,天南星,金箔,天麻,龙脑,犀角
半夏,旋覆花,芍药,前胡,荆芥,甘草
半夏,陈皮,当归,茯苓,甘草,熟地
贝母,半夏,天南星,瓜蒌仁,葶苈,桔梗
半夏,天南星,皂角,白矾
白芥子,透骨草,片姜黄,僵蚕,鸡血藤膏,橘络
半夏,天麻,夏枯草,杭白菊,牡蛎,秦艽
海粉,桔梗,瓜蒌仁,陈皮,丹参,香附
天南星,天麻,陈皮,当归,人参,川芎
天南星,远志,天麻,僵蚕,全蝎,白附子
贝母,半夏,杏仁,桔梗,陈皮,紫苏
贝母,杏仁,桔梗,陈皮,紫苏,石膏
贝母,半夏,杏仁,桔梗,陈皮,紫苏
贝母,紫菀,小蓟,白芍,桃仁,桑白皮
海藻,黄芪,党参,板蓝根,大青叶,丹参
贝母,陈皮,薄荷,柴胡,香附,当归
贝母,远志,桔梗,柴胡,广皮,银花
贝母,半夏,紫菀,款冬花,杏仁,远志
贝母,半夏,紫菀,款冬花,杏仁,桔梗
