半夏,天麻,芎,人参,独活,白芷
贝母,半夏,玉竹,北沙参,天冬,蛤粉
半夏,陈皮,茯苓,甘草
山芋,桔梗,远志,陈皮,芍药,五味子
贝母,杏仁,葶苈,桔梗,代赭石,陈皮
鱼腥草,陈皮,党参,黄芪,白花蛇舌草,铁树叶
贝母,贝母,半夏,半夏,白芥子,杏仁
贝母,竹茹,蒌仁,石斛,菊花炭,郁金
半夏,粉霜,黑牵牛子,白矾
硼砂,陈皮,乌梅,薄荷,五味子,甘草
贝母,半夏,桔梗,陈皮,香附,玄明粉
贝母,半夏,桔梗,陈皮,香附,玄明粉
半夏
半夏,檀香,百药煎,陈皮,薄荷,五味子
半夏,天南星,皂角,干姜,白矾
半夏,天南星,杏仁,陈皮,萝卜子,皂角
半夏,天南星,莱菔,瓜蒌仁,枳实,陈皮
竹茹,陈皮,菖蒲,缩砂,郁金,苍术
杏仁,百药煎,乌梅,黑矾,甘草
半夏,丁香,草豆蔻,白矾
半夏,丁香,枳实,陈皮,薄荷,五味子
半夏,明矾,硝石
贝母,海藻,白酒,黄药子
鱼腥草,百部,穿心莲,生干蟾,开金锁
蜈蚣,桔梗,僵蚕,钩藤,知柏,全蝎
贝母,半夏,远志,桔梗,陈皮,五味子
半夏,竹茹,枳实,陈皮,麦门冬,人参
天竺黄,钩藤,枳实,生川军,生石决明,黄芩
贝母,桔梗,枳实,陈皮,片芩,当归
杏仁,瓜蒌仁,黄连
半夏,杏仁,瓜蒌皮,生姜,牡蛎,桂枝
半夏,远志,合桃肉,五味子,熟附块,白术
山芋,杏仁,栝楼,甘草
半夏,海藻,昆布,陈皮,莪术,牡蛎
半夏,陈皮,龙涎香,伽楠香
贝母,香附,郁金,人参,白芍
半夏,陈皮,当归,人参,白术,白芍
海藻,鸡血藤,黄芪,黄精,丹参,玄参
半夏,党参,陈皮,紫河车,白术,黄耆
半夏,天南星,明矾,百药煎,五味子,乌梅肉
半夏,天南星,白附子,香墨,芎,杜仲
贝母,半夏,杏仁,皂荚,知母
半夏,天南星,陈皮,泽泻,黄芩,黄芩
贝母,桔梗,薄荷,薄荷,诃子,胖大海
贝母,天竺黄,半夏,胆南星,白芥子,葶苈
半夏,海粉,杏仁,栝楼,香附,诃子
款冬花,蛤蚧,成炼钟乳,肉桂,甘草,白矾
贝母,半夏,莱菔,白芥子,党参,杏仁
半夏,藿香,陈皮,人参,苍术,厚朴
半夏,藿香,陈皮,厚朴,甘草
半夏,藿香,陈皮,厚朴,甘草
半夏,藿香,丁香,陈皮,生姜,茯苓
半夏,竹茹,青蒿脑4,碧玉散,青子芩4,陈广皮
桔梗,僵蚕,天麻,全蝎,麻黄,川芎
半夏,朱砂,雄黄,白矾
天南星,海藻,海带,琥珀,血竭,京墨
胆南星,朱砂,钩藤,琥珀,地龙,薄荷
贝母,半夏,百合,天冬,血琥珀,京知母
天竺黄,天南星,檀香,朱砂,枳实,琥珀
天竺黄,天南星,檀香,金箔,枳实,粉草
天竺黄,天南星,朱砂,僵蚕,琥珀,全蝎
天竺黄,天南星,檀香,朱砂,金箔,枳实
贝母,天竺黄,胆南星,僵蚕,琥珀,全蝎
天竺黄,胆南星,辰砂,琥珀,月石,沉香
天竺黄,天南星,辰砂,钩藤,僵蚕,琥珀
贝母,天竺黄,胆南星,朱砂,钩藤,天麻
天南星,远志,大辰砂,菖蒲,人乳,人参
贝母,天竺黄,青礞石,月石,伽楠香,枣仁
贝母,青礞石,月石,沉香,天竹黄,枣仁
金箔,远志,桔梗,辰砂,粉草,麝香3厘
荸荠,海蜇皮
荸荠,海蜇
贝母,半夏,海藻,昆布,海带,陈皮
海藻,昆布,柴胡,小麦,龙胆草
海石,香附
海石,石礞,蚶壳,香附,莪术,红花
透骨草,马前子,老葱胡,烧酒,三七,川羌
半夏,昆布,陈皮,当归,人参,红花
半夏,陈皮,当归,川芎,白芍,茯苓
贝母,桔梗,当归,枸杞,黄芩,麦冬
天竺黄,朱砂,藿香,天麻,白蔻,僵蚕
半夏,桂心,枳实,芍药,旋覆花,芎藭
杏仁,葶苈,蛤蚧,商陆,防己,麻黄
白芥子,陈皮,上肉桂,全丝瓜,白僵蚕,莪术
天竺黄,天南星,柴胡,桔梗,天麻,僵蚕
半夏,丁香,生姜,厚朴,枣仁,甘草
杏仁,陈皮,紫苏,麻黄,茯苓,甘草
天南星,天麻,全蝎,粉草,人参,独活
天南星,天麻,全蝎,粉草,人参,独活
半夏,天南星,白附子,皂角,寒水石,干生姜
天南星,蒌仁,陈皮,陈皮,清夏,元芩
贝母,半夏,海藻,昆布,海带,枳实
半夏,桔梗,干姜,茯苓
半夏,天南星,杏仁,陈皮,萝卜子,皂角
半夏,天南星,明矾,白附子
半夏,天南星,皂角,生姜,白矾
半夏,天南星,巴豆,干姜,枯矾,滑石
半夏,天南星,杏仁,瓜蒌仁,陈皮,萝卜子
半夏,杏仁,葶苈,桔梗,陈皮,五味子
半夏,硼砂,葶苈,桔梗,陈皮,紫苏
半夏,天南星,辰砂,陈皮,腻粉,人参
半夏,紫菀,杏仁,葶苈,桔梗,陈皮
贝母,紫菀,款冬花,杏仁,葶苈,马兜铃
半夏,款冬花,杏仁,葶苈,桔梗,陈皮
檀香,柿霜,硼砂,白冰糖,白葛粉,紫苏
半夏,紫菀,杏仁,葶苈,远志,瓜蒌仁
天南星,代赭石,直僵蚕,节白附,真麝香,净全蝎
半夏,陈皮,京三棱,黑牵牛,槟榔,青皮
天南星,朱砂,蜈蚣,僵蚕,蝉壳,全蝎
天竺黄,胆南星,朱砂,金箔,僵蚕,真麝香
半夏,天南星,龙脑,天麻,金箔,丁香
半夏,芍药,前胡,旋覆花,麻黄,荆芥
半夏,陈皮,当归,茯苓,熟地,甘草
贝母,半夏,天南星,葶苈,瓜蒌仁,麦芽
半夏,天南星,皂角,白矾
白芥子,透骨草,僵蚕,片姜黄,香附,芍药
半夏,天麻,秦艽,杭白菊,牡蛎,白芍
海粉,桔梗,陈皮,瓜蒌仁,香附,丹参
天南星,天麻,陈皮,当归,人参,肉桂
天南星,远志,僵蚕,白附子,天麻,全蝎
贝母,半夏,杏仁,桔梗,陈皮,紫苏
贝母,杏仁,桔梗,陈皮,紫苏,前胡
贝母,半夏,杏仁,桔梗,陈皮,紫苏
贝母,紫菀,小蓟,白芍,滑石,甘草
海藻,党参,黄芪,大青叶,板蓝根,柴胡
贝母,柴胡,陈皮,薄荷,香附,当归
贝母,远志,桔梗,柴胡,广皮,银花
贝母,半夏,紫菀,款冬花,杏仁,远志
贝母,半夏,紫菀,款冬花,杏仁,栝楼
贝母,半夏,紫菀,杏仁,马兜铃,陈皮
贝母,杏仁,陈皮,五味子,净金灯,米壳
贝母,半夏,紫菀,款冬花,杏仁,桔梗
贝母,半夏,紫菀,杏仁,桔梗,陈皮
粳米,陈皮
半夏,莱菔,陈皮,香附,山楂,神曲
半夏,枳实,陈皮,白术
半夏,桔梗,陈皮,黑山栀,黄芩,黄连
紫菀,鱼腥草,四季青,金荞麦,前胡,麻黄
天竺黄,胆南星,朱砂,钩藤,天麻,僵蚕
杏仁,米仁,百合,五味子,麦门冬,人参
半夏,天南星,白芥子,杏仁,麦芽,瓜蒌仁
贝母,杏仁,桔梗,片芩,麻黄,石膏
半夏,杏仁,栝楼,小枳实,1,广皮红
半夏,杏仁,桔梗,陈皮,五味子,当归
半夏,草果,人参,生姜,青皮,广皮
半夏,桔梗,黄芩,人参,黄柏,黄连
半夏,桔梗,柴胡,陈皮,当归,黄芩
半夏,陈皮,香附,人参,粉草,益智
半夏,党参,枳实,三七,干姜炭,白术
贝母,党参,五味子,麦冬,熟地,山药
紫菀,旋复花,桔梗,陈皮,嫩苏梗,香附
半夏,陈皮,五味子,人参,白术,干姜
半夏,竹茹,桔梗,柴胡,枳实,陈皮
半夏,竹茹,钩藤,枳实,陈皮,丹参
杏仁,远志,陈皮,藿香,佩兰,琥珀粉
半夏,陈皮,紫苏,北梗,白术,辣桂
半夏,远志,紫苏,茯神,厚朴,茯苓
半夏,天南星,益智仁,枳实,陈皮,神曲
半夏,紫苏,菖蒲,白芷,厚朴,木香
杏仁,陈皮,刀豆子,藕节,玫瑰花,香附
半夏,党参,海藻,陈皮,当归,蛇六谷
半夏,桔梗,枳实,前胡,香附,人参
款冬花,杏仁,桔梗,枇杷叶,前胡,黄芩
半夏,海藻,昆布,白僵蚕,陈皮,当归
半夏,竹茹,桔梗,陈皮,当归,黄连
半夏,陈皮,茅术,生姜,茯苓,甘草
玄明粉,硼砂,柿霜,白粉,薄荷,乌梅肉
胆南星,陈皮,小枳实,羚羊,苏叶子,蒌子
竹茹,焦三仙,陈皮,干青果
胆南星,黑附子,僵蚕,陈皮,天麻,香附
贝母,海藻,柴胡,元参,漏芦,香附
半夏,黄芩,麻黄,干姜,桂枝,白芍
半夏,天南星,栝楼,辰砂,桔梗,枳实
贝母,半夏,陈皮,柴胡,当归,黄耆
贝母,半夏,天南星,栝楼,枳实,芍药
百部,穿心莲,玉竹,黄精,葎草,白及
半夏,半夏,藿香,桔梗,陈皮,紫苏
杏仁,陈皮,薄荷,麻黄,苏叶,桂枝
杏仁,葶苈,百合,天冬,石膏,大黄
半夏,醋2500毫升
款冬花,钟乳粉,川姜,人参,白术,甘草
款冬花,杏仁,麻黄,甘草
陈皮,川朴,生芍,榔片,香附,灵脂
半夏,桔梗,桂,枳壳
半夏,天南星,葶苈,枳实,黑牵牛,白术
半夏,京三棱,大腹子,青皮,木香
朱砂,生龙脑,生犀角,石膏,麦门冬,人参
朱砂,生龙脑,生犀角,石膏,麦门冬,人参
鸡苏叶,桔梗,龙脑,紫苏,黍粘子,瓜蒌根
半夏,天南星,草龙脑,白矾
半夏,附片,白术,牡蛎,生姜,白芍
杏仁,白芥子,紫苏,瓜蒌皮,蛤壳,花粉
杏仁,白芥子,紫苏,瓜蒌皮,蛤壳,花粉
杏仁,白芥子,紫苏,蛤壳,瓜萎皮,花粉
硼砂,青礞石,万年干,石膏
桔梗,京元参,淡条芩,上广皮,细川连,香附
紫菀,款冬花,杏仁,桔梗,紫苏,五味子
粳米,新鲜萝卜约
贝母,莱菔,白糖,冰糖,白果仁,豆腐皮
莱菔,粳米
莱菔
贝母,款冬花,鹅管石,肉桂,甘草
杏仁,葶苈,桔梗,陈皮,马兜铃,茯苓
半夏,党参,桔梗,陈皮,前胡,苏叶
半夏,苏子,人参,白术,干姜,茯苓
半夏,人参,干姜,白术,茯苓,甘草
贝母,萝卜,鲜姜,秋梨,鲜藕,麦冬
半夏,草乌,香附,茴香,茯苓,细辛
莱菔,桔梗,麦芽,陈皮,藿香,制野军
贝母,桔梗,元参,薄荷,花粉,黄连
半夏,紫菀,胆南星,款冬花,杏仁,麻黄
半夏,杏仁,陈皮,茯苓,甘草
半夏,陈皮,人参,白术,茯苓,甘草
半夏,款冬花,杏仁,麻黄,黄芩,苏子
半夏,清炙草,广红皮,钩藤钩,明天麻,川芎
贝母,杏仁,陈皮,麻黄,石膏,牛蒡
半夏,杏仁,麻黄,豆腐1小块,甘草
半夏,莱菔,白芥子,杏仁,茶叶,陈皮
半夏,杏仁,马兜铃,巴豆
陈皮,远志,粉草,罗参,莲肉,当归
贝母,天竺黄,胆南星,钩藤,桔梗,陈皮
半夏,桔梗,大力子,陈皮,重楼,皂刺
梅花脑,硼砂,牙硝,五,寒水石,麝香
梅花脑,硼砂,牙消,寒水石,麝香,甘草
贝母,枇杷叶,天冬,莲子,麦冬,枣仁
粳米,冰糖,枇杷叶
粳米,冰糖,枇杷叶
半夏,莱菔,麦芽,枳实,陈皮,香附
半夏,天南星,枳实,法制消,黄芩,礞石
半夏,竹茹,旋复花,胆草,黄芩,黄连
贝母,半夏,杏仁,瓜蒌仁,桔梗,陈皮
贝母,半夏,紫菀,杏仁,桔梗,百合
紫菀,百部,白芥子,剖麦冬,东白薇,苏子
贝母,桔梗,瓜蒌仁,陈皮,麦门冬,黄芩
半夏,陈皮,神曲,香附,干姜,黄连
半夏,陈皮,神曲,香附,黄连,苍术
贝母,胆南星,海石,陈皮,木通
半夏,乌梅,草果,良姜,青皮,厚朴
杏仁,葶苈,地龙,丹参,麻黄,石膏
贝母,桔梗,花粉,前胡,黄芩,黄柏
贝母,天竺黄,紫菀,杏仁,鱼腥草,元参
贝母,杏仁,鱼腥草,桔梗,败酱草,白术
昆布,海粉,牙皂,当归,芦荟,白芍
贝母,海藻,僵蚕,柴胡,当归,昆布海带
半夏,白芥子,柴胡,桔梗,枳实,蝉衣
檀香,薄荷,人参,石膏,荆芥,细辛
檀香,四,二,一了,薄荷,人参
