枣仁,远志,麦门冬,丹参,柏子仁,地黄
茯神,枣仁,远志,菖蒲,麦门冬,天门冬
枣仁,朱砂,远志,麦冬,菖蒲,丹参
枣仁,五味子,山药,党参,山萸,破故纸60宽
枣仁,远志,麦门冬,半夏,人参,萆薢
葱,乌灵参,酒,鸡,盐,姜
朱砂,丹参,郁金,黄芩,栀子,黄连
枣仁,丹参,丹皮,柏子仁,莲子心,玄参
茯神,麦门冬,龙齿,人参,犀角屑,黄芩
琥珀,辰砂,青龙齿,枸杞,白芍,党参
茯神,珍珠母,合欢皮,钩藤,丹参,夏枯草
红糖,小米,龙眼肉
小米,鸡蛋
枣仁,小米,蜂蜜
朱砂,脑,真珠,胆南星,半夏,人参
天竺黄,菖蒲,西丹参,胡连,煅青礞石,飞朱砂
远志,辰砂,牡蛎,肉苁蓉,干姜,人参
茯神,枣仁,远志,紫石英,柏子仁,白芍
朱砂,钩藤,人参,白术,茯苓,甘草
枣仁,远志,麦门冬,胆南星,地黄,黄耆
葱,白糖,猪心,香油,花椒,食盐
枣仁,合欢皮,女贞子,灵芝,何首乌,浮小麦
枣仁,白糖,夜交藤,粳米
远志,茯苓X克,五味子,黄耆,地黄,陈皮
枣仁,麦冬,薏仁,山药,大热地,建莲肉
茯神,枣仁,丹参,柏子仁,丹皮,陈皮
茯神,枣仁,远志,紫石英,柏子仁,龙齿
寒水石,黄金,磁石,丁子香,犀角,沉香
朱砂,肉苁蓉,紫石英,柏子仁,麝香,龙骨
茯神,枣仁,远志,地黄,人参,羚羊角
