天竺黄,菖蒲,胆南星,麝香,贝母,煅青礞石
远志,辰砂,牡蛎,肉苁蓉,人参,茯苓
茯神,枣仁,远志,柏子仁,紫石英,白芍
朱砂,钩藤,人参,白术,茯苓,甘草
枣仁,远志,麦门冬,胆南星,人参,地黄
葱,白糖,花椒,猪心,味精,香油
枣仁,合欢皮,女贞子,灵芝,何首乌,浮小麦
枣仁,夜交藤,粳米,白糖
远志,五味子,人参,陈皮,茯苓X克,黄耆
枣仁,麦冬,山药,薏仁,当归,建莲肉
茯神,枣仁,柏子仁,丹参,丹皮,当归
茯神,枣仁,远志,柏子仁,紫石英,龙齿
黄金,寒水石,磁石,丁子香,羚羊角,犀角
朱砂,肉苁蓉,柏子仁,紫石英,麝香,人参
茯神,枣仁,远志,羚羊角,地黄,人参
