朱砂,檀香,诃子,琥珀,天麻,麝香
朱砂,檀香,诃子,琥珀,丹参,天麻
茯神,枣仁,远志,辰砂,龙齿,柏子仁
枣仁,檀香,石灰华,诃子,诃子,高山辣根菜
朱砂,金箔,琥珀,天南星,白附子,羌活
茯神,金箔,远志,铁粉,丹参,丹参
远志,巴戟,牛膝,地黄,菟丝子,杜仲
檀香,三,白芷,桔梗,甘草,川芎
枣仁,远志,丹参,麦门冬,柏子仁,五味子
茯神,枣仁,远志,菖蒲,丹参,天门冬
枣仁,朱砂,远志,菖蒲,麦冬,丹参
枣仁,山药,五味子,党参,破故纸60宽,山萸
枣仁,远志,麦门冬,半夏,桂心,茯苓
葱,酒,乌灵参,鸡,盐,姜
朱砂,丹参,郁金,黄芩,栀子,黄连
枣仁,丹参,柏子仁,丹皮,莲子心,玄参
茯神,龙齿,麦门冬,犀角屑,人参,黄芩
琥珀,辰砂,青龙齿,枸杞,白芍,党参
茯神,珍珠母,合欢皮,钩藤,丹参,夏枯草
红糖,小米,龙眼肉
小米,鸡蛋
枣仁,小米,蜂蜜
朱砂,胆南星,真珠,脑,半夏,麝
天竺黄,菖蒲,珠粉,煅青礞石,胡连,飞朱砂
远志,辰砂,牡蛎,肉苁蓉,干姜,茯苓
茯神,枣仁,远志,柏子仁,紫石英,白芍
朱砂,钩藤,白术,茯苓,人参,甘草
枣仁,远志,麦门冬,胆南星,地黄,黄耆
葱,白糖,花椒,香油,猪心,味精
枣仁,合欢皮,女贞子,灵芝,何首乌,浮小麦
枣仁,粳米,白糖,夜交藤
远志,茯苓X克,五味子,地黄,黄耆,白术
枣仁,麦冬,山药,薏仁,建莲肉,大茴
茯神,枣仁,丹参,柏子仁,丹皮,枳壳
茯神,枣仁,远志,龙齿,柏子仁,紫石英
寒水石,黄金,丁子香,磁石,犀角,沉香
朱砂,肉苁蓉,柏子仁,紫石英,麝香,龙骨
茯神,枣仁,远志,地黄,羚羊角,当归
