贝母,紫菀,款冬花,杏仁,桔梗,陈皮
半夏,款冬花,杏仁,桔梗,陈皮,葶苈
檀香,硼砂,柿霜,白冰糖,紫苏,白葛粉
半夏,紫菀,杏仁,瓜蒌仁,远志,苏子
天南星,真麝香,直僵蚕,梅冰片,赤金箔,节白附
半夏,陈皮,京三棱,黑牵牛,木香,槟榔
天南星,朱砂,蜈蚣,蝉壳,僵蚕,全蝎
天竺黄,胆南星,朱砂,金箔,真麝香,僵蚕
半夏,天南星,金箔,龙脑,天麻,丁香
半夏,芍药,旋覆花,前胡,麻黄,荆芥
半夏,陈皮,当归,茯苓,甘草,熟地
贝母,半夏,天南星,瓜蒌仁,麦芽,桔梗
半夏,天南星,皂角,白矾
白芥子,透骨草,片姜黄,僵蚕,鸡血藤膏,菖蒲
半夏,天麻,杭白菊,牡蛎,秦艽,夏枯草
海粉,桔梗,陈皮,瓜蒌仁,香附,青黛
天南星,陈皮,天麻,当归,人参,肉桂
天南星,远志,天麻,僵蚕,菖蒲,全蝎
贝母,半夏,杏仁,桔梗,陈皮,紫苏
贝母,杏仁,桔梗,陈皮,紫苏,石膏
贝母,半夏,杏仁,桔梗,陈皮,紫苏
贝母,紫菀,小蓟,白芍,桃仁,甘草
海藻,大青叶,黄芪,党参,板蓝根,丹参
贝母,陈皮,薄荷,香附,麦门冬,当归
贝母,远志,桔梗,柴胡,广皮,赤苓
贝母,半夏,紫菀,款冬花,杏仁,远志
贝母,半夏,紫菀,款冬花,杏仁,桔梗
贝母,半夏,紫菀,杏仁,陈皮,马兜铃
贝母,杏仁,陈皮,五味子,白矾,净金灯
贝母,半夏,紫菀,款冬花,杏仁,桔梗
贝母,半夏,紫菀,杏仁,桔梗,苏子
粳米,陈皮
半夏,莱菔,陈皮,香附,山楂,白术
半夏,陈皮,枳实,白术
半夏,桔梗,陈皮,黑山栀,黄芩,黄连
紫菀,鱼腥草,四季青,金荞麦,前胡,麻黄
天竺黄,胆南星,朱砂,钩藤,天麻,僵蚕
杏仁,百合,麦门冬,五味子,米仁,人参
半夏,天南星,白芥子,杏仁,瓜蒌仁,麦芽
贝母,杏仁,桔梗,片芩,石膏,麻黄
半夏,小枳实,杏仁,1,栝楼,广皮红
半夏,杏仁,桔梗,陈皮,五味子,桂枝
半夏,广皮,草果,人参,生姜,青皮
半夏,桔梗,黄芩,人参,黄柏,黄连
半夏,桔梗,陈皮,柴胡,当归,白术
半夏,陈皮,粉草,香附,人参,茯苓
半夏,三七,枳实,党参,干姜炭,桂枝
贝母,党参,麦冬,五味子,山药,熟地
紫菀,旋复花,桔梗,陈皮,香附,嫩苏梗
半夏,陈皮,五味子,白术,人参,茯苓
半夏,竹茹,桔梗,陈皮,香附,枳实
半夏,竹茹,陈皮,钩藤,枳实,丹参
杏仁,远志,陈皮,琥珀粉,羚羊粉,菖蒲
半夏,陈皮,紫苏,北梗,白术,木香
半夏,远志,紫苏,茯神,茯苓,甘草
半夏,天南星,陈皮,益智仁,枳实,白豆蔻
半夏,紫苏,菖蒲,木香,茯苓,厚朴
杏仁,陈皮,生瓦楞,玫瑰花,刀豆子,藕节
半夏,海藻,陈皮,党参,黄药子,当归
半夏,桔梗,香附,枳实,白术,前胡
杏仁,款冬花,桔梗,枇杷叶,麦冬,前胡
半夏,昆布,海藻,陈皮,白僵蚕,当归
半夏,竹茹,桔梗,陈皮,当归,黄连
半夏,陈皮,茅术,生姜,茯苓,甘草
玄明粉,硼砂,柿霜,白粉,薄荷,乌梅肉
胆南星,小枳实,陈皮,蒌子,苏叶子,羚羊
竹茹,焦三仙,陈皮,干青果
胆南星,陈皮,僵蚕,天麻,菖蒲,郁金
贝母,海藻,漏芦,香附,皂刺,双花
半夏,桂枝,黄芩,麻黄,干姜,白芍
半夏,天南星,辰砂,桔梗,陈皮,栝楼
贝母,半夏,陈皮,柴胡,当归,白术
贝母,半夏,天南星,陈皮,栝楼,枳实
百部,玉竹,穿心莲,葎草,黄精,白及
半夏,半夏,桔梗,陈皮,紫苏,藿香
杏仁,陈皮,薄荷,桂枝,苏叶,麻黄
杏仁,葶苈,天冬,百合,石膏,大黄
半夏,醋2500毫升
杏仁,款冬花,麻黄,甘草
陈皮,榔片,生芍,香附,川朴,灵脂
半夏,桔梗,桂,枳壳
半夏,天南星,葶苈,枳实,黑牵牛,白术
半夏,京三棱,大腹子,木香,青皮
生龙脑,朱砂,生犀角,麦门冬,石膏,人参
生龙脑,朱砂,生犀角,麦门冬,石膏,人参
鸡苏叶,桔梗,龙脑,黍粘子,紫苏,瓜蒌根
半夏,天南星,草龙脑,白矾
半夏,附片,牡蛎,白术,生姜,茯苓
白芥子,杏仁,瓜蒌皮,紫苏,蛤壳,龙延香
白芥子,杏仁,瓜蒌皮,蛤壳,紫苏,回克
白芥子,杏仁,紫苏,蛤壳,瓜萎皮,桅子
硼砂,青礞石,万年干,石膏
桔梗,淡条芩,细川连,京元参,上广皮,香附
紫菀,杏仁,款冬花,桔梗,紫苏,五味子
粳米,新鲜萝卜约
贝母,莱菔,冰糖,白糖,白果仁,豆腐皮
莱菔,粳米
莱菔
贝母,款冬花,鹅管石,肉桂,甘草
杏仁,葶苈,桔梗,陈皮,马兜铃,茯苓
半夏,桔梗,陈皮,党参,前胡,黄芩
半夏,苏子,白术,人参,茯苓,干姜
半夏,白术,茯苓,人参,干姜,甘草
贝母,萝卜,麦冬,秋梨,鲜姜,鲜藕
半夏,香附,草乌,茴香,茯苓,细辛
莱菔,麦芽,桔梗,陈皮,果仁,制野军
贝母,桔梗,薄荷,石膏,元参,牛蒡
半夏,胆南星,紫菀,款冬花,杏仁,牙皂肉
半夏,杏仁,陈皮,茯苓,甘草
半夏,陈皮,白术,人参,茯苓,甘草
半夏,款冬花,杏仁,苏子,黄芩,麻黄
