鱼腥草,陈皮,黄芪,党参,铁树叶,白花蛇舌草
贝母,贝母,半夏,半夏,苏子,白芥子
贝母,竹茹,蒌仁,郁金,石斛,麦冬
半夏,粉霜,黑牵牛子,白矾
硼砂,陈皮,薄荷,五味子,乌梅,甘草
贝母,半夏,玄明粉,桔梗,陈皮,香附
贝母,半夏,玄明粉,桔梗,陈皮,香附
半夏
半夏,檀香,百药煎,陈皮,薄荷,乌梅肉
半夏,天南星,皂角,干姜,白矾
半夏,天南星,杏仁,陈皮,紫苏,香附
半夏,天南星,莱菔,陈皮,瓜蒌仁,香附
竹茹,陈皮,郁金,菖蒲,缩砂,苍术
杏仁,百药煎,乌梅,黑矾,甘草
半夏,丁香,草豆蔻,白矾
半夏,陈皮,丁香,薄荷,白豆蔻,五味子
半夏,明矾,硝石
贝母,海藻,白酒,黄药子
鱼腥草,百部,穿心莲,开金锁,生干蟾
蜈蚣,僵蚕,桔梗,知柏,钩藤,全蝎
贝母,半夏,远志,桔梗,陈皮,五味子
半夏,竹茹,陈皮,麦门冬,石膏,枳实
天竺黄,生石决明,钩藤,生川军,枳实,牡蛎
贝母,桔梗,陈皮,片芩,枳实,砂仁
半夏,杏仁,瓜蒌皮,桂枝,牡蛎,白芍
半夏,远志,熟附块,合桃肉,五味子,桂枝
山芋,杏仁,栝楼,甘草
半夏,昆布,海藻,陈皮,莪术,夏枯草
半夏,陈皮,龙涎香,伽楠香
贝母,郁金,香附,人参,白芍
半夏,陈皮,当归,茯苓,白术,白芍
海藻,鸡血藤,黄芪,黄精,丹参,玄参
半夏,党参,陈皮,紫河车,茯苓,白术
半夏,天南星,百药煎,明矾,乌梅肉,五味子
半夏,天南星,香墨,白附子,芎,杜仲
贝母,半夏,杏仁,皂荚,知母
半夏,天南星,陈皮,泽泻,黄芩,黄芩
贝母,桔梗,诃子,薄荷,薄荷,胖大海
贝母,天竺黄,半夏,胆南星,白芥子,苏子
半夏,海粉,杏仁,栝楼,诃子,香附
款冬花,蛤蚧,成炼钟乳,肉桂,甘草,白矾
贝母,半夏,莱菔,苏子,杏仁,白芥子
半夏,陈皮,藿香,茯苓,人参,甘草
半夏,陈皮,藿香,甘草,厚朴
