茯神,远志,麦门冬,天门冬,龙齿,地骨皮
枣仁,远志,琥珀,菖蒲,牡蛎,桂枝
枣仁,粳米,龙眼肉
粳米,红糖,莲子粉
茯神,朱砂,琥珀,丹参,郁金,沉香
磁石,控干,再用酒调成膏,大猪肚,搜下项药,入先洗猪肚内
巴戟,灵砂,金铃子,肉蔻,阳起石,钟乳
辰砂,真麝香1字,蝎梢,蜈蚣,白僵蚕,人参
干百合,蜂蜜
茯神,枣仁,五味子,当归,人参,陈皮
茯神,枣仁,金箔,远志,琥珀,辰砂
茯神,枣仁,远志,黄耆,当归,陈皮
茯神,天竺黄,钩藤,胆南星,防风,贝母
鲜玫瑰花,羊心,食盐
茯神,远志,辰砂,麝香,山药,人参
茯神,枣仁,朱砂,远志,麦门冬,天门冬
茯神,远志,菖蒲,麦冬,丹参,丹参
茯神,紫石英,肉苁蓉,芡实,枸杞,韭子
珍珠母,枣仁,合欢皮,丹参,钩藤,夏枯草
梅花片,真豆粉,大朱砂,丹参,甘草
珍珠母,猪脱氧胆酸,板蓝根,胆酸,水牛角,金银花
枣仁,沉香,牛心粉,枫香脂,丁香,木香
菖蒲,乌梅肉,地黄,人参,当归,芍药
茯神,枣仁,朱砂,远志,牡蛎,人参
枣仁,知母,茯苓,甘草,芎藭
枣仁,粳米
枣仁,夜交藤,丹参,龙骨,生地,炒柏子仁
光明砂,磁石,神曲
辰砂,琥珀,麝香,滴乳,当归,没药
铁粉,使君子仁,蛇黄,天南星,茯苓
茯神,远志,辰砂,菖蒲,麦冬,钩藤
远志,巴戟天,肉苁蓉,白酒,牛膝,五味子
枣仁,山药,人参急者用30克,干姜,当归,白术
朱砂,琥珀,天南星
朱砂,远志,琥珀,白芍,胆南星,五味子
檀香,朱砂,琥珀,诃子,天麻,麝香
檀香,朱砂,琥珀,诃子,天麻,丹参
茯神,枣仁,远志,辰砂,紫石英,柏子仁
檀香,枣仁,石灰华,诃子,诃子,高山辣根菜
金箔,朱砂,琥珀,天南星,白附子,羌活
茯神,金箔,远志,铁粉,丹参,丹参
远志,巴戟,牛膝,地黄,菟丝子,杜仲
檀香,三,甘草,白芷,桔梗,川芎
枣仁,远志,麦门冬,柏子仁,丹参,五味子
茯神,枣仁,远志,菖蒲,麦门冬,天门冬
枣仁,朱砂,远志,菖蒲,麦冬,柏子仁
枣仁,五味子,山药,党参,山萸,破故纸60宽
枣仁,远志,麦门冬,桂心,人参,萆薢
葱,鸡,乌灵参,酒,姜,盐
朱砂,丹参,郁金,黄芩,栀子,黄连
枣仁,丹参,柏子仁,丹皮,莲子心,玄参
茯神,麦门冬,龙齿,人参,犀角屑,甘草
琥珀,辰砂,青龙齿,枸杞,白芍,党参
茯神,珍珠母,合欢皮,丹参,钩藤,夏枯草
红糖,小米,龙眼肉
鸡蛋,小米
枣仁,小米,蜂蜜
朱砂,胆南星,脑,真珠,人参,半夏
天竺黄,菖蒲,麝香,胆南星,飞朱砂,西丹参
远志,辰砂,牡蛎,肉苁蓉,干姜,人参
茯神,枣仁,远志,紫石英,柏子仁,白芍
朱砂,钩藤,人参,白术,茯苓,甘草
枣仁,远志,麦门冬,胆南星,地黄,黄耆
葱,白糖,猪心,花椒,味精,玉竹
枣仁,合欢皮,浮小麦,女贞子,灵芝,何首乌
枣仁,粳米,白糖,夜交藤
远志,茯苓X克,五味子,地黄,黄耆,桂心
枣仁,麦冬,薏仁,山药,桂圆肉,大茴
茯神,枣仁,柏子仁,丹参,丹皮,陈皮
茯神,枣仁,远志,紫石英,柏子仁,阿胶
寒水石,磁石,丁子香,黄金,犀角,沉香
朱砂,紫石英,柏子仁,麝香,肉苁蓉,龙骨
茯神,枣仁,远志,地黄,羚羊角,当归
