半夏,陈皮,黑附子,白姜,草果子,甘草
贝母,陈皮,桔梗,元参,花粉,黄芩
贝母,陈皮,桔梗,芍药,花粉,黄芩
半夏,天麻,独活,白芷,芎,茯苓
贝母,半夏,麦冬,玉竹,广皮,北沙参
半夏,陈皮,茯苓,甘草
山芋,陈皮,桔梗,远志,芍药,麦门冬
贝母,杏仁,桔梗,陈皮,代赭石,葶苈
鱼腥草,黄芪,陈皮,党参,铁树叶,白花蛇舌草
贝母,贝母,半夏,半夏,白芥子,杏仁
贝母,竹茹,麦冬,蒌仁,石膏,白芍
半夏,粉霜,白矾,黑牵牛子
硼砂,陈皮,薄荷,乌梅,五味子,甘草
贝母,半夏,陈皮,香附,桔梗,玄明粉
贝母,半夏,陈皮,香附,桔梗,玄明粉
半夏
半夏,檀香,陈皮,百药煎,薄荷,乌梅肉
半夏,天南星,白矾,皂角,干姜
半夏,天南星,杏仁,陈皮,紫苏,香附
半夏,天南星,莱菔,陈皮,香附,紫苏
竹茹,陈皮,菖蒲,缩砂,郁金,苍术
杏仁,百药煎,乌梅,黑矾,甘草
半夏,丁香,白矾,草豆蔻
半夏,陈皮,丁香,枳实,薄荷,白豆蔻
半夏,硝石,明矾
贝母,海藻,黄药子,白酒
百部,鱼腥草,穿心莲,开金锁,生干蟾
蜈蚣,桔梗,僵蚕,钩藤,知柏,全蝎
贝母,半夏,远志,陈皮,桔梗,五味子
四季青,鼠曲草,干日红,平地木
半夏,竹茹,陈皮,枳实,石膏,麦门冬
天竺黄,钩藤,枳实,生川军,生石决明,黄芩
贝母,陈皮,桔梗,枳实,片芩,当归
杏仁,瓜蒌仁,黄连
半夏,杏仁,瓜蒌皮,白芍,桂枝,牡蛎
半夏,远志,合桃肉,熟附块,桂枝,白术
杏仁,山芋,栝楼,甘草
半夏,昆布,海藻,陈皮,夏枯草,莪术
半夏,陈皮,龙涎香,伽楠香
贝母,香附,白芍,郁金,人参
半夏,陈皮,当归,白术,白芍,茯苓
海藻,鸡血藤,黄芪,黄精,丹参,玄参
半夏,党参,陈皮,白术,黄耆,紫河车
半夏,天南星,百药煎,乌梅肉,明矾,五味子
