贝母,半夏,紫菀,杏仁,款冬花,桔梗
贝母,半夏,紫菀,杏仁,款冬花,桔梗
贝母,半夏,紫菀,杏仁,陈皮,白矾
贝母,杏仁,陈皮,白矾,五味子,净金灯
贝母,半夏,紫菀,杏仁,款冬花,桔梗
贝母,半夏,紫菀,杏仁,桔梗,陈皮
粳米,陈皮
半夏,莱菔,陈皮,香附,川芎,神曲
半夏,陈皮,枳实,白术
半夏,桔梗,陈皮,黑山栀,黄芩,茯苓
紫菀,鱼腥草,四季青,金荞麦,麻黄,前胡
天竺黄,胆南星,朱砂,天麻,钩藤,僵蚕
杏仁,米仁,麦门冬,百合,五味子,人参
半夏,天南星,白芥子,杏仁,桔梗,瓜蒌仁
贝母,杏仁,桔梗,石膏,片芩,麻黄
半夏,杏仁,小枳实,石膏,栝楼,1
半夏,杏仁,桔梗,陈皮,川芎,五味子
半夏,广皮,生姜,草果,人参,青皮
半夏,桔梗,黄芩,黄柏,人参,黄连
半夏,桔梗,陈皮,柴胡,当归,白芍
半夏,陈皮,粉草,香附,茯苓,人参
半夏,党参,牡蛎,三七,枳实,干姜炭
贝母,党参,麦冬,五味子,山药,沙参
紫菀,旋复花,桔梗,陈皮,嫩苏梗,香附
半夏,陈皮,五味子,白术,茯苓,甘草
半夏,竹茹,桔梗,陈皮,枳实,香附
半夏,竹茹,陈皮,钩藤,丹参,枳实
杏仁,远志,陈皮,羚羊粉,琥珀粉,佩兰
半夏,紫苏,陈皮,北梗,白术,茯苓
半夏,紫苏,远志,茯神,茯苓,甘草
半夏,天南星,陈皮,枳实,神曲,白豆蔻
半夏,紫苏,菖蒲,茯苓,白芷,木香
杏仁,陈皮,玫瑰花,刀豆子,生瓦楞,藕节
半夏,海藻,党参,陈皮,黄药子,蛇莓
半夏,桔梗,香附,枳实,前胡,白术
款冬花,杏仁,桔梗,枇杷叶,麦冬,前胡
半夏,昆布,海藻,陈皮,白僵蚕,当归
半夏,竹茹,桔梗,陈皮,当归,茯苓
半夏,陈皮,茅术,生姜,茯苓,甘草
玄明粉,硼砂,柿霜,白粉,薄荷,寒水石
胆南星,陈皮,小枳实,苏叶子,蒌子,蒌皮
竹茹,焦三仙,陈皮,干青果
胆南星,陈皮,天麻,僵蚕,苏合油3毫升,丹参
贝母,海藻,香附,漏芦,柴胡,皂刺
半夏,黄芩,麻黄,白芍,甘草,桂枝
半夏,天南星,桔梗,陈皮,辰砂,栝楼
贝母,半夏,陈皮,柴胡,白芍,当归
贝母,半夏,天南星,陈皮,栝楼,枳实
百部,玉竹,穿心莲,黄精,葎草,白及
半夏,半夏,桔梗,紫苏,陈皮,藿香
杏仁,陈皮,薄荷,麻黄,茯苓,甘草
杏仁,葶苈,石膏,天冬,百合,大黄
半夏,醋2500毫升
款冬花,钟乳粉,川姜,白术,甘草,人参
款冬花,杏仁,麻黄,甘草
川朴,陈皮,榔片,玄胡,生芍,灵脂
半夏,桔梗,桂,枳壳
半夏,天南星,葶苈,枳实,白矾,黑牵牛
半夏,大腹子,京三棱,木香,青皮
生龙脑,生犀角,朱砂,石膏,川芎,麦门冬
生龙脑,生犀角,朱砂,石膏,川芎,麦门冬
鸡苏叶,桔梗,紫苏,黍粘子,龙脑,瓜蒌根
半夏,天南星,白矾,草龙脑
半夏,牡蛎,附片,白芍,生姜,茯苓
杏仁,白芥子,蛤壳,紫苏,石膏,龙延香
杏仁,白芥子,蛤壳,紫苏,石膏,花粉
杏仁,白芥子,蛤壳,紫苏,石膏,丹参
青礞石,硼砂,万年干,石膏
桔梗,淡条芩,上广皮,京元参,细川连,香附
紫菀,款冬花,杏仁,桔梗,紫苏,五味子
粳米,新鲜萝卜约
贝母,莱菔,冰糖,白糖,白果仁,豆腐皮
莱菔,粳米
莱菔
贝母,款冬花,鹅管石,肉桂,甘草
杏仁,葶苈,桔梗,陈皮,马兜铃,茯苓
半夏,桔梗,党参,陈皮,前胡,黄芩
半夏,苏子,白术,茯苓,甘草,干姜
半夏,茯苓,白术,甘草,干姜,人参
贝母,萝卜,麦冬,鲜姜,鲜藕,秋梨
半夏,香附,茯苓,草乌,茴香,细辛
莱菔,桔梗,陈皮,制野军,麦芽,果仁
贝母,桔梗,石膏,薄荷,花粉,元参
半夏,胆南星,紫菀,杏仁,款冬花,麻黄
半夏,杏仁,陈皮,茯苓,甘草
半夏,陈皮,白术,茯苓,甘草,人参
半夏,杏仁,款冬花,苏子,麻黄,黄芩
半夏,川芎,明天麻,钩藤钩,广红皮,茯神
贝母,杏仁,陈皮,石膏,麻黄,牛蒡
半夏,杏仁,麻黄,豆腐1小块,甘草
半夏,莱菔,白芥子,杏仁,陈皮,苏子
半夏,杏仁,巴豆,马兜铃
远志,陈皮,罗参,粉草,莲肉,茯神
贝母,天竺黄,胆南星,桔梗,陈皮,钩藤
半夏,桔梗,陈皮,大力子,皂刺,当归
梅花脑,牙硝,五,硼砂,寒水石,甘草
梅花脑,硼砂,牙消,寒水石,甘草,麝香
贝母,天冬,麦冬,枇杷叶,莲子,玄参
粳米,冰糖,枇杷叶
粳米,冰糖,枇杷叶
半夏,莱菔,陈皮,麦芽,枳实,川芎
半夏,天南星,枳实,法制消,黄芩,礞石
远志,麦冬,菖蒲,丹参,丹参,花粉
半夏,竹茹,旋复花,胆草,黄芩,黄连
贝母,半夏,杏仁,桔梗,瓜蒌仁,陈皮
贝母,半夏,紫菀,杏仁,桔梗,百合
百部,紫菀,白芥子,苏子,东白薇,剖麦冬
贝母,桔梗,瓜蒌仁,陈皮,麦门冬,黄芩
半夏,陈皮,香附,川芎,神曲,茯苓
半夏,陈皮,香附,川芎,神曲,白芍
贝母,胆南星,海石,陈皮,木通
半夏,乌梅,良姜,甘草,草果,青皮
杏仁,葶苈,石膏,地龙,丹参,麻黄
贝母,桔梗,花粉,前胡,黄芩,黄柏
贝母,天竺黄,紫菀,杏仁,鱼腥草,陈皮
贝母,杏仁,桔梗,鱼腥草,败酱草,白术
昆布,海粉,川芎,牙皂,当归,白芍
贝母,海藻,僵蚕,柴胡,当归,连翘
半夏,白芥子,桔梗,苏子,枳实,蝉衣
檀香,石膏,薄荷,荆芥,甘草,人参
檀香,四,二,一了,石膏,薄荷
檀香,石膏,薄荷,荆芥,甘草,人参
半夏,瓜蒌仁,香附,黄芩,黄连,苍术
贝母,半夏,天南星,白芥子,玄明粉,陈皮
半夏,天南星,杏仁,陈皮,枳实,黄芩
半夏,天南星,莱菔,瓜蒌仁,海粉,苏子
半夏,天南星,杏仁,瓜蒌仁,陈皮,枳实
贝母,贝母,紫菀,杏仁,白花蛇舌草,北沙参
半夏,石膏,五味子,麻黄,射干,甘草
贝母,半夏,杏仁,桔梗,瓜蒌仁,枳实
半夏,昆布,白芥子,玄明粉,海藻,陈皮
贝母,丹参,荷叶蒂,杵头糠,砂仁壳,茯苓
蜈蚣,僵蚕,全虫,炙穿山甲,蝉衣,夜明砂
贝母,桔梗,陈皮,花粉,麦门冬,茯苓
百药煎,桔梗,粉草,香附,紫河车
半夏,天南星,陈皮,黄芩,甘草,黄连
半夏,天南星,陈皮,白矾,黄芩,黄连
半夏,天南星,天麻,川芎,川乌,甘草
半夏,天南星,天麻,川芎,川乌,甘草
天竺黄,党参,24克,24克,15克,麻黄
天南星,黑附子,乌头,木香
天南星,辰砂,白附子,蛇含,麝香
半夏,黑附子,柴胡,当归,白芍,茯苓
竹茹,桔梗,陈皮,苏子,甘草
红芽大戟,文蛤,山慈菇,续随子,麝香
远志,金箔,菖蒲,铁粉,茯苓,丹砂
贝母,半夏,杏仁,桔梗,陈皮,前胡
半夏,柴胡,白芍,茯苓,白术,肉桂
贝母,胆南星,远志,陈皮,辰砂,钩藤
半夏,陈皮,生姜,茯苓,甘草
贝母,半夏,杏仁,苏子,山栀,黄芩
半夏,陈皮,天麻,槐角子,辰砂,僵蚕
天南星,朱砂,琥珀
胆南星,朱砂,远志,陈皮,琥珀,白芍
半夏,远志,玫瑰花,厚朴花,芍药,佛手花
昆布,海藻,海带,陈皮,海蛤粉,木香
半夏,山药,肉豆蔻,厚朴
半夏,陈皮,吴萸,桃仁,黄连
半夏,陈皮,乌梅肉,生姜,白术,茯苓
半夏,紫苏,茯苓,厚朴
半夏,昆布,桔梗,莪术,粉葛,连翘
檀香,朱砂,苏合香,天麻,琥珀,僵蚕
檀香,朱砂,苏合香,天麻,琥珀,沉香
杏仁,神僸,麦蘖,萝卜子,三棱,青皮
莱菔,白芥子,山楂
半夏,天南星,朱砂,金箔,琥珀,全蝎
银箔,金箔,白僵蚕,远志,丹参,丹参
半夏,诃子,丁香,生姜,草豆蔻,干姜
贝母,半夏,天南星,海藻,桔梗,陈皮
半夏,桔梗,陈皮,麻黄,前胡,茯苓
天南星,蜈蚣,直僵蚕,麝香,猪牙皂角
半夏,陈皮,薤白,麦芽,生姜,全瓜蒌
