贝母,款冬花,鹅管石,肉桂,甘草
缩砂仁,丁香,巴豆,乌梅,胡椒
醋,绿茶
杏仁,葶苈,桔梗,马兜铃,陈皮
半夏,党参,桔梗,陈皮,葛根
半夏,苏子,白术,干姜,茯苓
半夏,干姜,白术,茯苓,甘草
贝母,萝卜,麦冬,鲜藕,秋梨
半夏,茴香,香附,草乌,茯苓
莱菔,茅术,果仁,制野军,麦芽
贝母,桔梗,薄荷,元参,山栀
半夏,胆南星,紫菀,款冬花,杏仁
半夏,杏仁,陈皮,茯苓,甘草
半夏,陈皮,白术,茯苓,甘草
半夏,款冬花,杏仁,苏子,黄芩
半夏,钩藤钩,清炙草,广红皮,明天麻
贝母,杏仁,陈皮,石膏,牛蒡
半夏,杏仁,豆腐1小块,麻黄,甘草
半夏,莱菔,白芥子,杏仁,茶叶
半夏,杏仁,马兜铃,巴豆
白萝卜,蜂蜜
罗参,远志,粉草,陈皮,莲肉
贝母,天竺黄,胆南星,桔梗,陈皮
半夏,桔梗,陈皮,大力子,当归
梅花脑,五,牙硝,硼砂,寒水石
梅花脑,牙消,硼砂,寒水石,麝香
贝母,天冬,麦冬,枇杷叶,莲子
冰糖,粳米,枇杷叶
冰糖,粳米,枇杷叶
半夏,莱菔,麦芽,枳实,陈皮
半夏,天南星,枳实,法制消,黄芩
半夏,竹茹,旋复花,胆草,黄芩
贝母,半夏,杏仁,瓜蒌仁,桔梗
贝母,半夏,紫菀,杏仁,桔梗
百部,白芥子,紫菀,苏子,剖麦冬
贝母,瓜蒌仁,桔梗,陈皮,麦门冬
半夏,陈皮,干姜,神曲,苍术
半夏,陈皮,神曲,苍术,香附
贝母,胆南星,海石,陈皮,木通
半夏,良姜,草果,青皮,乌梅
杏仁,葶苈,地龙,石膏,牛蒡
贝母,桔梗,黄柏,前胡,花粉
贝母,天竺黄,紫菀,鱼腥草,杏仁
贝母,鱼腥草,杏仁,桔梗,败酱草
海粉,昆布,牙皂,当归,芦荟
贝母,海藻,僵蚕,柴胡,夏枯草
半夏,白芥子,柴胡,桔梗,枳实
檀香,薄荷,石膏,羌活,荆芥
檀香,四,一了,二,薄荷
檀香,薄荷,石膏,羌活,荆芥
半夏,瓜蒌仁,苍术,香附,黄芩
贝母,半夏,天南星,白芥子,玄明粉
半夏,天南星,杏仁,枳实,陈皮
半夏,天南星,莱菔,海粉,瓜蒌仁
半夏,天南星,杏仁,瓜蒌仁,枳实
贝母,贝母,紫菀,杏仁,白花蛇舌草
半夏,五味子,石膏,射干,麻黄
贝母,半夏,杏仁,瓜蒌仁,枳实
半夏,海藻,白芥子,昆布,玄明粉
贝母,郁金,砂仁壳,杵头糠,荷叶蒂
蜈蚣,僵蚕,全虫,炙穿山甲,蝉衣
