天南星,独活,粉草,全蝎,天麻,羌活,荆芥
半夏,天南星,轻粉,皂角,硇砂,寒水石,白附子
天南星,大黄,陈皮,陈皮,花粉,蒌仁,元芩
五倍子
贝母,半夏,白石英,海藻,连翘,昆布,海带
半夏,干姜,桔梗,茯苓
半夏,天南星,生姜,神曲,杏仁,萝卜子,山檀
半夏,天南星,明矾,白附子
半夏,天南星,生姜,皂角,白矾
半夏,天南星,干姜,巴豆,枯矾,滑石
半夏,天南星,枳壳,萝卜子,杏仁,瓜蒌仁,紫苏
半夏,炙草,葶苈,杏仁,桔梗,五味子,陈皮
半夏,鳖甲,葶苈,茴香,桔梗,荆三棱,硼砂
半夏,天南星,腻粉,辰砂,陈皮,皂,人参
半夏,葶苈,覆花,紫菀,款冬,杏仁,桔梗
贝母,天门冬,阿胶,葶苈,款冬花,紫菀,杏仁
半夏,葶苈,阿胶,款冬花,人参,杏仁,桔梗
檀香,柿霜,乌梅肉,白冰糖,白葛粉,硼砂,薄荷
半夏,葶苈,黄芩,紫菀,远志,沙参,杏仁
天南星,节白附,乳香,净全蝎,赤金箔,直僵蚕,梅冰片
半夏,槟榔,京三棱,大黄,黑牵牛,陈皮,青皮
天南星,蛇黄,僵蚕,朱砂,蝉壳,蜈蚣,铁粉
天竺黄,胆南星,白附,蝉蜕,片脑,金箔,僵蚕
半夏,天南星,犀角,丹砂,丁香,金箔,龙脑
半夏,芍药,旋覆花,前胡,麻黄,荆芥,甘草
半夏,熟地,当归,陈皮,茯苓,甘草
贝母,黄柏,天南星,半夏,葶苈,独活,柴胡
半夏,天南星,皂角,白矾
白芥子,芍药,透骨草,僵蚕,片姜黄,鸡血藤膏,橘络
半夏,秦艽,葛根,夏枯草,杭白菊,天麻,白芍
海粉,桔梗,瓜蒌仁,黄芩,青黛,陈皮,连翘
天南星,当归,陈皮,天麻,羌活,肉桂,羚羊角
天南星,僵蚕,远志,菖蒲,木香,羌活,全蝎
贝母,半夏,葛根,杏仁,桔梗,紫苏,玄参
贝母,菊花,杏仁,桔梗,紫苏,陈皮,黄芩
贝母,半夏,葛根,杏仁,桔梗,紫苏,玄参
贝母,丹皮,紫菀,滑石,栀子,小蓟,桃仁
