神曲,生姜,食糖
白术,神曲,甘草,人参,桑白皮,青皮
白术,芍药,当归,人参,黄耆,官桂
白术,甘草,人参,枳壳,木香,柴胡
白术,芍药,当归,甘草,丹皮,柴胡
白术,当归,甘草,丹皮,薄荷,柴胡
山药,白术,当归,远志,党参,丹参
山药,白术,当归,远志,党参,丹参
白术,人参,天南星,茯神,钩藤,天竺黄
白术,黄芩,当归,升麻,苍术,甘草
白术,黄芩,升麻,甘草,苍术,柴胡
白术,党参,甘草,牡蛎,桂枝,半夏
白术,黄芩,防风,生地,丹皮,秦艽
白术,黄芩,防风,丹皮,生地,秦艽
山药,当归,川芎,甘草,干姜
山药,白术,当归,麻黄,木香,干姜
萆,芡实,莲须,菖蒲,益智仁,菟丝子
白术,甘草,人参,青皮,干姜,缩砂仁
白术,甘草,枳壳,木香,槟榔,五灵脂
白术,神曲,连翘,泽泻,麦芽,山楂
白术,神曲,半夏,枳实,麦芽,山楂
白术,神曲,黄连,苍术,泽泻,草蔻
建莲肉,枇杷叶50,蜜半杯,大梨,枣仁
白术,甘草,木香,肉豆蔻,黑附子
白术,升麻,川芎,生地
白术,当归,甘草,人参,黄芪,木香
白术,甘草,砂仁,人参,谷芽,山楂
白术,党参,甘草,续断,茯苓,蕲艾
神曲,麦芽,生料平胃散
白术,麦冬,猪苓,泽泻,石莲肉,香薷
黄芪,地肤子,当归,白果,桑白皮,白僵蚕
山药,扁豆,地黄,当归,川芎,白芍
白术,党参,甘草,牛膝,茯苓,莪术
白术,当归,甘草,黄柏,川芎,陈皮
白术,党参,甘草,莲须,金樱子,益智仁
白术,神曲,芍药,黄连,甘草,川芎
白术,川芎,苍术,山楂
白术,党参,甘草,黄耆,陈皮,蔓荆子
白术,黄柏,甘草,苍术,枳壳,滑石
白术,干姜,黑附子,厚朴,茯苓
白术,龙骨,牡蛎,海金沙,罂粟壳,豆蔻
白术,黄芩,黄连,当归,甘草,地骨皮
白术,黄芩,砂仁,黄连,当归,升麻
白术,当归,川芎,羚羊角,木香,薏仁
苍术,地黄,芍药,当归,丁香,陈皮
苍术,地黄,芍药,当归,丁香,陈皮
扁豆,党参,白芍,砂仁,于术,薏仁
山药,白芍,党参,砂仁,于术,香附
苍术,甘草,厚朴,人参,陈皮,茯苓
山药,白术,当归,干姜,党参,白芷
白术,地黄,黄芩,砂仁,当归,甘草
白术,扁豆,甘草,木香,砂仁,茯神
白术,神曲,甘草,人参,枳壳,麦芽
白术,党参,当归,甘草,川芎,干姜
山药,白术,地黄,当归,甘草,川芎
白术,当归,甘草,川芎,生地,人参
党参,苍术,于术,草豆蔻,木香,桔梗
诃子,良姜,肉豆蔻,甘草,人参,厚朴
山药,扁豆,白术,黄柏,枳壳,花粉
白术,黄芩,甘草,生地,枳壳,茯苓皮
山药,扁豆,白术,黄柏,枳壳,芡实
山药,扁豆,白术,黄柏,枳壳,芡实
山药,扁豆,黄连,甘草,神曲,桔梗
白术,芍药,贝母,山楂,陈皮
白术,党参,当归,续断,厚朴,白芍
山药,白术,黄连,当归,甘草,神曲
山药,神曲,百合,麦芽,谷芽,山楂
山药,扁豆,白术,黄连,甘草,人参
白术,党参,郁金,柴胡,丹参,谷芽
白术,桂枝,生黄耆,大腹皮,生姜皮,防己
白术,党参,当归,丹参,陈皮,茯苓
白术,党参,黄连,甘草,白芍,陈皮
白术,贝母,芡实,淮山,薏米,南豆
神曲,甘草,苍术,麦芽,山楂,厚朴
