赤芍,连翘,黄柏,黄连,甘草
连翘,白芷,射干,桔梗,柴胡
冰片,没药,血竭,赤小豆,儿茶
闹羊花
芙蓉叶,滑石,生川柏,花粉,东丹
生清油,茶叶末
赤芍,连翘,花粉,黄柏,地黄
赤芍,连翘,花粉,黄柏,地黄
金银花,地榆,薏仁,麦冬,当归
蒲公英,金银花,连翘,瓜蒌,野菊花
蒲公英,金银花,赤芍,车前子,连翘
金银花,地黄,连翘,川芎,山栀
连翘,牛蒡,前胡,薄荷,栀子
金银花,连翘,薄荷,玄明粉,栀子
芙蓉叶,赤小豆,白芷,黄柏,雄黄
冰片,没药,血竭,儿茶,乳香
金银花,生地,甘菊花,熟地,麦冬
姜黄,花粉,白芷,厚朴,黄柏
白酒,如意草
昆布,赤芍,海藻,香附,柴胡
元参,连翘,花粉,桅子,鼠粘子
冰片,地黄,血竭,三七,薄荷
冰片,没药,血竭,儿茶,乳香
白酒,苏木
没药,人参,栝楼,甘草,当归
续随子,文蛤,山慈菇,红芽大戟,麝香
金银花,没药,乳香,贝母,白芷
苍耳子,甜石榴,清酒,酸石榴,羌活
车前子,生枳,薏仁,蝉衣,车前草
冰片,黄柏,虎杖
白芷,黄柏,大黄,白及,郁金
紫苏,人参,莪术,官桂,砂仁
樟冰,如意金黄散
金银花,赤芍,牛蒡,射干,菊花
大腹子,干姜,木瓜,草果仁,厚朴
芙蓉叶,黄柏,大黄,黄连,泽兰叶
大黄末,黄柏末,雄黄,丹参
草乌,狼毒,天南星,半夏
粳米,商陆
大梅片,硼砂,青鱼胆,珍珠,贝母
马钱子,枳壳
连翘,黄柏,白芷,薄荷,大黄
白菊花,北防风,地黄,骨碎补,黄柏
芙蓉叶,赤小豆,五倍子,草乌,白及
芙蓉叶,薄荷,大黄,牛膝,金桐叶
没药,桂心,琥珀,麝香,细辛
葶苈,滑石,辣桂,猪苓,木通
葶苈,人参,贝母,桑白皮,紫菀
没药,乳香,透骨草,白芷,防风
连翘,夏枯草,薄荷,大力子,莱菔
粳米,桃花瓣
没药,乳香,硇砂,丁香,糯米
白酒,天天果
灯心草,滑石,茯神,猪苓,茯苓
赤小豆,白樟柳根,木香,陈皮
没药,乳香,丹皮,黄柏,白及
穿山甲,蚕蜕,猪蹄蜕,蝉蜕,荆芥
白芷,红花,天南星,防风,当归
白芷,穿山甲,生地,当归,黄耆
赤芍,连翘,牛蒡,地黄,水牛角浓缩粉
生姜皮,茯苓皮,桑白皮,大腹皮,陈皮
蒲公英,银花,野菊花,紫背天葵子,地丁
没药,乳香,雄精,麝香
冰片,西瓜霜,薄荷,薄荷
升麻22,大黄,犀角,玄参,甘草
芙蓉叶,紫荆皮,何首乌,橙橘叶,白芷
葶苈,生姜皮,车前子,猪苓,木通
芙蓉叶,五倍子,天南星,草乌,陈小粉
乳香,上冰片,白及,丹皮
散血草,姜黄,透骨草,香附,黄柏
通脱木,黑牵牛,滑石,木通,瞿麦
蒲公英,没药,乳香,木瓜,栀子
冰片,硼砂,寒水石,赤石脂,熊胆
芙蓉叶,蒲公英,金银花,牛蒡,花粉
蓖麻仁,连翘,夏枯草
银花,贝母,柴胡,白芷,花粉
元参,连翘,花粉,茯苓,大黄
蚯蚓,细辛,麻黄,雄黄,天南星
金银花,没药,连翘,乳香,瓜蒌
葶苈,大戟,茯苓,巴戟,甘遂
乳香,硼砂,朱砂,雄黄,5克
癞虾蟆草,枳壳
乳香,没药,木鳖子,草乌,五灵脂
冰片,没药,赤芍,乳香,贝母
粳米,青头雄鸭,葱白
没药,乳香,樟冰,牙皂,甲片
冰片,胆矾,铜绿,樟冰,姜黄
没药,乳香,赤芍,桂枝,黑附子
金银花,没药,赤芍,乳香,白芷
葶苈,桂心,海藻,郁李核仁,松萝
败酱,薏仁,黑附子
瓜蒌仁,薏仁,丹皮,桃仁,白芍
黑牵牛头末,茴香
制萸肉,石苇,茯苓,黄芪,山楂
乳没,乌药,莪术,黄芪,三棱
瓜蒌,麻黄蓍,白芨,零香,麻油
血竭,白芷,麻油,当归,白占
苍耳子,北芪,杭菊,辛荑花,防风
蟾酥,朱砂,雄黄,甘草
金银花,硼砂,山豆根,甘草
金银花,赤芍,泽兰,蝉蜕,金线重楼
没药,乳香,硇砂,雄黄,麝香
五倍子,山慈姑,朱砂,红大戟,千金子霜
没药,乳香,五倍子,肥皂肉
金银花,大黄,当归,地丁,黄耆
蒲公英,赤芍,白芷,黄柏,桃仁
血竭,儿茶,茯苓,红花,丹皮
土鳖虫,莪术,猪牙皂,豆豉姜,穿壁风
儿茶,乳香,血竭,没药,龙骨
