半夏,天南星,杏仁,紫苏,陈皮
半夏,葶苈,杏仁,桔梗,旋覆花
半夏,葶苈,桔梗,紫苏,麦蘖
半夏,天南星,辰砂,陈皮,皂
半夏,紫菀,葶苈,杏仁,桔梗
贝母,紫菀,葶苈,清夏,杏仁
半夏,葶苈,杏仁,款冬花,桔梗
檀香,柿霜,紫苏,硼砂,白冰糖
半夏,紫菀,葶苈,远志,杏仁
天南星,乳香,赤金箔,梅冰片,净全蝎
半夏,黑牵牛,陈皮,京三棱,青皮
天南星,蝉壳,蜈蚣,僵蚕,朱砂
天竺黄,胆南星,片脑,僵蚕,朱砂
半夏,天南星,龙脑,金箔,丁香
半夏,芍药,旋覆花,前胡,荆芥
半夏,当归,陈皮,熟地,茯苓
贝母,天南星,半夏,葶苈,柴胡
半夏,天南星,皂角,白矾
白芥子,透骨草,僵蚕,芍药,片姜黄
半夏,天麻,夏枯草,葛根,秦艽
海粉,桔梗,瓜蒌仁,陈皮,青黛
天南星,当归,陈皮,天麻,羌活
天南星,远志,僵蚕,天麻,全蝎
贝母,半夏,杏仁,桔梗,紫苏
贝母,杏仁,桔梗,紫苏,陈皮
贝母,半夏,杏仁,桔梗,紫苏
贝母,紫菀,小蓟,白芍,丹皮
海藻,党参,大青叶,黄芪,板蓝根
贝母,柴胡,当归,陈皮,香附
贝母,柴胡,远志,桔梗,赤苓
贝母,半夏,紫菀,远志,杏仁
贝母,半夏,紫菀,杏仁,桔梗
贝母,半夏,紫菀,杏仁,五味子
贝母,杏仁,五味子,陈皮,净金灯
贝母,半夏,紫菀,杏仁,桔梗
贝母,半夏,紫菀,杏仁,桔梗
粳米,陈皮
半夏,莱菔,陈皮,香附,白术
半夏,枳实,陈皮,白术
半夏,桔梗,陈皮,黑山栀,茯苓
紫菀,鱼腥草,四季青,金荞麦,前胡
天竺黄,胆南星,僵蚕,朱砂,天麻
杏仁,米仁,五味子,百合,知母
半夏,天南星,白芥子,杏仁,麦芽
贝母,杏仁,桔梗,片芩,知母
半夏,杏仁,栝楼,1,小枳实
半夏,杏仁,桔梗,桂枝,当归
半夏,草果,青皮,广皮,人参
半夏,黄柏,桔梗,大黄,黄芩
半夏,柴胡,桔梗,当归,陈皮
半夏,陈皮,香附,粉草,益智
半夏,党参,桂枝,枳实,三七
贝母,党参,五味子,麦冬,山药
紫菀,旋复花,桔梗,嫩苏梗,陈皮
半夏,陈皮,五味子,白术,干姜
半夏,竹茹,柴胡,桔梗,枳实
半夏,竹茹,枳实,陈皮,葛根
杏仁,远志,佩兰,羚羊粉,琥珀粉
半夏,紫苏,陈皮,北梗,白术
远志,郁金,琥珀,菖蒲,茯苓
半夏,远志,紫苏,厚朴,茯神
半夏,天南星,益智仁,枳实,陈皮
半夏,紫苏,菖蒲,厚朴,木香
杏仁,刀豆子,玫瑰花,生瓦楞,藕节
半夏,海藻,党参,当归,陈皮
半夏,桔梗,枳实,香附,白术
杏仁,款冬花,桔梗,银花,麦冬
半夏,昆布,海藻,白僵蚕,当归
半夏,竹茹,桔梗,当归,陈皮
半夏,茅术,陈皮,茯苓,枳壳
玄明粉,白粉,柿霜,硼砂,寒水石
胆南星,小枳实,蒌子,苏叶子,羚羊
竹茹,焦三仙,干青果,陈皮
炙桑白皮,三仙饮
焦三仙,陈皮
胆南星,僵蚕,天麻,黑附子,全蝎
贝母,海藻,柴胡,漏芦,香附
半夏,桂枝,白芍,干姜,细辛
半夏,天南星,桔梗,栝楼,辰砂
贝母,半夏,柴胡,当归,陈皮
贝母,天南星,半夏,芍药,栝楼
百部,玉竹,穿心莲,葎草,黄精
倭硫,朱砂
半夏,半夏,桔梗,紫苏,陈皮
杏仁,陈皮,桂枝,苏叶,薄荷
葶苈,杏仁,天冬,百合,木通
半夏,醋2500毫升
款冬花,钟乳粉,川姜,白术,人参
杏仁,款冬花,麻黄,甘草
灵脂,榔片,川朴,生芍,玄胡
半夏,桔梗,桂,枳壳
半夏,天南星,葶苈,黑牵牛,枳实
半夏,大腹子,京三棱,木香,青皮
生犀角,生龙脑,朱砂,石膏,细辛
生犀角,生龙脑,朱砂,石膏,细辛
鸡苏叶,桔梗,紫苏,龙脑,黍粘子
半夏,天南星,草龙脑,白矾
半夏,白术,附片,龙骨,白芍
白芥子,杏仁,龙延香,蛤壳,紫苏
白芥子,杏仁,蛤壳,紫苏,回克
白芥子,杏仁,蛤壳,紫苏,瓜萎皮
硼砂,青礞石,万年干,石膏
淡条芩,京元参,细川连,上广皮,桔梗
紫菀,款冬花,杏仁,紫苏,桔梗
粳米,新鲜萝卜约
新鲜白萝卜
贝母,莱菔,冰糖,白糖,白果仁
莱菔,粳米
莱菔
贝母,款冬花,鹅管石,肉桂,甘草
缩砂仁,巴豆,丁香,胡椒,乌梅
绿茶,醋
葶苈,杏仁,桔梗,陈皮,马兜铃
半夏,党参,桔梗,陈皮,葛根
半夏,苏子,白术,干姜,茯苓
半夏,白术,干姜,茯苓,人参
贝母,萝卜,鲜姜,秋梨,麦冬
半夏,茴香,香附,草乌,茯苓
莱菔,茅术,制野军,果仁,麦芽
贝母,桔梗,花粉,元参,山栀
半夏,胆南星,紫菀,款冬花,杏仁
半夏,杏仁,陈皮,茯苓,甘草
半夏,陈皮,白术,茯苓,人参
半夏,杏仁,款冬花,苏子,厚朴
半夏,钩藤钩,广红皮,清炙草,明天麻
贝母,杏仁,陈皮,牛蒡,石膏
半夏,杏仁,豆腐1小块,麻黄,甘草
半夏,莱菔,白芥子,杏仁,苏子
半夏,杏仁,巴豆,马兜铃
白萝卜,蜂蜜
远志,罗参,莲肉,陈皮,粉草
贝母,天竺黄,胆南星,桔梗,陈皮
半夏,桔梗,当归,陈皮,重楼
梅花脑,牙硝,五,硼砂,寒水石
梅花脑,牙消,硼砂,寒水石,麝香
贝母,天冬,莲子,枇杷叶,麦冬
冰糖,粳米,枇杷叶
冰糖,粳米,枇杷叶
半夏,莱菔,麦芽,枳实,陈皮
半夏,天南星,枳实,法制消,礞石
半夏,竹茹,胆草,旋复花,黄芩
贝母,半夏,杏仁,桔梗,陈皮
贝母,半夏,紫菀,杏仁,桔梗
紫菀,白芥子,百部,苏子,东白薇
贝母,桔梗,陈皮,瓜蒌仁,知母
半夏,陈皮,香附,神曲,苍术
半夏,陈皮,香附,神曲,苍术
贝母,胆南星,海石,陈皮,木通
半夏,良姜,草果,乌梅,厚朴
葶苈,杏仁,地龙,牛蒡,丹参
贝母,桔梗,黄柏,花粉,前胡
贝母,天竺黄,紫菀,鱼腥草,杏仁
贝母,鱼腥草,败酱草,杏仁,桔梗
昆布,海粉,当归,牙皂,芦荟
贝母,海藻,柴胡,僵蚕,当归
半夏,白芥子,柴胡,桔梗,蝉衣
檀香,薄荷,羌活,石膏,细辛
檀香,四,二,一了,薄荷
檀香,薄荷,羌活,石膏,细辛
半夏,香附,瓜蒌仁,苍术,黄芩
贝母,天南星,半夏,白芥子,玄明粉
半夏,天南星,杏仁,枳实,陈皮
