银花,赤芍,连翘,牛蒡,薄荷,羌活
金银花,桔梗,青果,北豆根,麦冬,白芍
葫芦巴,紫苏,地肤子,猪苓,桃仁,槟榔
冰片,白糖,大蚯蚓
赤芍,连翘,黄柏,黄连,甘草,黄芩
连翘,白芷,荆芥,射干,羌活,桔梗
冰片,没药,血竭,赤小豆,儿茶,乳香
闹羊花
芙蓉叶,花粉,滑石,大黄,生川柏,东丹
茶叶末,生清油
赤芍,连翘,花粉,黄柏,栀子,地黄
赤芍,连翘,花粉,黄柏,栀子,地黄
金银花,薏仁,地榆,麦冬,玄参,甘草
蒲公英,金银花,野菊花,瓜蒌,连翘,生地
蒲公英,金银花,赤芍,车前子,连翘,地丁
金银花,连翘,山栀,地黄,黄连,川芎
连翘,牛蒡,薄荷,荆芥,栀子,石膏
金银花,玄明粉,连翘,薄荷,荆芥,栀子
芙蓉叶,赤小豆,白芷,黄柏,白及,大黄
冰片,没药,血竭,儿茶,乳香,朱砂
金银花,麦冬,熟地,生地,甘菊花
姜黄,白芷,花粉,黄柏,天南星,大黄
白酒,如意草
赤芍,昆布,海藻,王不留行,鸡血藤,淫羊藿
连翘,花粉,元参,桅子,桔梗,黄连
冰片,三七,血竭,薄荷,红花,麝香
冰片,没药,血竭,儿茶,自然铜,乳香
白酒,苏木
没药,人参,栝楼,甘草,当归
续随子,红芽大戟,文蛤,山慈菇,麝香
金银花,没药,乳香,白芷,花粉,贝母
清酒,甜石榴,酸石榴,苍耳子,羌活,党参
车前子,生枳,车前草,荆芥,薏仁,菊花
冰片,黄柏,虎杖
紫苏,官桂,人参,砂仁,五灵脂,莪术
如意金黄散,樟冰
金银花,赤芍,牛蒡,射干,桔梗,菊花
大腹子,木瓜,草果仁,甘草,厚朴,木香
芙蓉叶,黄柏,泽兰叶,大黄,黄连,黄芩
大黄末,黄柏末,雄黄,丹参
草乌,天南星,狼毒,半夏
粳米,商陆
大梅片,硼砂,西丹参,人指甲,血琥珀,青鱼胆
马钱子,枳壳
连翘,白芷,黄柏,薄荷,荆芥,栀子
白菊花,北防风,黄柏,骨碎补,白蒺藜,石膏
芙蓉叶,五倍子,赤小豆,草乌,川乌,白及
芙蓉叶,薄荷,金桐叶,泽兰叶,耳草叶,大黄
没药,桂心,琥珀,麝香,细辛,芍药
葶苈,木通,猪苓,辣桂,滑石,木香
葶苈,贝母,桑白皮,人参,紫菀,杏仁
没药,乳香,透骨草,白芷,川椒,羌活
连翘,薄荷,莱菔,夏枯草,荆芥,僵蛹
粳米,桃花瓣
没药,乳香,硇砂,糯米,丁香
白酒,天天果
灯心草,猪苓,滑石,茯神,泽泻,茯苓
赤小豆,白樟柳根,陈皮,木香
没药,乳香,黄柏,骨碎补,肉桂,白芥子
蚕蜕,猪蹄蜕,粉草,穿山甲,蛇蜕,荆芥
赤芍,连翘,牛蒡,地黄,桔梗,水牛角浓缩粉
生姜皮,茯苓皮,桑白皮,大腹皮,陈皮
蒲公英,银花,野菊花,地丁,紫背天葵子
没药,乳香,雄精,麝香
冰片,西瓜霜,薄荷,薄荷
升麻22,犀角,大黄,玄参,甘草
芙蓉叶,紫荆皮,白芷,天南星,骨碎补,肉桂
生姜皮,葶苈,车前子,木通,猪苓,地骨皮
芙蓉叶,五倍子,草乌,天南星,陈小粉,半夏
乳香,上冰片,白及,丹皮
姜黄,透骨草,散血草,黄柏,大黄,香附
通脱木,瞿麦,黑牵牛,木通,滑石,丁香
蒲公英,没药,乳香,木瓜,栀子,大黄
冰片,硼砂,寒水石,熊胆,孩儿茶,黄连
蒲公英,芙蓉叶,金银花,花粉,牛蒡,甘草
连翘,蓖麻仁,夏枯草
银花,白芷,贝母,花粉,僵蚕,青皮
连翘,花粉,元参,栝楼,桔梗,山栀
蚯蚓,雄黄,荆芥,天南星,羌活,麻黄
金银花,没药,乳香,瓜蒌,连翘,穿山甲
大戟,葶苈,甘遂,芫花,桑白皮,商陆
乳香,硼砂,5克,雄黄,麝香,朱砂
癞虾蟆草,枳壳
没药,乳香,木鳖子,草乌,五灵脂,麝香
冰片,没药,赤芍,乳香,贝母,花粉
粳米,青头雄鸭,葱白
没药,乳香,樟冰,甲片,麝香,良姜
冰片,铜绿,姜黄,樟冰,甲片,胆矾
