檀香,僵蚕,朱砂,乳香,丁香
杏仁,麦蘖,萝卜子,神僸,青皮
莱菔,白芥子,山楂
半夏,天南星,朱砂,白僵蚕,金箔
远志,升麻,银箔,金箔,白僵蚕
半夏,丁香,草豆蔻,干姜,诃子
贝母,半夏,天南星,海藻,枳实
半夏,葛根,桔梗,前胡,陈皮
天南星,蜈蚣,直僵蚕,麝香,猪牙皂角
半夏,薤白,厚朴,麦芽,陈皮
贝母,莱菔,葶苈,杏仁,牛蒡
葶苈,杏仁,黑牵牛,防己,麻黄
胆南星,海石,山栀,苍术,抚芎
莱菔,杏仁,连翘,夏枯草,薄荷
贝母,海藻,乳香,蓖麻子肉,猫头骨牙爪1副
半夏,天南星,白芥子,僵蚕,红芽大戟
贝母,杏仁,桔梗,京墨,阿胶珠
文蛤,红芽大戟,朱砂,山茨菇,千金子
半夏,白术,老生姜,天麻,茯苓
百部,远志,当归,桔梗,地黄
天南星
鸡血藤,蜈蚣,地龙,当归,羌活
瓜瓣,苇茎,薏仁,桃仁
半夏,竹茹,陈皮,茯苓,枳壳
半夏,竹茹,枳实,陈皮,生姜
半夏,桂心,远志,黄芩,萆薢
半夏,白术,干姜,陈皮
半夏,芍药,当归,桔梗,十
半夏,芍药,桔梗,陈皮,干姜
牛乳60毫升,生姜汁,藕汁,梨汁10毫升,韭汁
半夏,白术,陈皮2,砂仁,木香
半夏,白术,党参,西砂仁,炒广皮
半夏,小川连,栝楼,小枳实,生川军
贝母,半夏,柴胡,天南星,白术
半夏,天南星,黄柏,苍术,黄芩
贝母,杏仁,桔梗,柏仁,麦冬
青连翘,生赤芍,生姜汁2滴,犀角汁20毫升,淡竹沥60毫升
半夏,麦芽,苍术,神曲,藿香
蝉壳,白僵蚕,陈皮,厚朴,羌活
半夏,杏仁,桔梗,前胡,干葛
海藻,昆布,白芥子,桔梗,夏枯草
半夏,昆布,海藻,通草,枯白矾
贝母,半夏,柴胡,海藻,昆布
海藻,昆布,炒山甲,夏枯草,生地
海藻,昆布,海带,螵蛸,海马
海藻,海带,桔梗,海蛤,螵蛸
半夏,血竭,皂角,生山甲,生马钱子
贝母,元参,牡蛎
贝母,乳香,生黄耆,血竭,没药
海石,杏仁,桔梗,连翘,栝楼
半夏,柴胡,白芥子,陈皮,瓜蒌
海藻,糯米,元参,红娘子,牡蛎
半夏,僵蚕,山栀,桔梗,黄芩
半夏,茯苓,甘草
半夏,黑附子,菖蒲,陈皮,神曲
半夏,杏仁,桔梗,前胡,枣仁
半夏,桂心,紫菀,杏仁,白术
杏仁,桃仁,桑白皮,人参
杏仁,萝卜子
百部,远志,杏仁,桔梗,陈皮流浸膏
僵蚕,旋复花,防风,石膏
半夏,旋复花,代赭石,枣仁,人参
半夏,缩砂仁,丁香,白豆蔻,神曲
半夏,茱萸,桔梗,沉香,厚朴
竹茹,姜汁3茶匙,柿蒂,陈皮
半夏,栝楼,黄连
半夏,胆南星,朱砂,真珠,麝
贝母,半夏,天南星,西河柳,大青叶
贝母,天南星,白芥子,神曲,朱砂
天竺黄,天南星,神曲,山楂,朱砂
贝母,乳香,珍珠,炒二丑,赤芍
贝母,胆南星,杏仁,桔梗,麦冬
贝母,天竺黄,半夏,胆南星,西丹参
贝母,天竺黄,半夏,天南星,朱砂
牵牛,槟榔,陈皮,甘草
天竺黄,半夏,竹茹,郁金,六一散
僵蚕,新鲜大力子根,地龙,梗,乳香
白芥子,乳没,黑附子,当归,姜黄
半夏,莱菔,白术,当归,山楂
半夏,天南星,莪术,芫花
香梗芋艿,不拘多少
贝母,羊胆干膏,百部,白及,甘草
贝母,薏仁,麦冬,五味子,天冬
胆南星,远志,当归,地黄,黄连
竹茹,远志,玉竹,柏子仁,女贞子
天南星,防风
半夏,寒水石,三,白矾
贝母,半夏,葶苈,紫菀,杏仁
半夏,天南星,牛膝,僵蚕,白术
半夏,天南星,远志,白术,僵蚕
半夏,天南星,蜈蚣,僵蚕,朱砂
天竺黄,金箔,琥珀,炒白牵牛子,黄连
红豆,盐,丁香,白豆蔻,陈皮
天南星,地龙,乳香,没药,白僵蚕
天南星,地龙,乳香,没药,白僵蚕
天南星,僵蚕,地龙,乳香,没药
半夏,白术,黄芪,党参,代赭石
贝母,白芷
贝母,半夏,杏仁,犀角,款冬花
紫菀,桔梗,木通,白茅根,朴消
贝母,紫菀,款冬花
杏仁,紫苏,五味子,青皮,麻黄
半夏,白术,桂,紫苏,陈皮
葶苈,葶苈,始蚧,潞州人参,木香
竹黄,白酒
半夏,竹茹,陈皮,茯苓,生姜
半夏,天南星,白芥子,白术,山楂
贝母,秦艽,杏仁,百部,款冬花
天南星,滑石,全蝎,腻粉,巴霜
半夏,胆南星,秦艽,白僵蚕,黄松节
半夏,牛膝,竹茹,白术,夏枯草
紫菀,百部,桔梗,陈皮,白前
莱菔,胆南星,葶苈,杏仁,黄芩
贝母,半夏,葶苈,杏仁,桔梗
半夏,紫菀,杏仁,地黄,桔梗
半夏,天南星,白术,杏仁,麦芽
半夏,桔梗,黄芩,枳壳,甘草
梅花脑,五,牙硝,朱砂,硼砂
贝母,海藻,昆布,急性子,郁金
天竺黄,檀香,黑附子,白术,葛根
