丹参,赤芍,莲子心,川芎,薄荷,甘草
生姜皮,甘草,车前子,川萆解,木通,砂仁
蒲公英,粳米
紫草茸,白芷,地黄,藿香,川芎,茯苓
银花,当归,赤芍,连翘,薄荷,牛蒡
金银花,白芍,桔梗,北豆根,青果,玄参
葫芦巴,地肤子,紫苏,茯苓,泽泻,猪苓
冰片,大蚯蚓,白糖
赤芍,连翘,黄柏,甘草,黄连,黄芩
连翘,白芷,柴胡,荆芥,羌活,射干
冰片,延胡索,没药,血竭,赤小豆,乳香
闹羊花
芙蓉叶,黄芩,花粉,滑石,生川柏,大黄
茶叶末,生清油
赤芍,连翘,黄柏,地黄,知母,栀子
赤芍,连翘,黄柏,地黄,知母,栀子
金银花,当归,薏仁,地榆,玄参,麦冬
蒲公英,金银花,甘草,瓜蒌,野菊花,连翘
蒲公英,金银花,地骨皮,赤芍,连翘,车前子
金银花,连翘,地黄,山栀,当归,黄连
连翘,牛蒡,薄荷,甘草,荆芥,栀子
金银花,玄明粉,连翘,黄芩,鼠粘子,黄连
芙蓉叶,黄连,赤小豆,白芷,黄柏,雄黄
冰片,红花,没药,血竭,乳香,儿茶
金银花,熟地,生地,甘菊花,麦冬
姜黄,白芷,黄柏,甘草,花粉,天南星
白酒,如意草
赤芍,昆布,海藻,柴胡,鸡血藤,王不留行
连翘,元参,升麻,鼠粘子,桅子,花粉
冰片,地黄,三七,血竭,薄荷,麝香
冰片,没药,血竭,黄芩,黄连,自然铜
白酒,苏木
没药,人参,栝楼,甘草,当归
续随子,红芽大戟,麝香,山慈菇,文蛤
没药,金银花,甘草,白芷,乳香,贝母
酸石榴,甜石榴,清酒,苍耳子,羌活,丹参
车前子,车前草,生枳,薏仁,白术,蝉衣
冰片,虎杖,黄柏
白芷,黄柏,大黄,郁金,轻粉,白蔹
如意金黄散,樟冰
金银花,赤芍,甘草,山豆根,牛蒡,知母
大腹子,干姜,木瓜,草果仁,茯苓,厚朴
芙蓉叶,黄芩,黄连,黄柏,泽兰叶,大黄
黄柏末,大黄末,丹参,雄黄
草乌,狼毒,半夏,天南星
粳米,商陆
大梅片,硼砂,西丹参,青鱼胆,人指甲,煅人中白
马钱子,枳壳
白芷,连翘,黄柏,川芎,薄荷,荆芥
白菊花,北防风,黄柏,地黄,白蒺藜,石膏
芙蓉叶,半夏,五倍子,赤小豆,草乌,川乌
芙蓉叶,牛膝,薄荷,泽兰叶,金桐叶,耳草叶
没药,桂心,琥珀,麝香,细辛,芍药
葶苈,茯苓,猪苓,木通,滑石,辣桂
葶苈,人参,贝母,桑白皮,紫菀,五味子
没药,当归,乳香,白芷,透骨草,木瓜
连翘,夏枯草,杏仁,薄荷,大力子,僵蛹
粳米,桃花瓣
没药,乳香,丁香,硇砂,糯米
白酒,天天果
灯心草,猪苓,泽泻,茯苓,滑石,茯神
赤小豆,白樟柳根,木香,陈皮
没药,乳香,续断,黄柏,肉桂,生地
蚕蜕,猪蹄蜕,穿山甲,粉草,荆芥,蝉蜕
白芷,穿山甲,当归,生地,黄耆
赤芍,连翘,牛蒡,地黄,水牛角浓缩粉,桔梗
生姜皮,茯苓皮,陈皮,桑白皮,大腹皮
蒲公英,银花,地丁,野菊花,紫背天葵子
没药,雄精,乳香,麝香
冰片,薄荷,薄荷,西瓜霜
升麻22,甘草,玄参,犀角,大黄
芙蓉叶,当归,白芷,紫荆皮,天南星,菖蒲
葶苈,生姜皮,地骨皮,车前子,猪苓,木通
芙蓉叶,半夏,五倍子,草乌,天南星,陈小粉
乳香,上冰片,丹皮,白及
姜黄,散血草,透骨草,黄柏,甘草,香附
通脱木,木通,茯苓,黑牵牛,滑石,瞿麦
蒲公英,没药,大黄,乳香,栀子,木瓜
冰片,甘草,寒水石,硼砂,熊胆,赤石脂
芙蓉叶,蒲公英,当归,金银花,牛蒡,花粉
蓖麻仁,夏枯草,连翘
银花,当归,白芷,贝母,花粉,柴胡
连翘,元参,茯苓,花粉,桔梗,栝楼
蚯蚓,细辛,麻黄,荆芥,雄黄,羌活
没药,金银花,丹参,瓜蒌,乳香,连翘
葶苈,大戟,茯苓,甘遂,芫花,桑白皮
硼砂,乳香,当归,麝香,雄黄,朱砂
癞虾蟆草,枳壳
没药,木鳖子,当归,乳香,草乌,五灵脂
冰片,甘草,没药,赤芍,乳香,雄黄
粳米,葱白,青头雄鸭
没药,樟冰,丁香,乳香,甲片,麝香
冰片,白及,铜绿,天南星,樟冰,甲片
没药,当归,赤芍,乳香,白芷,牛蒡
没药,金银花,甘草,赤芍,白芷,乳香
葶苈,桂心,海藻,松萝,郁李核仁,通草
败酱,薏仁,黑附子
瓜蒌仁,薏仁,白芍,桃仁,丹皮
黑牵牛头末,茴香
制萸肉,石苇,茯苓,黄芪,山楂,山药
乳没,乌药,川芎,黄芪,吴萸,肉桂
白芷,麻油,瓜蒌,白芨,麻黄蓍,甘草
血竭,白芷,当归,麻油,白占,轻粉
辛荑花,北芪,杭菊,白芷,白术,苍耳子
蟾酥,雄黄,甘草,朱砂
金银花,硼砂,甘草,山豆根
金银花,赤芍,细辛,泽兰,蝉蜕,羌活
没药,乳香,白矾,硇砂,麝香,雄黄
五倍子,千金子霜,山慈姑,红大戟,雄黄,麝香
没药,五倍子,肥皂肉,乳香
金银花,当归,地丁,大黄,甘草,芍药
蒲公英,赤芍,茯苓,黄柏,白芷,桃仁
血竭,儿茶,茯苓,红花,当归,莲肉
土鳖虫,五味子,穿壁风,横经席,碎骨木,徐长卿
没药,血竭,龙骨,乳香,儿茶,琥珀
