桃仁,赤芍,三棱,诃黎勒皮,白术,当归,鳖甲,陈橘皮
桃仁,红花,丹皮,郁金,山栀,赤芍,泽兰叶,赤曲
莪茂,丹皮,川芎,芍药,人参,牛膝,当归,桂心
红花,自然铜,没药,血竭,苏木,乳香,马钱子,丁香
没药,芥子,肉桂,丹皮,骨碎补,五加皮,乳香,黄柏
丹参,地龙,鸡血藤,蜈蚣,全蝎,忍冬藤,络石藤,钩藤
桃仁,红花,路路通,生地,赤芍,丝瓜络,石菖蒲,川芎
丹参,没药,血竭,乳香,金银花,青皮,公英,瓜蒌
桃仁,红花,生地,赤芍,川芎,当归,牛膝,柴胡
玄胡,苦楝,川芎,芍药,地黄,当归
玄胡,当归
桃仁,白芍,荆芥,木通,赤芍,桑白皮,枸杞子,制香附
干蟾,海藻,九肋鳖甲,麦蘖,使君子,山茱萸,黄连,夜明砂
蒲公英,没药,乳香,木瓜,栀子,地鳖虫,大黄
红花,蓬术,杏仁,川山甲,透骨草,三棱,萝卜子,木鳖仁
麻仁,炮山甲,牡蛎,苦参,五倍子,乌梅,射干
丹参,山楂,三七,郁金,黄芪,冰片,槐花,桂枝
茅根,山楂,凤尾草,过路黄
桃仁,自然铜,丹参,玄胡,没药,骨碎补,苏木,乳香
泽兰,山楂,牡蛎,佛手,苍术,王不留行,茵陈,白芍
虎杖,仙灵脾,半枝莲,仙鹤草,露蜂房,土茯苓,鹿衔草,生鸡内金
桃仁,没药,金钱草,乳香,三棱,赤芍,莪术,穿山甲
桃仁,红花,生地,石斛,熟地,杷叶,木蝴蝶,麦冬
虎杖,泽兰,蒲公英,板蓝根,土茯苓,酒大黄,茵陈,甘草
虎杖,土鳖虫,鹰不扑,穿壁风,过江龙,羊耳菊,海风藤,猪牙皂
桃仁,红花,丹参,鸡血藤,地龙,伸筋草,土鳖虫,蜈蚣
苦楝皮,槐皮,雄黄
