白术,茯苓,猪苓
粳米,葱,椒,雄猪肚,豆豉
白术,厚朴,甘草,半夏,陈皮
白术,枳实
白术,枳实
白术,半夏,茯苓,枳实,蓬莪茂
白术,防风,苍术,芍药,茯苓
白术,肉豆蔻,草豆蔻,人参,缩砂仁
于术,生黄耆,当归,野台参,牛膝
于术,5条,当归,30克,30克
白术,当归,厚朴,陈皮,乳香
神曲,草豆蔻,大麦芽,甘草,干姜
白术,黄芩,砂仁,厚朴,黄连
扁豆,山药,人参,老米,燕窝
神曲,苍术,甘草,良姜,干姜
槐皮,苦楝皮,雄黄
