丹参,菊花,赤芍,川芎,甘草,当归
冰片,蒲黄,西瓜霜,马勃,青黛,麝香
粳米,高良姜,香子,鹿头肉,蔓荆子
冬瓜,鲤鱼头
黄丹,蛇床人,乱发,黄耆,露蜂房,黄蜡
冰片,丹参,血竭,没药,儿茶,硼砂
银花,川楝,炙山甲,桃仁,皂角刺,红藤
蒲公英,金银花,夏枯草,连翘,贝母,红藤
银花,柴胡,赤芍,连翘,黄柏,白芷
金银花,柴胡,赤芍,连翘,白芷,黄柏
鲜萝卜缨
粳米,绿豆
绿豆,白糖
葶苈,人参,桑白皮,贝母,紫菀,五味子
蟾酥,乳香,丁香,硇砂,朱砂,麝香
蟾酥,血竭,没药,麝香1字,朱砂,金脚信
血竭,蟾酥,麝香,胆矾,朱砂,京墨
血竭,蟾酥,麝香,胆矾,朱砂,京墨
天葵子,海石,昆布,贝母,牡蛎
赤芍,刘寄奴,生地,炒桃仁,大黄,枳壳
没药,乳香,木鳖子,当归,自然铜,黄丹
葱,赤芍,紫苏,柴胡,黄柏,半夏
冬瓜皮,大腹皮,车前子,官桂,带皮苓,建泽泻
蟾酥,珠粉,西丹参,飞朱砂,飞腰黄,麝香
冰片,蟾酥,丁香,珍珠,雄黄,丹参
芙蓉叶,川乌,草乌,天南星,野芋头
大麻子仁,大黄
大米,白茅根
葶苈,商陆根,海藻,蜀漆,牡蛎,栝楼
冰片,沉香,蟾酥,葶苈,血竭,没药
生姜皮,陈皮,车前子,木通,川萆解,砂仁
蒲公英,粳米
紫草茸,白芷,地黄,何首乌,藿香,半夏
银花,川芎,赤芍,连翘,当归,薄荷
金银花,桔梗,青果,北豆根,白芍,麦冬
葫芦巴,紫苏,地肤子,白术,猪苓,桃仁
冰片,大蚯蚓,白糖
赤芍,连翘,黄柏,黄连,甘草,黄芩
连翘,射干,白芷,柴胡,荆芥,羌活
冰片,延胡索,血竭,没药,儿茶,乳香
闹羊花
芙蓉叶,滑石,大黄,生川柏,黄芩,东丹
茶叶末,生清油
赤芍,连翘,黄柏,地黄,桔梗,栀子
赤芍,连翘,黄柏,地黄,桔梗,栀子
金银花,当归,薏仁,地榆,麦冬,玄参
蒲公英,金银花,生地,野菊花,瓜蒌,连翘
蒲公英,金银花,地骨皮,赤芍,车前子,连翘
金银花,连翘,地黄,山栀,川芎,黄连
连翘,牛蒡,黄连,薄荷,荆芥,前胡
金银花,黄连,连翘,玄明粉,薄荷,荆芥
芙蓉叶,黄连,赤小豆,黄柏,白芷,大黄
冰片,红花,血竭,没药,儿茶,乳香
金银花,甘菊花,生地,麦冬,熟地
姜黄,白芷,黄柏,陈皮,厚朴,天南星
白酒,如意草
赤芍,柴胡,昆布,海藻,鸡血藤,王不留行
连翘,元参,桅子,白术,鼠粘子,生地
冰片,地黄,血竭,三七,薄荷,红花
冰片,黄连,血竭,没药,儿茶,乳香
白酒,苏木
没药,人参,栝楼,甘草,当归
续随子,红芽大戟,麝香,山慈菇,文蛤
金银花,没药,乳香,陈皮,白芷,贝母
甜石榴,清酒,酸石榴,苍耳子,丹参,羌活
车前草,车前子,生枳,白术,薏仁,荆芥
冰片,黄柏,虎杖
白芷,黄柏,大黄,郁金,轻粉,绿豆粉
紫苏,人参,官桂,五灵脂,砂仁,莪术
如意金黄散,樟冰
金银花,赤芍,射干,牛蒡,知母,桔梗
大腹子,干姜,木瓜,草果仁,黑附子,甘草
芙蓉叶,黄连,黄柏,大黄,泽兰叶,黄芩
黄柏末,大黄末,雄黄,丹参
草乌,狼毒,半夏,天南星
粳米,商陆
大梅片,硼砂,西丹参,煅人中白,马勃,人指甲
马钱子,枳壳
连翘,白芷,黄柏,川芎,薄荷,荆芥
白菊花,北防风,地黄,黄柏,骨碎补,石膏
芙蓉叶,半夏,五倍子,赤小豆,草乌,川乌
芙蓉叶,大黄,薄荷,牛膝,金桐叶,耳草叶
没药,桂心,琥珀,麝香,细辛,芍药
葶苈,白术,木通,猪苓,辣桂,滑石
葶苈,人参,桑白皮,贝母,紫菀,五味子
没药,乳香,当归,白芷,透骨草,续断
连翘,夏枯草,莱菔,杏仁,大力子,薄荷
粳米,桃花瓣
没药,乳香,丁香,硇砂,糯米
白酒,天天果
灯心草,滑石,猪苓,茯神,茯苓,泽泻
赤小豆,白樟柳根,陈皮,木香
没药,乳香,续断,黄柏,骨碎补,生地
蚕蜕,猪蹄蜕,川乌,荆芥,穿山甲,粉草
白芷,天南星,当归,红花,防风
白芷,穿山甲,当归,生地,黄耆
赤芍,连翘,牛蒡,地黄,青黛,水牛角浓缩粉
生姜皮,茯苓皮,陈皮,桑白皮,大腹皮
蒲公英,银花,紫背天葵子,野菊花,地丁
没药,乳香,雄精,麝香
冰片,薄荷,薄荷,西瓜霜
升麻22,大黄,犀角,玄参,甘草
芙蓉叶,当归,紫荆皮,白芷,天南星,橙橘叶
葶苈,生姜皮,地骨皮,车前子,木通,猪苓
芙蓉叶,半夏,五倍子,草乌,天南星,陈小粉
乳香,上冰片,丹皮,白及
姜黄,散血草,黄柏,陈皮,透骨草,大黄
通脱木,木通,瞿麦,白术,黑牵牛,滑石
蒲公英,大黄,乳香,没药,栀子,木瓜
冰片,赤石脂,硼砂,寒水石,熊胆,黄连
蒲公英,芙蓉叶,金银花,当归,牛蒡,甘草
蓖麻仁,连翘,夏枯草
银花,柴胡,白芷,贝母,当归,僵蚕
连翘,元参,半夏,栝楼,花粉,山栀
蚯蚓,麻黄,荆芥,天南星,当归,羌活
金银花,没药,乳香,知母,瓜蒌,连翘
葶苈,大戟,茯苓,甘遂,桑白皮,芫花
乳香,硼砂,当归,1,麝香,5克
癞虾蟆草,枳壳
没药,乳香,木鳖子,当归,草乌,五灵脂
冰片,黄连,没药,乳香,赤芍,贝母
粳米,葱白,青头雄鸭
没药,乳香,樟冰,丁香,甲片,麝香
冰片,天南星,铜绿,姜黄,樟冰,甲片
没药,乳香,黑附子,赤芍,白芷,草乌
金银花,没药,乳香,防风,赤芍,白芷
葶苈,桂心,海藻,松萝,郁李核仁,通草
败酱,薏仁,黑附子
瓜蒌仁,薏仁,白芍,桃仁,丹皮
黑牵牛头末,茴香
石苇,制萸肉,白术,黄芪,山楂,党参
乌药,乳没,蒲黄,川芎,吴萸,黄芪
麻黄蓍,白芷,白芨,零香,瓜蒌,藿香
血竭,白芷,当归,麻油,白占,轻粉
白芷,杭菊,木通,北芪,辛荑花,白术
蟾酥,朱砂,甘草,雄黄
金银花,硼砂,甘草,山豆根
金银花,泽兰,赤芍,黄连,细辛,羌活
没药,乳香,白矾,硇砂,麝香,雄黄
五倍子,红大戟,千金子霜,山慈姑,麝香,朱砂
没药,乳香,五倍子,肥皂肉
金银花,当归,大黄,地丁,甘草,芍药
蒲公英,茯苓,赤芍,白芷,黄柏,桃仁
血竭,儿茶,当归,红花,白芍,丹皮
土鳖虫,五味子,薄荷,豆豉姜,九龙川,徐长卿
没药,血竭,乳香,龙骨,儿茶,琥珀
