朱砂,铁粉,蛇黄,羌活,天南星,蜈蚣,山药,脑子
茯神,金箔,天竺黄,朱砂,胆南星,丹参,防风,白附
茯神,远志,金箔,铁粉,天竺黄,朱砂,西丹参,青龙齿
金箔,辰砂,防风,天麻,丹参,犀角,羌活,全蝎
金箔,铁粉,天竺黄,银箔,虎睛,铅霜,龙齿,龙脑
茯神,金箔,远志,铁粉,朱砂,犀角屑,麦门冬,银箔
金箔,天竺黄,辰砂,白矾,二,生白龙脑,皂荚仁,铅白霜
金箔,天竺黄,辰砂,白矾,生白龙脑,皂荚仁,铅白霜,半夏
茯神,远志,金箔,辰砂,菖蒲,五味子,乌梅肉,丹参
茯神,枣仁,郁金,白芍,合欢花,丹参,橘饼,柏仁
辰砂,明矾,天南星,半夏
茯神,枣仁,远志,菖蒲,朱砂,芍药,当归,人参
枣仁,远志,丹皮,熟地,枳壳,麦门冬,白芍,阿胶
枣仁,远志,丹皮,熟地,厚朴,枳壳,生地,蝉蜕
朱砂,琥珀,天麻,钩藤,胆南星,大黄,丹参,牵牛
土鳖虫,2钱,熟军,钱,自然铜,当归,乳香,血竭
朱砂,减半,黄芩,黄柏,雄黄,山栀仁,黄连
谷蘖,随风子,大腹子,薏仁,石斛,五味子,槟榔,枇杷叶
川姜,天麻,天南星,白僵蚕,白附子,干蝎,川乌,半夏
茯神,远志,菖蒲,贝母,胆南星,钩藤,丹参,麦冬
枣仁,远志,五味子,枳实,地黄,陈皮,人参,竹茹
茯神,枣仁,远志,菖蒲,柏子仁,人参
枣仁,远志,朱砂,菖蒲,柏子仁,地黄,当归,人参
茯神,远志,厚朴,紫苏,茯苓,半夏,甘草
茯神,枣仁,琥珀,菖蒲,枸杞,熟地,肉苁蓉,山萸
川姜,天麻,天南星,白僵蚕,白附子,干蝎,川乌,半夏
茯神,枣仁,远志,丹皮,白芍,石斛,麦冬,生地
茯神,远志,麦冬,知母,犀角,当归,羚羊角
茯神,巴戟,阳起石,黑附子,鹿茸,肉苁蓉,菟丝子,干姜
肉桂心,生川连
琥珀,香附,茯苓
檀香,石灰华,红景天,洪连,榜嘎,高山辣根菜,丹参,红花
檀香,石灰华,红景天,洪连,榜嘎,高山辣根菜,丹参,红花
珍珠母,地骨皮,五味子,太子参,女贞子,菟丝子,山药,当归
远志,菖蒲,龟甲,龙骨
茯神,远志,麦门冬,五味子,天门冬,龙齿,地骨皮,山药
枣仁,远志,琥珀,菖蒲,桂枝,牡蛎,芍药,玄武板
枣仁,粳米,龙眼肉
粳米,红糖,莲子粉
茯神,琥珀,朱砂,郁金,丹参,广皮,灯心100厘米,姜皮
研为细末,洗去蜜酒令尽,面,入先洗猪肚内,研为膏,先将猪肚净洗,新莲肉,再用酒调成膏
金铃子,钟乳,阳起石,巴戟,葫芦芭,灵砂,肉蔻,黑附子
辰砂,蝎梢,蜈蚣,真麝香1字,白僵蚕,人参,藿香,半夏
干百合,蜂蜜
茯神,枣仁,五味子,陈皮,当归,人参,赤芍,半夏
茯神,金箔,枣仁,远志,辰砂,琥珀,菖蒲,柏子仁
茯神,枣仁,远志,黄耆,罗参,莲肉,当归,陈皮
茯神,天竺黄,贝母,胆南星,钩藤,防风,枳壳,薄荷
羊心,鲜玫瑰花,食盐
茯神,远志,辰砂,山药,麝香,黄蓍,人参,茯苓
茯神,枣仁,远志,朱砂,麦门冬,五味子,天门冬,龙齿
茯神,远志,菖蒲,丹参,丹参,麦冬,黄芩,花粉
茯神,枸杞,芡实,五味子,肉苁蓉,韭子,紫石英,莲花须
珍珠母,枣仁,合欢皮,钩藤,丹参,夏枯草,甘草
梅花片,大朱砂,真豆粉,丹参,甘草
珍珠母,猪脱氧胆酸,板蓝根,胆酸,水牛角,黄芩,栀子,金银花
枣仁,枫香脂,丁香,牛心粉,沉香,肉豆蔻,木香
菖蒲,芍药,乌梅肉,当归,地黄,人参,川芎
茯神,枣仁,远志,朱砂,牡蛎,益智,人参,茯苓
枣仁,知母,茯苓,芎藭,甘草
枣仁,粳米
枣仁,夜交藤,生地,丹参,炒柏子仁,龙骨
光明砂,磁石,神曲
辰砂,琥珀,当归,滴乳,麝香,没药,木香
铁粉,使君子仁,蛇黄,天南星,茯苓
茯神,远志,辰砂,菖蒲,贝母,胆南星,钩藤,丹参
远志,巴戟天,五味子,山萸,肉苁蓉,菟丝子,牛膝,山药
枣仁,干姜,当归,山药,莲肉,人参急者用30克,白术,甘草
朱砂,琥珀,天南星
远志,朱砂,琥珀,白芍,黄耆,五味子,生地,胆南星
檀香,朱砂,琥珀,降香,天麻,麝香,大赤金箔,京丹参
檀香,朱砂,琥珀,降香,郁金,天麻,丹参,麝香
茯神,枣仁,远志,辰砂,柏子仁,龙齿,阿胶,紫石英
檀香,枣仁,石灰华,高山辣根菜,紫檀香,红花,余甘子,悬钩子茎
金箔,朱砂,琥珀,天南星,真铁粉,羌活,白附子,白僵蚕
茯神,远志,金箔,铁粉,银箔,丹参,丹参,白附子
远志,巴戟,菟丝子,苁蓉,牛膝,地黄,杜仲,青皮
檀香,三,白芷,川芎,甘草,桔梗
枣仁,远志,柏子仁,麦门冬,五味子,丹参,地黄,当归
茯神,枣仁,远志,菖蒲,柏子仁,麦门冬,五味子,天门冬
枣仁,远志,朱砂,菖蒲,柏子仁,五味子,丹参,麦冬
枣仁,山萸,五味子,山药,益智仁,破故纸60宽,党参,川芎
枣仁,远志,麦门冬,黄芩,萆薢,人参,桂心,茯苓
葱,乌灵参,酒,鸡,姜,盐
朱砂,郁金,丹参,黄芩,栀子,黄连
枣仁,丹皮,柏子仁,丹参,莲子心,玄参
茯神,犀角屑,麦门冬,龙齿,黄芩,人参,甘草
辰砂,琥珀,枸杞,青龙齿,白芍,党参,荆芥,香附
茯神,珍珠母,合欢皮,钩藤,丹参,夏枯草
红糖,小米,龙眼肉
鸡蛋,小米
枣仁,小米,蜂蜜
朱砂,胆南星,真珠,脑,麝,人参,茯苓,半夏
天竺黄,菖蒲,煅青礞石,胡连,西丹参,贝母,珠粉,胆南星
远志,辰砂,牡蛎,干姜,肉苁蓉,人参,茯苓
茯神,枣仁,远志,柏子仁,白芍,紫石英,黄耆,人参
朱砂,钩藤,人参,白术,茯苓,甘草
枣仁,远志,麦门冬,黄耆,胆南星,地黄,当归,淡竹叶
葱,白糖,花椒,玉竹,猪心,香油,味精,食盐
枣仁,合欢皮,女贞子,浮小麦,灵芝,何首乌,甘草
枣仁,夜交藤,白糖,粳米
远志,芍药,黄耆,五味子,茯苓X克,当归,地黄,陈皮
枣仁,薏仁,当归,麦冬,山药,大热地,大茴,建莲肉
茯神,枣仁,柏子仁,丹皮,丹参,枳壳,酒白芍,酒条芩
茯神,枣仁,远志,柏子仁,熟地,龙齿,阿胶,紫石英
寒水石,黄金,丁子香,磁石,犀角,滑石,玄参,羚羊角
朱砂,柏子仁,肉苁蓉,紫石英,龙骨,麝香,人参,螵蛸
茯神,枣仁,远志,地黄,人参,当归,羚羊角,甘草
