珍珠母,酒曲,磁石,赭石,半夏,酒曲,牛膝
枣仁,粳米,龙眼肉
红糖,粳米,莲子粉
茯神,朱砂,琥珀,郁金,青皮,沉香,丹参
石斛,洗去蜜酒令尽,黄耆,新莲肉,研为细末,椒等洗,面
肉蔻,黑附子,灵砂,巴戟,钟乳,阳起石,金铃子
辰砂,蝎梢,真麝香1字,蜈蚣,甘草,人参,白僵蚕
干百合,蜂蜜
茯神,枣仁,陈皮,当归,赤芍,甘草,五味子
茯神,金箔,生地,远志,枣仁,菖蒲,辰砂
茯神,远志,黄耆,枣仁,陈皮,茯苓,当归
茯神,天竺黄,枳壳,贝母,防风,陈皮,桔梗
鲜玫瑰花,羊心,食盐
茯神,远志,辰砂,木香,桔梗,茯苓,甘草
茯神,远志,枣仁,朱砂,茯苓,麦门冬,甘草
茯神,远志,菖蒲,黄芩,黄连,花粉,麦冬
茯神,枸杞,芡实,牛膝,肉苁蓉,韭子,茱萸
珍珠母,枣仁,合欢皮,甘草,夏枯草,钩藤,丹参
梅花片,真豆粉,大朱砂,甘草,丹参
珍珠母,黄芩,水牛角,猪脱氧胆酸,板蓝根,胆酸,栀子
枣仁,木香,牛心粉,肉豆蔻,枫香脂,丁香,沉香
菖蒲,芍药,乌梅肉,当归,人参,川芎,地黄
茯神,远志,枣仁,茯苓,朱砂,牡蛎,人参
枣仁,茯苓,甘草,知母,芎藭
枣仁,粳米
枣仁,夜交藤,生地,丹参,龙骨,炒柏子仁
光明砂,磁石,神曲
辰砂,琥珀,木香,当归,麝香,滴乳,没药
使君子仁,铁粉,蛇黄,茯苓,天南星
茯神,远志,连翘,菖蒲,辰砂,陈皮,贝母
远志,巴戟天,肉苁蓉,牛膝,泽泻,山萸,茯苓
枣仁,干姜,山药,当归,白术,人参急者用30克,甘草
朱砂,琥珀,天南星
远志,朱砂,琥珀,黄耆,生地,白芍,白术
檀香,朱砂,琥珀,木香,天麻,甘草,降香
檀香,朱砂,琥珀,木香,郁金,天麻,甘草
茯神,黄耆,远志,枣仁,辰砂,柏子仁,阿胶
檀香,石灰华,枣仁,木香,肉豆蔻,高山辣根菜,红花
金箔,朱砂,琥珀,羌活,白附子,枯矾,全蝎
茯神,金箔,远志,铁粉,麝香,升麻,白附子
远志,巴戟,牛膝,菟丝子,车前子,青皮,杜仲
檀香,白芷,桔梗,三,川芎,甘草
远志,枣仁,柏子仁,麦门冬,桔梗,茯苓,当归
茯神,远志,枣仁,菖蒲,桔梗,当归,麦门冬
远志,朱砂,枣仁,菖蒲,柏子仁,桔梗,茯苓
枣仁,山萸,五味子,茯苓,川芎,山药,党参
远志,枣仁,桂心,麦门冬,萆薢,黄芩,人参
葱,酒,乌灵参,鸡,姜,盐
朱砂,郁金,黄芩,栀子,丹参,黄连
枣仁,丹皮,柏子仁,丹参,玄参,莲子心
茯神,犀角屑,麦门冬,黄芩,甘草,龙齿,人参
辰砂,琥珀,枸杞,白芍,荆芥,赤芍,柴胡
茯神,珍珠母,合欢皮,夏枯草,钩藤,丹参
红糖,小米,龙眼肉
鸡蛋,小米
枣仁,小米,蜂蜜
朱砂,胆南星,茯苓,人参,麝,半夏,脑
天竺黄,菖蒲,贝母,麝香,黄连,煅青礞石,珠粉
远志,辰砂,干姜,牡蛎,肉苁蓉,人参,茯苓
茯神,远志,黄耆,枣仁,柏子仁,白芍,木香
朱砂,白术,钩藤,茯苓,甘草,人参
远志,枣仁,黄耆,麦门冬,胆南星,当归,茯苓
葱,白糖,花椒,玉竹,味精,生姜,猪心
枣仁,合欢皮,甘草,女贞子,浮小麦,何首乌,灵芝
枣仁,白糖,粳米,夜交藤
远志,桂心,黄耆,茯苓X克,五味子,芍药,陈皮
枣仁,薏仁,木香,麦冬,当归,茯苓,山药
茯神,枣仁,丹皮,柏子仁,生地,枳壳,陈皮
茯神,远志,黄耆,枣仁,柏子仁,阿胶,熟地
寒水石,黄金,丁子香,磁石,木香,甘草,石膏
朱砂,柏子仁,肉苁蓉,紫石英,螵蛸,麝香,人参
茯神,远志,枣仁,当归,甘草,人参,羚羊角
