茯神,珍珠母,合欢皮,丹参,钩藤,夏枯草
红糖,小米,龙眼肉
鸡蛋,小米
枣仁,小米,蜂蜜
朱砂,真珠,人参,脑,胆南星,麝,茯苓
天竺黄,菖蒲,煅青礞石,胡连,西丹参,珠粉,贝母
远志,辰砂,牡蛎,肉苁蓉,干姜,人参,茯苓
茯神,远志,枣仁,柏子仁,白芍,黄耆,紫石英
朱砂,人参,钩藤,甘草,茯苓,白术
枣仁,远志,黄耆,麦门冬,地黄,人参,胆南星
葱,白糖,猪心,玉竹,香油,味精,花椒
枣仁,合欢皮,女贞子,浮小麦,何首乌,灵芝,甘草
枣仁,白糖,夜交藤,粳米
远志,黄耆,芍药,桂心,地黄,茯苓X克,人参
枣仁,薏仁,山药,麦冬,当归,大热地,大茴
茯神,枣仁,柏子仁,丹皮,丹参,生地,枳壳
茯神,远志,枣仁,柏子仁,龙齿,黄耆,熟地
寒水石,丁子香,黄金,磁石,沉香,犀角,木香
朱砂,柏子仁,肉苁蓉,紫石英,麝香,龙骨,人参
茯神,远志,枣仁,地黄,人参,当归,羚羊角
