丹参,川芎,甘草,莲子心,当归
蟾酥,朱砂,雄黄,丁香
蒲公英,银花,赤芍,连翘,薄荷
银花,赤芍,连翘,白芷,薏仁
蒲公英,金银花,赤芍,赤小豆,川军
白菊花
花椒,陈酒糟,广胶,生葱,葱白
香油,章丹
金银花,连翘,山栀,黄连,甘草
橘核,川军,乌药,金铃子,胡芦巴
没药,血竭,土鳖虫,发灰,乳香
花椒,黄丹,大蒜头,槐枝,葱白
马钱子,草乌,枳壳
没药,乳香,苏木,好麻
没药,木鳖子,自然铜,骨碎补,故纸
小黄米面,皂角末,发灰
冰片,熊胆,没药,乳香,黄柏
鸡内金,薄荷,升麻,栀子,黄连
没药,葱,白胶香,木鳖子,清油
乌药,穿山甲,红花,独活,陈皮
蒲公英,元参,瓜蒌,赤芍,薄荷
车前子,官桂,地黄,茱萸,山药
西瓜霜,珠粉,西黄,琥珀
白果,地肤子,白茅根,桑白皮,阿胶
昆布,海藻,木通,白僵蚕,半夏
没药,乳香,黄柏,紫苏,薄荷
没药,乳香,黄柏,薄荷,轻粉
冰片,月石,贝母,滑石,朱砂
没药,乳香,麻黄,马钱子粉
没药,土鳖虫,乳香,自然铜,麻黄
醋2500毫升,半夏
大独活,西秦艽,广地龙,威灵仙,骨碎补
或,9克,9克,3克,萝卜子
鸡蛋,龙衣,细盐
冰片,蝙蝠
冰片,西瓜霜,马勃,麝香,蒲黄
粳米,香子,鹿头肉,蔓荆子,高良姜
冬瓜,鲤鱼头
蛇床人,黄丹,蛇蜕皮,乱发,黄蜡
冰片,没药,熊胆,血竭,硼砂
银花,红藤,炙山甲,皂角刺,桃仁
蒲公英,金银花,红藤,夏枯草,连翘
银花,赤芍,连翘,白芷,黄柏
金银花,赤芍,白芷,连翘,黄柏
荠苨,连翘,人参,桑白皮,前胡
鲜萝卜缨
粳米,绿豆
绿豆,白糖
葶苈,紫菀,人参,桑白皮,贝母
蟾酥,乳香,硇砂,朱砂,雄黄
蟾酥,没药,血竭,龙脑,朱砂
蟾酥,血竭,胆矾,京墨,朱砂
蟾酥,血竭,胆矾,京墨,朱砂
天葵子,昆布,海石,贝母,牡蛎
赤芍,炒桃仁,刘寄奴,生地,大黄
没药,木鳖子,自然铜,黄丹,乳香
葱,赤芍,紫苏,黄柏,玄胡
冬瓜皮,车前子,官桂,蝼蛄虫,姜川朴
蟾酥,西丹参,珠粉,飞腰黄,飞朱砂
冰片,蟾酥,雄黄,珍珠,丹参
芙蓉叶,草乌,天南星,野芋头,川乌
大麻子仁,大黄
大米,白茅根
葶苈,海藻,商陆根,栝楼,蜀漆
冰片,没药,熊胆,蟾酥,血竭
生姜皮,车前子,木通,砂仁,川萆解
蒲公英,粳米
紫草茸,白芷,地黄,藿香,川芎
银花,赤芍,牛蒡,连翘,薄荷
金银花,青果,北豆根,麦冬,玄参
葫芦巴,地肤子,猪苓,紫苏,枳实
冰片,白糖,大蚯蚓
赤芍,连翘,黄柏,黄连,甘草
连翘,白芷,射干,荆芥,羌活
冰片,没药,血竭,儿茶,赤小豆
闹羊花
芙蓉叶,生川柏,东丹,花粉,滑石
生清油,茶叶末
赤芍,连翘,黄柏,花粉,地黄
赤芍,连翘,黄柏,花粉,地黄
金银花,地榆,薏仁,麦冬,玄参
蒲公英,金银花,瓜蒌,野菊花,连翘
蒲公英,金银花,赤芍,车前子,连翘
金银花,连翘,地黄,川芎,山栀
连翘,牛蒡,薄荷,荆芥,前胡
金银花,玄明粉,连翘,薄荷,鼠粘子
芙蓉叶,赤小豆,白芷,黄柏,紫车前
冰片,没药,血竭,儿茶,乳香
金银花,麦冬,生地,甘菊花,熟地
姜黄,白芷,黄柏,花粉,天南星
白酒,如意草
赤芍,昆布,海藻,鸡血藤,柴胡
连翘,元参,花粉,桅子,鼠粘子
冰片,三七,血竭,薄荷,樟脑
冰片,没药,血竭,自然铜,儿茶
白酒,苏木
没药,人参,栝楼,当归,甘草
续随子,红芽大戟,山慈菇,文蛤,麝香
没药,金银花,乳香,白芷,花粉
酸石榴,清酒,苍耳子,甜石榴,羌活
车前子,车前草,生枳,薏仁,荆芥
冰片,黄柏,虎杖
白芷,黄柏,郁金,绿豆粉,轻粉
如意金黄散,樟冰
金银花,赤芍,牛蒡,射干,知母
大腹子,木瓜,干姜,厚朴,黑附子
芙蓉叶,黄柏,泽兰叶,黄连,大黄
大黄末,黄柏末,雄黄,丹参
草乌,狼毒,天南星,半夏
粳米,商陆
大梅片,西丹参,硼砂,青鱼胆,血琥珀
马钱子,枳壳
连翘,白芷,黄柏,薄荷,荆芥
白菊花,北防风,黄柏,白蒺藜,地黄
芙蓉叶,五倍子,赤小豆,草乌,川乌
芙蓉叶,薄荷,耳草叶,金桐叶,泽兰叶
没药,桂心,琥珀,细辛,麝香
葶苈,猪苓,辣桂,木通,滑石
葶苈,紫菀,人参,桑白皮,贝母
没药,乳香,透骨草,白芷,木瓜
连翘,莱菔,僵蛹,大力子,夏枯草
粳米,桃花瓣
没药,乳香,硇砂,糯米,丁香
白酒,天天果
灯心草,猪苓,滑石,茯神,茯苓
赤小豆,白樟柳根,陈皮,木香
没药,乳香,黄柏,白及,骨碎补
蚕蜕,猪蹄蜕,穿山甲,荆芥,蛇蜕
赤芍,连翘,牛蒡,水牛角浓缩粉,地黄
生姜皮,茯苓皮,桑白皮,大腹皮,陈皮
蒲公英,银花,野菊花,紫背天葵子,地丁
没药,乳香,雄精,麝香
冰片,西瓜霜,薄荷,薄荷
升麻22,犀角,玄参,甘草,大黄
芙蓉叶,紫荆皮,白芷,天南星,骨碎补
生姜皮,葶苈,车前子,猪苓,地骨皮
芙蓉叶,五倍子,草乌,天南星,陈小粉
乳香,白及,上冰片,丹皮
姜黄,透骨草,散血草,黄柏,陈皮
通脱木,黑牵牛,木通,瞿麦,滑石
蒲公英,没药,乳香,木瓜,地鳖虫
冰片,熊胆,硼砂,寒水石,黄连
蒲公英,芙蓉叶,金银花,牛蒡,花粉
蓖麻仁,连翘,夏枯草
银花,白芷,贝母,花粉,柴胡
连翘,元参,花粉,栝楼,半夏
蚯蚓,天南星,细辛,荆芥,雄黄
没药,金银花,瓜蒌,乳香,连翘
大戟,葶苈,甘遂,芫花,桑白皮
硼砂,乳香,朱砂,雄黄,麝香
癞虾蟆草,枳壳
没药,木鳖子,乳香,草乌,五灵脂
冰片,没药,赤芍,乳香,雄黄
粳米,青头雄鸭,葱白
没药,樟冰,乳香,甲片,轻粉
冰片,胆矾,姜黄,铜绿,樟冰
没药,牛蒡,赤芍,乳香,草乌
没药,金银花,赤芍,乳香,白芷
葶苈,桂心,海藻,郁李核仁,松萝
败酱,薏仁,黑附子
瓜蒌仁,薏仁,桃仁,白芍,丹皮
黑牵牛头末,茴香
制萸肉,石苇,山楂,黄芪,党参
乳没,乌药,吴萸,黄芪,蒲黄
瓜蒌,白芷,零香,麻黄蓍,白芨
血竭,白芷,麻油,轻粉,白占
辛荑花,杭菊,北芪,白芷,苍耳子
蟾酥,朱砂,雄黄,甘草
金银花,硼砂,山豆根,甘草
金银花,赤芍,泽兰,细辛,羌活
没药,乳香,硇砂,雄黄,麝香
五倍子,朱砂,雄黄,红大戟,山慈姑
没药,五倍子,乳香,肥皂肉
金银花,地丁,当归,大黄,甘草
蒲公英,赤芍,白芷,黄柏,桃仁
血竭,儿茶,茯苓,红花,当归
土鳖虫,薄荷,虎杖,香樟,买麻藤
没药,血竭,儿茶,乳香,琥珀
