晚蚕沙,赤小豆,防己,薏仁,山栀,杏仁,连翘,滑石
地龙,桂枝,五灵脂,赤芍,当归,川芎,荆芥,防风
鸡血藤,党参,赤芍,牛膝,当归,黄芪,没药,海风藤
鹿角霜,甲珠,水蛭,片子姜黄,锁阳,熟地,香附,黄明胶
桃仁,党参,玉米须,地鳖虫,炮山甲粉,阿胶,龙胆草,栀子
桂枝,益母草,丹参,川芎,北沙参,五味子,南沙参,生地
白糖,夜交藤,粳米,枣仁
木瓜,白芍,当归,防风,熟地,秦艽,蜜黄耆,阿胶
地龙,天南星,天麻,羌活,荆芥,没药,川芎,防风
黄精,赤芍,山楂,佛手,五味子,金樱子,何首乌,淮山
5条,30克,30克,30克,30克,当归,于术,人参
没药,当归,乳香,厚朴,陈皮,白术
桃仁,红花,赤芍,黄耆,皂刺,山甲
地龙,威灵仙,片姜黄,三七,寄生,赤芍,黄芪,龟甲
地龙,威灵仙,鸡血藤,木瓜,桃仁,蜈蚣,红花,伸筋草
