朱砂,郁金,丹参,黄芩,栀子
枣仁,柏子仁,丹皮,丹参,莲子心
茯神,犀角屑,麦门冬,龙齿,人参
辰砂,琥珀,青龙齿,枸杞,白芍
茯神,珍珠母,合欢皮,钩藤,夏枯草
红糖,小米,龙眼肉
鸡蛋,小米
枣仁,小米,蜂蜜
朱砂,人参,胆南星,脑,真珠
菖蒲,天竺黄,西丹参,珠粉,贝母
远志,辰砂,牡蛎,肉苁蓉,干姜
茯神,枣仁,远志,黄耆,白芍
朱砂,钩藤,白术,人参,茯苓
枣仁,远志,黄耆,麦门冬,当归
葱,白糖,猪心,花椒,玉竹
枣仁,合欢皮,女贞子,灵芝,浮小麦
枣仁,白糖,夜交藤,粳米
远志,黄耆,芍药,桂心,当归
枣仁,薏仁,当归,山药,麦冬
茯神,枣仁,柏子仁,丹皮,枳壳
茯神,枣仁,远志,黄耆,柏子仁
寒水石,黄金,丁子香,磁石,犀角
朱砂,柏子仁,肉苁蓉,紫石英,龙骨
茯神,枣仁,远志,当归,人参
