琥珀,茯苓,香附
檀香,石灰华,洪连,榜嘎,高山辣根菜,红景天,丹参
檀香,石灰华,洪连,榜嘎,高山辣根菜,红景天,丹参
珍珠母,太子参,山药,地黄,五味子,女贞子,菟丝子
远志,菖蒲,龙骨,龟甲
茯神,远志,麦门冬,龙齿,天门冬,山药,地黄
枣仁,远志,琥珀,菖蒲,桂枝,牡蛎,龙骨
枣仁,粳米,龙眼肉
粳米,红糖,莲子粉
茯神,朱砂,琥珀,郁金,丹参,沉香,姜皮
磁石,椒等洗,洗去蜜酒令尽,入先洗猪肚内,山药,再用酒调成膏,搜下项药
巴戟,金铃子,灵砂,钟乳,肉蔻,葫芦芭,阳起石
蝎梢,辰砂,真麝香1字,蜈蚣,半夏,白僵蚕,人参
干百合,蜂蜜
茯神,枣仁,半夏,五味子,当归,陈皮,人参
茯神,金箔,枣仁,远志,琥珀,菖蒲,辰砂
茯神,枣仁,远志,黄耆,当归,陈皮,罗参
茯神,天竺黄,钩藤,胆南星,贝母,防风,薄荷
鲜玫瑰花,羊心,食盐
茯神,远志,辰砂,山药,麝香,茯苓,黄蓍
茯神,朱砂,枣仁,远志,麦门冬,龙齿,天门冬
茯神,远志,菖蒲,丹参,丹参,麦冬,花粉
茯神,紫石英,肉苁蓉,芡实,枸杞,韭子,地黄
枣仁,珍珠母,合欢皮,丹参,钩藤,夏枯草,甘草
梅花片,真豆粉,大朱砂,丹参,甘草
珍珠母,水牛角,猪脱氧胆酸,板蓝根,胆酸,金银花,栀子
枣仁,沉香,枫香脂,牛心粉,丁香,肉豆蔻,木香
菖蒲,乌梅肉,地黄,当归,人参,芍药,川芎
茯神,朱砂,枣仁,远志,牡蛎,茯苓,益智
枣仁,茯苓,知母,甘草,芎藭
枣仁,粳米
枣仁,夜交藤,丹参,龙骨,生地,炒柏子仁
光明砂,磁石,神曲
琥珀,辰砂,滴乳,麝香,当归,木香,没药
铁粉,蛇黄,使君子仁,天南星,茯苓
茯神,远志,菖蒲,辰砂,麦冬,丹参,钩藤
远志,肉苁蓉,巴戟天,山药,地黄,五味子,牛膝
枣仁,山药,当归,干姜,人参急者用30克,莲肉,白术
朱砂,琥珀,天南星
朱砂,远志,琥珀,白芍,胆南星,五味子,黄耆
朱砂,檀香,琥珀,诃子,天麻,麝香,降香
朱砂,檀香,琥珀,诃子,郁金,丹参,天麻
茯神,枣仁,远志,辰砂,柏子仁,紫石英,龙齿
枣仁,檀香,石灰华,高山辣根菜,诃子,诃子,沉香
朱砂,金箔,琥珀,天南星,半夏,白附子,枯矾
茯神,金箔,远志,铁粉,丹参,丹参,麝香
远志,巴戟,地黄,牛膝,菟丝子,杜仲,车前子
檀香,三,白芷,桔梗,甘草,川芎
枣仁,远志,柏子仁,麦门冬,丹参,地黄,五味子
茯神,枣仁,远志,菖蒲,柏子仁,麦门冬,丹参
朱砂,枣仁,远志,菖蒲,柏子仁,麦冬,丹参
枣仁,五味子,山药,破故纸60宽,山萸,茯苓,菊花
枣仁,远志,麦门冬,半夏,茯苓,萆薢,人参
葱,乌灵参,鸡,酒,姜,盐
朱砂,郁金,丹参,黄芩,栀子,黄连
枣仁,柏子仁,丹参,丹皮,莲子心,玄参
茯神,麦门冬,龙齿,犀角屑,人参,黄芩,甘草
琥珀,辰砂,枸杞,白芍,青龙齿,柴胡,赤芍
茯神,珍珠母,合欢皮,丹参,钩藤,夏枯草
红糖,小米,龙眼肉
鸡蛋,小米
枣仁,小米,蜂蜜
朱砂,脑,半夏,真珠,胆南星,人参,茯苓
天竺黄,菖蒲,胆南星,贝母,半夏,飞朱砂,胡连
远志,辰砂,牡蛎,肉苁蓉,茯苓,人参,干姜
茯神,枣仁,远志,柏子仁,紫石英,白芍,黄耆
朱砂,钩藤,人参,茯苓,白术,甘草
枣仁,远志,麦门冬,地黄,胆南星,黄耆,当归
葱,白糖,猪心,香油,玉竹,味精,花椒
枣仁,合欢皮,女贞子,灵芝,浮小麦,何首乌,甘草
枣仁,粳米,夜交藤,白糖
远志,五味子,地黄,茯苓X克,陈皮,黄耆,当归
枣仁,麦冬,薏仁,山药,大茴,建莲肉,当归
茯神,枣仁,柏子仁,丹参,丹皮,当归,陈皮
茯神,枣仁,远志,柏子仁,紫石英,龙齿,阿胶
寒水石,丁子香,黄金,磁石,犀角,沉香,羚羊角
朱砂,柏子仁,紫石英,肉苁蓉,麝香,龙骨,人参
茯神,枣仁,远志,地黄,羚羊角,当归,人参
