天竺黄,胆南星,辰砂,琥珀,腰黄,月石,沉香
天竺黄,天南星,辰砂,钩藤,僵蚕,真麝香,琥珀
贝母,天竺黄,胆南星,桔梗,朱砂,钩藤,天麻
天南星,远志,菖蒲,大辰砂,人乳,人参,真琥珀
贝母,天竺黄,青礞石,伽楠香,月石,枣仁,麝香
贝母,青礞石,月石,沉香,天竹黄,麝香,枣仁
远志,金箔,桔梗,辰砂,麝香3厘,缩砂,粉草
荸荠,海蜇皮
荸荠,海蜇
贝母,半夏,昆布,海藻,陈皮,海带,当归
昆布,海藻,柴胡,小麦,龙胆草
海石,香附
海石,石礞,蚶壳,香附,红花,桃仁,莪术
透骨草,烧酒,老葱胡,马前子,三七,川羌,食盐
半夏,昆布,陈皮,白芍,红花,当归,人参
半夏,陈皮,白芍,当归,茯苓,地黄,川芎
贝母,桔梗,麦冬,白芍,当归,枸杞,黄芩
天竺黄,朱砂,梅片,油松节,天麻,白蔻,僵蚕
半夏,枳实,旋覆花,桂心,麦门冬,芍药,防己
杏仁,葶苈,蛤蚧,商陆,防己,茯苓,麻黄
白芥子,陈皮,全丝瓜,上肉桂,白僵蚕,麻黄,莪术
天竺黄,天南星,桔梗,陈皮,天麻,僵蚕,薄荷
半夏,丁香,生姜,枣仁,厚朴,甘草
杏仁,陈皮,紫苏,茯苓,麻黄,甘草,桑白皮
天南星,天麻,全蝎,粉草,人参,荆芥,独活
天南星,天麻,全蝎,粉草,人参,荆芥,独活
半夏,天南星,白附子,皂角,寒水石,干生姜,白矾
天南星,陈皮,陈皮,蒌仁,元芩,清夏,海浮石
贝母,半夏,昆布,海藻,枳实,海带,牡蛎
半夏,桔梗,茯苓,干姜
半夏,天南星,杏仁,陈皮,紫苏,皂角,麦蘖
半夏,天南星,白附子,明矾
半夏,天南星,皂角,白矾,生姜
半夏,天南星,巴豆,枯矾,干姜,滑石
半夏,天南星,杏仁,瓜蒌仁,陈皮,紫苏,香附
半夏,杏仁,葶苈,桔梗,陈皮,五味子,旋覆花
半夏,葶苈,桔梗,硼砂,陈皮,紫苏,麦蘖
半夏,天南星,辰砂,陈皮,腻粉,人参,皂
半夏,紫菀,杏仁,葶苈,桔梗,陈皮,五味子
贝母,紫菀,杏仁,款冬花,葶苈,桔梗,陈皮
半夏,杏仁,款冬花,葶苈,桔梗,陈皮,五味子
檀香,柿霜,硼砂,白冰糖,薄荷,白葛粉,紫苏
半夏,紫菀,杏仁,瓜蒌仁,远志,葶苈,桔梗
天南星,直僵蚕,真麝香,代赭石,净全蝎,节白附,赤金箔
半夏,陈皮,京三棱,黑牵牛,槟榔,木香,青皮
天南星,朱砂,蜈蚣,蝉壳,僵蚕,全蝎,脑子
天竺黄,胆南星,朱砂,金箔,僵蚕,真麝香,片脑
半夏,天南星,金箔,天麻,龙脑,丁香,犀角
半夏,旋覆花,前胡,芍药,荆芥,麻黄,甘草
半夏,陈皮,当归,茯苓,甘草,熟地
贝母,半夏,天南星,瓜蒌仁,葶苈,桔梗,枳实
半夏,天南星,皂角,白矾
白芥子,透骨草,片姜黄,僵蚕,橘络,鸡血藤膏,菖蒲
半夏,天麻,杭白菊,牡蛎,白芍,秦艽,夏枯草
海粉,陈皮,桔梗,瓜蒌仁,青黛,香附,丹参
天南星,陈皮,天麻,当归,人参,白芷,肉桂
天南星,远志,天麻,僵蚕,全蝎,白附子,菖蒲
贝母,半夏,杏仁,桔梗,陈皮,紫苏,前胡
贝母,杏仁,桔梗,陈皮,紫苏,石膏,前胡
贝母,半夏,杏仁,桔梗,陈皮,紫苏,前胡
贝母,紫菀,白芍,小蓟,桃仁,丹皮,甘草
海藻,党参,黄芪,大青叶,板蓝根,丹参,柴胡
