竹茹,陈皮,郁金,缩砂,菖蒲,苍术,厚朴
百药煎,杏仁,黑矾,乌梅,甘草
半夏,丁香,草豆蔻,白矾
半夏,枳实,薄荷,陈皮,丁香,白豆蔻,沉香
半夏,硝石,明矾
贝母,海藻,白酒,黄药子
百部,鱼腥草,穿心莲,生干蟾,开金锁
蜈蚣,僵蚕,桔梗,知柏,钩藤,生耆,全蝎
贝母,半夏,桔梗,远志,陈皮,五味子,麻黄浸膏
四季青,鼠曲草,干日红,平地木
半夏,竹茹,枳实,陈皮,石膏,麦门冬,龙眼肉
天竺黄,枳实,钩藤,生川军,生石决明,牡蛎,黄芩
贝母,桔梗,枳实,陈皮,片芩,当归,砂仁
杏仁,瓜蒌仁,黄连
半夏,杏仁,瓜蒌皮,桂枝,牡蛎,白芍,生姜
半夏,远志,合桃肉,熟附块,桂枝,五味子,白术
栝蒌实,桔梗,败酱草,炮干姜,细辛,人参,厚朴
山芋,杏仁,栝楼,甘草
半夏,昆布,海藻,陈皮,夏枯草,牡蛎,莪术
半夏,陈皮,龙涎香,伽楠香
贝母,郁金,香附,白芍,人参
半夏,陈皮,当归,白芍,人参,茯苓,白术
海藻,鸡血藤,黄芪,黄精,玄参,丹参
半夏,党参,陈皮,紫河车,茯苓,白术,黄耆
半夏,天南星,百药煎,乌梅肉,明矾,五味子,池矾
半夏,天南星,香墨,白附子,芎,杜仲,续断
贝母,半夏,杏仁,皂荚,知母
半夏,天南星,陈皮,泽泻,黄芩,黄芩,白术
贝母,桔梗,薄荷,薄荷,诃子,胖大海,川芎
贝母,天竺黄,半夏,胆南星,白芥子,葶苈,桔梗
半夏,杏仁,海粉,栝楼,青黛,诃子,香附
款冬花,蛤蚧,成炼钟乳,肉桂,甘草,白矾
贝母,半夏,莱菔,白芥子,杏仁,党参,蛤蚧
半夏,陈皮,藿香,茯苓,人参,苍术,甘草
半夏,陈皮,藿香,甘草,厚朴
半夏,陈皮,藿香,甘草,厚朴
半夏,陈皮,丁香,藿香,生姜,茯苓
半夏,竹茹,青蒿脑4,陈广皮,青子芩4,碧玉散,茯苓
桔梗,僵蚕,天麻,全蝎,川芎,麻黄,甘草
半夏,朱砂,雄黄,白矾
天南星,海藻,海带,琥珀,血竭,麝香,京墨
胆南星,朱砂,琥珀,钩藤,薄荷,制军,苏珠
贝母,半夏,石膏,百合,天冬,血琥珀,京知母
天竺黄,天南星,檀香,朱砂,琥珀,枳实,红参
天竺黄,天南星,檀香,金箔,粉草,枳实,真琥珀
天竺黄,天南星,朱砂,僵蚕,琥珀,全蝎,麝香
天竺黄,天南星,檀香,金箔,朱砂,蜂蜜,琥珀
贝母,天竺黄,胆南星,僵蚕,琥珀,全蝎,飞腰黄
天竺黄,胆南星,琥珀,辰砂,腰黄,沉香,月石
天竺黄,天南星,僵蚕,琥珀,真麝香,辰砂,钩藤
贝母,天竺黄,胆南星,僵蚕,朱砂,桔梗,琥珀
天南星,远志,大辰砂,人乳,菖蒲,真琥珀,茯神
贝母,天竺黄,青礞石,月石,伽楠香,麝香,枣仁
贝母,青礞石,沉香,月石,麝香,天竹黄,枣仁
远志,金箔,桔梗,辰砂,粉草,麝香3厘,缩砂
荸荠,海蜇皮
荸荠,海蜇
贝母,半夏,昆布,海藻,海带,陈皮,当归
昆布,海藻,柴胡,小麦,龙胆草
海石,香附
海石,石礞,蚶壳,香附,莪术,红花,三棱
透骨草,烧酒,老葱胡,马前子,川羌,三七,防己
半夏,昆布,陈皮,当归,白芍,川芎,人参
半夏,陈皮,当归,白芍,茯苓,川芎,地黄
贝母,桔梗,麦冬,枸杞,当归,白芍,黄芩
天竺黄,僵蚕,朱砂,油松节,梅片,白蔻,天麻
半夏,枳实,旋覆花,麦门冬,桂心,芍药,防己
杏仁,葶苈,蛤蚧,商陆,防己,茯苓,麻黄
白芥子,陈皮,白僵蚕,全丝瓜,上肉桂,莪术,麻黄
天竺黄,天南星,桔梗,僵蚕,薄荷,陈皮,天麻
半夏,丁香,生姜,枣仁,甘草,厚朴
杏仁,紫苏,陈皮,茯苓,桑白皮,麻黄,甘草
天南星,粉草,天麻,全蝎,川芎,人参,荆芥
天南星,粉草,天麻,全蝎,川芎,人参,荆芥
半夏,天南星,白附子,皂角,寒水石,干生姜,轻粉
天南星,蒌仁,陈皮,陈皮,清夏,元芩,沉香
贝母,半夏,昆布,海藻,海带,枳实,蛇莓
半夏,桔梗,茯苓,干姜
半夏,天南星,杏仁,紫苏,陈皮,皂角,麦蘖
半夏,天南星,白附子,明矾
半夏,天南星,皂角,生姜,白矾
半夏,天南星,巴豆,干姜,枯矾,滑石
半夏,天南星,杏仁,瓜蒌仁,紫苏,陈皮,萝卜子
半夏,杏仁,葶苈,桔梗,陈皮,旋覆花,五味子
