半夏,天南星,杏仁,陈皮,瓜蒌仁,枳实,黄芩
贝母,贝母,紫菀,杏仁,南沙参,蛤壳,夏枯草
半夏,石膏,麻黄,五味子,射干,细辛,甘草
贝母,半夏,杏仁,桔梗,瓜蒌仁,枳实,麦门冬
半夏,昆布,白芥子,海藻,陈皮,玄明粉,香附
贝母,郁金,丹参,杵头糠,荷叶蒂,砂仁壳,茯苓
蜈蚣,蝉衣,炙穿山甲,全虫,僵蚕,夜明砂
贝母,桔梗,陈皮,麦门冬,花粉,茯苓,知母
百药煎,桔梗,粉草,香附,紫河车
半夏,天南星,陈皮,黄芩,黄连,甘草
半夏,天南星,陈皮,黄芩,白矾,黄连
半夏,天南星,天麻,川芎,川乌,甘草,干姜
半夏,天南星,天麻,川芎,川乌,甘草,干姜
天竺黄,党参,60克,60克,60克,60克,60克
党参,麦芽,女贞子,丹参,香附,当归,何首乌
天南星,黑附子,乌头,木香
天南星,辰砂,蛇含,白附子,麝香
半夏,柴胡,黑附子,茱萸,当归,茯苓,枣仁
竹茹,桔梗,陈皮,苏子,甘草
文蛤,红芽大戟,山慈菇,续随子,麝香
金箔,远志,菖蒲,铁粉,丹砂,茯苓,羚羊角
贝母,半夏,杏仁,桔梗,陈皮,苏梗,前胡
半夏,柴胡,茯苓,白术,肉桂,枳壳,白芍
贝母,胆南星,辰砂,远志,陈皮,元参,菖蒲
半夏,陈皮,生姜,茯苓,甘草
贝母,半夏,杏仁,苏子,黄芩,山栀,黄连
半夏,辰砂,陈皮,天麻,槐角子,僵蚕,白矾
天南星,朱砂,琥珀
胆南星,朱砂,远志,陈皮,琥珀,五味子,黄耆
半夏,玫瑰花,远志,绿萼梅,佛手花,厚朴花,芍药
昆布,海藻,海带,陈皮,海蛤粉,木香,螵蛸
半夏,山药,肉豆蔻,厚朴
半夏,陈皮,吴萸,桃仁,黄连
半夏,陈皮,乌梅肉,草果,生姜,茯苓,白术
半夏,紫苏,茯苓,厚朴
半夏,昆布,桔梗,天南星片,黄芩,粉葛,升麻
檀香,苏合香,朱砂,天麻,琥珀,大赤金箔,磺石
檀香,苏合香,朱砂,瓜蒌子,天麻,琥珀,郁金
杏仁,麦蘖,神僸,萝卜子,青皮,三棱,干漆
莱菔,白芥子,山楂
半夏,天南星,金箔,朱砂,琥珀,全蝎,白附子
银箔,金箔,远志,丹参,丹参,白附子,白僵蚕
半夏,丁香,诃子,生姜,干姜,草豆蔻
贝母,半夏,天南星,海藻,桔梗,陈皮,菖蒲
半夏,桔梗,陈皮,苏叶,前胡,麻黄,葛根
天南星,蜈蚣,直僵蚕,麝香,猪牙皂角
半夏,麦芽,陈皮,薤白,苏梗,全瓜蒌,生姜
贝母,莱菔,杏仁,葶苈,陈皮,苏子,牛蒡
葶苈,杏仁,黑牵牛,防己,麻黄
海石,胆南星,栝楼,抚芎,香附,青黛,苍术
莱菔,杏仁,薄荷,僵蛹,大力子,夏枯草,荆芥
贝母,海藻,猫头骨牙爪1副,蓖麻子肉,生明矾,没药,乳香
半夏,天南星,白芥子,红芽大戟,僵蚕,麻黄,制甘遂
贝母,款冬花,杏仁,桔梗,薄荷,麦门冬,阿胶珠
