半夏,陈皮,龙涎香,伽楠香
贝母,郁金,人参,香附,白芍
半夏,陈皮,人参,当归,白芍,白术,甘草
海藻,鸡血藤,黄芪,黄精,丹参,玄参
半夏,陈皮,党参,黄耆,紫河车,白术,茯苓
半夏,天南星,百药煎,明矾,五味子,乌梅肉,池矾
半夏,天南星,香墨,白附子,芎,杜仲,续断
贝母,半夏,杏仁,皂荚,知母
半夏,天南星,陈皮,黄芩,黄芩,白矾,泽泻
贝母,桔梗,薄荷,薄荷,诃子,胖大海,蝉蜕
贝母,天竺黄,半夏,胆南星,白芥子,葶苈,桔梗
半夏,海粉,杏仁,栝楼,诃子,香附,青黛
款冬花,蛤蚧,成炼钟乳,肉桂,白矾,甘草
贝母,半夏,莱菔,白芥子,杏仁,桔梗,蛤蚧
半夏,陈皮,藿香,人参,甘草,茯苓,苍术
半夏,陈皮,藿香,甘草,厚朴
半夏,陈皮,藿香,甘草,厚朴
半夏,陈皮,藿香,丁香,茯苓,生姜
半夏,竹茹,青子芩4,青蒿脑4,陈广皮,碧玉散,茯苓
桔梗,僵蚕,天麻,全蝎,麻黄,川芎,甘草
半夏,朱砂,白矾,雄黄
天南星,海藻,海带,琥珀,血竭,木香,麝香
胆南星,朱砂,钩藤,制军,琥珀,苏珠,地龙
贝母,半夏,天冬,石膏,百合,血琥珀,京知母
天竺黄,天南星,檀香,朱砂,琥珀,枳实,红参
天竺黄,天南星,檀香,金箔,粉草,人参,枳实
天竺黄,天南星,朱砂,僵蚕,丹参,琥珀,全蝎
天竺黄,天南星,檀香,朱砂,蜂蜜,金箔,琥珀
贝母,天竺黄,胆南星,僵蚕,琥珀,全蝎,飞腰黄
天竺黄,胆南星,辰砂,琥珀,腰黄,月石,沉香
天竺黄,天南星,辰砂,钩藤,真麝香,僵蚕,琥珀
贝母,天竺黄,胆南星,桔梗,朱砂,钩藤,天麻
天南星,远志,菖蒲,人乳,大辰砂,茯神,人参
贝母,天竺黄,青礞石,月石,伽楠香,麝香,枣仁
贝母,青礞石,沉香,月石,天竹黄,麝香,枣仁
金箔,远志,桔梗,辰砂,粉草,丹参,麝香3厘
荸荠,海蜇皮
荸荠,海蜇
贝母,半夏,昆布,海藻,海带,陈皮,当归
海藻,昆布,柴胡,小麦,龙胆草
海石,香附
海石,石礞,蚶壳,香附,莪术,红花,桃仁
透骨草,烧酒,老葱胡,马前子,三七,川羌,食盐
半夏,昆布,陈皮,人参,当归,白芍,肉桂
半夏,陈皮,当归,白芍,川芎,甘草,茯苓
贝母,桔梗,麦冬,枸杞,当归,黄芩,白芍
天竺黄,梅片,朱砂,天麻,油松节,祁蛇肉,白蔻
半夏,旋覆花,桂心,麦门冬,芍药,人参,枳实
葶苈,杏仁,蛤蚧,商陆,防己,麻黄,茯苓
白芥子,白僵蚕,陈皮,全丝瓜,上肉桂,莪术,麻黄
天竺黄,天南星,桔梗,天麻,陈皮,僵蚕,白附子
半夏,丁香,甘草,枣仁,厚朴,生姜
杏仁,陈皮,紫苏,麻黄,甘草,茯苓,桑白皮
天南星,粉草,天麻,全蝎,人参,独活,荆芥
天南星,粉草,天麻,全蝎,人参,独活,荆芥
半夏,天南星,白附子,寒水石,皂角,白矾,干生姜
天南星,蒌仁,陈皮,陈皮,清夏,元芩,沉香
贝母,半夏,昆布,海藻,海带,神曲,枳实
半夏,桔梗,干姜,茯苓
半夏,天南星,杏仁,陈皮,紫苏,麦蘖,香附
半夏,天南星,白附子,明矾
半夏,天南星,皂角,白矾,生姜
半夏,天南星,巴豆,干姜,枯矾,滑石
半夏,天南星,瓜蒌仁,杏仁,陈皮,紫苏,香附
半夏,葶苈,杏仁,桔梗,陈皮,五味子,旋覆花
半夏,葶苈,桔梗,陈皮,硼砂,紫苏,麦蘖
半夏,天南星,陈皮,辰砂,人参,皂,腻粉
半夏,紫菀,葶苈,杏仁,桔梗,陈皮,五味子
贝母,紫菀,款冬花,杏仁,葶苈,桔梗,清夏
半夏,葶苈,款冬花,杏仁,桔梗,陈皮,五味子
檀香,柿霜,硼砂,紫苏,白冰糖,白葛粉,乌梅肉
半夏,紫菀,葶苈,瓜蒌仁,杏仁,桔梗,远志
天南星,直僵蚕,代赭石,真麝香,梅冰片,赤金箔,净全蝎
半夏,陈皮,京三棱,黑牵牛,木香,槟榔,大黄
天南星,蜈蚣,朱砂,蝉壳,僵蚕,全蝎,人参
天竺黄,胆南星,朱砂,金箔,片脑,真麝香,僵蚕
半夏,天南星,金箔,龙脑,天麻,犀角,丁香
半夏,旋覆花,芍药,前胡,荆芥,麻黄,甘草
半夏,陈皮,当归,甘草,茯苓,熟地
贝母,半夏,天南星,瓜蒌仁,葶苈,桔梗,陈皮
半夏,天南星,皂角,白矾
白芥子,透骨草,僵蚕,片姜黄,鸡血藤膏,橘络,丹参
半夏,天麻,杭白菊,秦艽,夏枯草,牡蛎,白芍
