芡实,白芥子,诃黎勒,白术,益智
海石,三棱,石礞,红花,蚶壳
食盐,老葱胡,续断,马前子,透骨草
当归,丹皮,白芍,茯苓,甘草
当归,白芍,地黄,茯苓,甘草
白芍,当归,丹皮,贝母,白术
乌药,血竭,龟版,丁香,梅片
商陆,杏仁,葶苈,麻黄,桑白皮
皂荚,槐实,芎,菊花,枳壳
核桃肉,黄酒,山慈菇
干姜,白芥子,熟地,白僵蚕,三棱
川乌,柴胡,莲子心,山川柳,白附子
厚朴,丁香,甘草,生姜,枣仁
紫苏,茯苓,麻黄,杏仁,甘草
荆芥,人参,川芎,全蝎,羌活
荆芥,人参,川芎,全蝎,羌活
轻粉,白附子,干生姜,天南星,寒水石
枳壳,花粉,清夏,海浮石,沉香
白芍,蜈蚣,当归,红花,牛膝
白僵蚕,明矾
山楂,神曲,枳实,连翘,昆布
干姜,茯苓,桔梗,半夏
杏仁,萝卜子,白矾,神曲,生姜
白附子,明矾,天南星,半夏
白矾,生姜,天南星,半夏,皂角
天络丝
滑石,干姜,枯矾,巴豆,天南星
枳壳,瓜蒌仁,紫苏,杏仁,茯苓
冬花,炙草,杏仁,麻黄,莪术
鳖甲,茴香,紫苏,白术,沉香
腻粉,皂,人参,天南星,半夏
知母,阿胶,兜铃,茯苓,甘草
陈皮,款冬花,马兜铃,甘草,杏仁
款冬花,知母,甘草,兜铃,杏仁
乌梅肉,紫苏,檀香,白葛粉,薄荷
冬花,黄芩,天冬,兜铃,瓜蒌仁
直僵蚕,天南星,梅冰片,乳香,真麝香
枳壳,陈皮,槟榔,京三棱,黑牵牛
蜈蚣,蛇黄,僵蚕,乳香,山药
山药,金箔,僵蚕,胆南星,天竺黄
金箔,白矾,丹砂,犀角,麝香
芍药,前胡,麻黄,荆芥,甘草
当归,茯苓,甘草,熟地,陈皮
干葛,川甜消,甘草,大黄
黄柏,蒲黄,陈皮,乌药,腹皮
白矾,天南星,皂角,半夏
芍药,白芥子,苏梗,菖蒲,透骨草
葛根,秦艽,白芍,茯苓,白芷
海粉,皮硝,连翘,陈皮,瓜蒌仁
当归,天南星,肉桂,羚羊角,羌活
木香,菖蒲,白附子,天南星,羌活
紫苏,陈皮,杏仁,枳壳,茯苓
紫苏,菊花,贝母,陈皮,桑叶
紫苏,陈皮,杏仁,枳壳,茯苓
巴豆,郁金
白芍,甘草,滑石,丹皮,栀子
黄芪,柴胡,党参,玄参,海藻
当归,白芍,地骨皮,柴胡,白术
柴胡,贝母,广皮,甘草,赤苓
橘饼
花粉,陈皮,款冬花,甘草,前胡
紫苏,茯苓,甘草,地黄,麦门冬
白矾,杏仁,生草,紫菀,五味子
白矾,甘草,贝母,陈皮,五味子
紫苏,茯苓,地黄,瓜蒌皮,款冬花
冬花,茯苓,瓜蒌皮,甘草,陈皮
陈皮,粳米
茯苓,神曲,连翘,山楂,白术
白术,枳实,陈皮,半夏
黄芩,黄连,茯苓,甘草,枳壳
甘草,金荞麦,枳壳,紫菀,四季青
钩藤,麝香,茯苓,胆南星,犀角
杏仁,麦门冬,米仁,知母,天门冬
白芥子,瓜蒌仁,山楂,枳壳,枳实
片芩,麻黄,知母,甘草,贝母
甘草,麻黄,石膏,广皮红,杏仁
当归,干姜,白芍,茯苓,川芎
草果,广皮,生姜,人参,青皮
黄柏,黄芩,黄连,栀子,桔梗
当归,柴胡,白芍,茯苓,甘草
益智,茯苓,人参,陈皮,香附
白术,甘草,枳实,茯苓,桂枝
山药,沙参,贝母,熟地,党参
嫩苏梗,紫菀,甘草,香附,白前
干姜,白术,甘草,人参,茯苓
柴胡,竹茹,枳实,茯苓,人参
钩藤,竹茹,葛根,枳实,甘草
杏仁,陈皮,菖蒲,琥珀粉,何首乌
五灵脂,紫苏,白术,茯苓,枳壳
琥珀,人参,菖蒲,茯苓,郁金
茯苓,紫苏,甘草,厚朴,茯神
槟榔,枳实,厚朴,茯苓,神曲
紫苏,菖蒲,茯苓,厚朴,白芷
当归,杏仁,赤芍,白芍,香附
当归,白术,海藻,党参,陈皮
白术,前胡,茯苓,枳实,人参
枇杷叶,款冬花,桑叶,黄芩,杏仁
当归,白僵蚕,黄连,苦参,海藻
当归,竹茹,地黄,茯苓,黄连
茯苓,枳壳,甘草,陈皮,生姜
乌梅肉,寒水石,白粉,薄荷,硼砂
蒌皮,苏叶子,胆南星,蒌子,川连
竹茹,陈皮,焦三仙,干青果
三仙饮,炙桑白皮
陈皮,焦三仙
乌药,当归,白附子,菖蒲,黑附子
柴胡,连翘,贝母,元参,地丁
干姜,甘草,黄芩,白芍,栀子
黄芩,枳实,茯苓,栀子,黄连
鳖甲,白芍,柴胡,黄芩,当归
芍药,山楂,川芎,神曲,枳实
百部,穿心莲,葎草,玉竹,白及
倭硫,朱砂
藿香,紫苏,人参,甘草,和粗皮捣令细
茯苓,杏仁,桂枝,薄荷,苏叶
天冬,木通,枳壳,葶苈,杏仁
陈皮,侧柏叶,枸杞,槐角子
醋2500毫升,半夏
白术,款冬花,钟乳粉,人参,川姜
杏仁,麻黄,甘草,款冬花
巴豆,玄胡,香附,陈皮,枳壳
桂,枳壳,桔梗,半夏
厚朴,生老姜
白术,枳实,白矾,大皂角,或加旋复花
大腹子,半夏,木香,青皮,京三棱
栀子,茯苓,麦门冬,细辛,川芎
栀子,茯苓,麦门冬,细辛,川芎
黍粘子,紫苏,龙脑,荆芥,甘草
白矾,天南星,草龙脑,半夏
天冬,牛蒡,元参,柴胡,黄芩
白术,白芍,附片,茯苓,龙骨
白芥子,蛤壳,牛蒡,杏仁,瓜蒌皮
白芥子,蛤壳,瓜蒌皮,紫苏,青黛
白芥子,蛤壳,青黛,石膏,紫苏
青礞石,万年干,石膏,硼砂
枳壳,香附,甘草,淡条芩,细川连
连翘,皂角刺,川芎,栝楼,青皮
紫苏,款冬花,紫菀,桑白皮,甘草
粳米,新鲜萝卜约
新鲜白萝卜
白糖,白果仁,贝母,莱菔,冰糖
粳米,莱菔
莱菔
甘草,贝母,款冬花,肉桂,鹅管石
胡椒,缩砂仁,乌梅,巴豆,丁香
醋,绿茶
丹参,明矾
杏仁,葶苈,茯苓,马兜铃,桔梗
葛根,黄芩,枳壳,茯苓,前胡
干姜,白术,甘草,茯苓,苏子
干姜,白术,甘草,茯苓,人参
贝母,麦冬,鲜藕,秋梨,鲜姜
茴香,茯苓,草乌,香附,半夏
藿香,陈皮,枳壳,甘草,槟榔
黄连,牛蒡,元参,花粉,石膏
川椒,杏仁,生草,胆南星,麻黄
茯苓,甘草,陈皮,杏仁,半夏
白术,茯苓,甘草,人参,陈皮
款冬花,黄芩,厚朴,甘草,杏仁
菊花,半夏,川芎,荆芥,钩藤钩
甘草,牛蒡,石膏,麻黄,陈皮
甘草,麻黄,杏仁,豆腐1小块,半夏
茯苓,白芥子,茶叶,甘草,苏子
马兜铃,巴豆,杏仁,半夏
白萝卜,蜂蜜
当归,茯苓,黄耆,罗参,莲肉
钩藤,陈皮,赤芍,枳壳,胆南星
茯苓,当归,甘草,皂刺,熟地
梅花脑,麝香,寒水石,甘草,五
梅花脑,寒水石,牙消,麝香,甘草
枇杷叶,天冬,贝母,莲子,玄参
枇杷叶,粳米,冰糖
枇杷叶,粳米,冰糖
干生姜,枳实,栀子,山楂,茯苓
礞石,枳实,黄芩,天南星,法制消
竹茹,黄芩,黄连,枳壳,旋复花
