枣仁,小米,蜂蜜
朱砂,人参,胆南星,麝,脑
天竺黄,菖蒲,西丹参,胆南星,煅青礞石
人参,牡蛎,远志,辰砂,茯苓
茯神,枣仁,柏子仁,人参,紫石英
朱砂,钩藤,人参,白术,茯苓
枣仁,人参,当归,远志,淡竹叶
白糖,食盐,葱,生姜,花椒
枣仁,合欢皮,浮小麦,女贞子,何首乌
白糖,粳米,枣仁,夜交藤
人参,远志,五味子,黄耆,芍药
枣仁,大茴,桂圆肉,麦冬,川断
茯神,枣仁,柏子仁,酒白芍,生地
阿胶,茯神,丹砂,枣仁,龙齿
寒水石,丁子香,犀角,黄金,沉香
朱砂,人参,柏子仁,龙骨,紫石英
茯神,羚羊角,枣仁,人参,当归
