白术,陈皮,常山,黄芩,槟榔
党参,白术,神曲,半夏,青皮
白术,贝母,麦门冬,陈皮,香附
芡实,白术,山药,薏仁,茯苓
肉豆蔻,寒水石,石灰华,木瓜,沉香
肉豆蔻,寒水石,石灰华,木瓜,沉香
盐花,巴戟,川椒,硇砂,黑附子
神曲,高良姜,萆澄茄,肉豆蔻,黑附子
茴香,汉椒,厚朴,青盐
扁豆,苍术,佛手,猪苓,陈皮
白术,神曲,干姜,肉豆蔻,茱萸
生姜,牛奶,韭菜
神曲,生姜,食糖
白术,神曲,薏仁,陈皮,大腹子
白术,饴糖10毫升,官桂,枣仁,人参
白术,甘草,柴胡,藿香,五味子
白术,丹皮,茯苓,当归,芍药
白术,薄荷,茯苓,丹皮,当归
党参,白术,狗脊,黄芪,山药
党参,生黄耆,白术,山药,砂仁
白术,钩藤,白豆蔻,灯心,橘络
白术,生草,苍术,茯苓,黄芩
白术,黄芩,生草,苍术,茯苓
党参,白术,桂枝,三七,牡蛎
白术,白藓皮,茯苓,紫草,丹皮
白术,云苓,秦艽,丹皮,黄芩
山药,干姜,甘草,当归,川芎
白术,生黄耆,香附,黑附子,山药
芡实,莲须,萆,菖蒲,菟丝子
白术,干姜,陈皮,青皮,缩砂仁
白术,槟榔,北梗,紫苏,陈皮
白术,神曲,荷叶,陈皮,山楂
白术,神曲,半夏,山楂,陈皮
白术,神曲,黄连,葛花,苍术
大梨,蜜半杯,建莲肉,枣仁,枇杷叶50
白术,黑附子,肉豆蔻,甘草,木香
白术,升麻,川芎,生地
白术,黄芪,甘草,当归,龙眼肉
白术,生姜,砂仁,谷芽,甘草
党参,白术,续断,蕲艾,广皮
神曲,生料平胃散,麦芽
白术,猪苓,麦冬,香薷,茯苓
黄芪,白茅根,当归,白果,桑白皮
扁豆,山药,地黄,当归,薏仁
党参,白术,莪术,甘草,三棱
白术,陈皮,当归,黄柏,香附
白术,党参,莲须,薏米,益智仁
白术,神曲,黄连,甘草,山楂
白术,山楂,苍术,川芎
党参,白术,蔓荆子,陈皮,甘草
白术,黄柏,苍术,赤苓,滑石
白术,干姜,黑附子,茯苓,厚朴
白术,竹叶,龙骨,五倍子,豆蔻
白术,灯草,麦门冬,黄连,秦艽
白术,砂仁,升麻,陈皮,黄连
白术,茯神,钩藤,葛根,薏仁
苍术,血竭,陈皮,丁香,肉苁蓉
苍术,血竭,陈皮,丁香,肉苁蓉
党参,扁豆,于术,砂仁,茯苓
党参,丹皮,山药,女贞子,鹿角胶
苍术,陈皮,人参,厚朴,甘草
党参,白术,干姜,山药,莲肉
白术,砂仁,青皮,白芷,三棱
白术,扁豆,砂仁,茯神,甘草
白术,神曲,枳壳,甘草,茯苓
党参,白术,制附块,鸡血藤,桂枝
白术,山药,酒炒白芍,香附,地黄
白术,生姜,当归,青皮,香附
党参,紫苏,苍术,陈皮,于术
肉豆蔻,良姜,甘草,半夏,厚朴
扁豆,白术,芡实,山药,花粉
白术,茯苓皮,灯心,甘草,黄芩
白术,扁豆,芡实,山药,黄柏
白术,扁豆,芡实,山药,黄柏
党参,扁豆,神曲,炒麦芽,芡实
白术,贝母,陈皮,山楂,芍药
党参,白术,续断,当归,五味子
党参,白术,吴萸,神曲,白蔻仁
芡实,神曲,薏仁,山药,谷芽
扁豆,白术,神曲,芡实,莲肉
苍术,枣仁,生姜,乌药,羌活
党参,白术,丹参,谷芽,鸡内金
白术,生黄耆,茯苓皮,生姜皮,桂枝
党参,白术,鸡血藤,丹参,陈皮
党参,白术,黄连,陈皮,瓦楞子
白术,芡实,贝母,薏米,饭党
神曲,苍术,陈皮,黑豆,山楂
白术,陈皮,当归,黑姜,川芎
白术,贝母,陈皮,知母,黄芩
白术,神曲,贝母,甘草,山楂
党参,白术,黄芩,甘草,山药
党参,白术,扁豆,车前子,山药
党参,白术,山楂,枳实,陈皮
白术,黄连,神曲,甘草,砂仁
白术,山楂,陈皮,人参,麦芽
白术,神曲,山楂,当归,半夏
白术,神曲,炒麦芽,云苓,山楂
白术,神曲,山楂,建莲肉,山药
白术,砂仁,山药,莲肉,甘草
芡实,扁豆,白术,山药,甘草
白术,神曲,甘草,白豆蔻,黄连
艾,香附
芡实,扁豆,山药,大麦芽,薏仁
白术,党参,黄连,甘草,当归
蒸饼
神曲,苍术,砂仁,莱菔,青皮
白术,神曲,槟榔,莱菔,砂仁
白术,山楂,白豆蔻,青皮,柴胡
扁豆,山药,槟榔,枳壳,山楂
白术,陈皮,厚朴,枳实
白术,神曲,槟榔,干生姜,陈皮
白术,黄连,半夏,山楂,薏仁
枣仁,粳米,龙眼肉
白术,龙骨,生姜,附片,白芍
党参,白术,黄芪,龙骨,山药
高良姜,鹿头肉,粳米,蔓荆子,香子
粳米,冰糖,落花生
扁豆,神曲,白术,山药,莲肉
嫩莲实,粳米
扁豆,神曲,槟榔,山药,使君子
肉豆蔻,车前子,草果仁,苍术,生姜
或加肉桂,干姜,熟地,当归,甘草
白术,神曲,当归,甘草,山药
白术,神曲,山药,山楂,莲肉
白术,干姜,茯苓,人参,甘草
白术,干姜,人参,甘草
白术,干姜,茯苓,人参,甘草
白术,干姜,人参,甘草
神曲,槟榔,山楂,莪术,三棱
仙灵脾,槟榔,黑豆皮,黄酒,陈皮
柿饼,栗子肉
白术,黄芪,三七,乌贼骨,赤石脂
肉豆蔻,片子姜黄,百草霜,干姜,青皮
肉豆蔻,片子姜黄,百草霜,干姜,青皮
寒水石,山柰,碱花,木香,诃子
寒水石,山柰,碱花,木香,诃子
白术,陈皮,半夏,甘草,茯苓
白术,党参,乌梅,半夏,陈皮
白术,陈皮,半夏,甘草,茯苓
香茹,木瓜,厚朴,藿香,甘草
白术,麦门冬,陈皮,小麦,茯苓
白术,神曲60克米粉,白糖,陈皮,麦芽
白术,芡实,山药,甘草,金楔子
白术,牡蛎,茯苓,麻黄根,人参
白术,太子参,甘草,茯苓,萆薢
白术,干姜,肉豆蔻,陈皮,当归
白术,荆三棱,枳亮,丹皮,诃子
神曲,山楂,当归,蝉蜕,甘草
白术,神曲,肉果,砂仁,草果
扁豆,何首乌,猪腰,谷芽,车前
神曲,青皮,陈皮,莪术,三棱
粳米,鲜荠菜
白术,黄芪,甘草,薏仁,制附片
党参,白术,黄芪,薏仁,旱莲草
黄芪,鹿角胶,螵蛸,元胡,甘松
芡实,白糖,山药,糯米粉
党参,白术,芡实,山药,百合
白术,使君子,甘草,黄连,陈皮
白术,贝母,甘草,薏仁,茯苓
白术,苍术,女贞子,蝉蜕,甘草
白术,扁豆,半夏,甘草,木瓜
白术,陈皮,黑附子,干姜,丁香
白术,神曲,人参,甘草,山药
白术,莲肉,山药,甘草,山楂
3O克,丁香3O克,五味子,血竭,甘草
白术,黄芪,砂仁,山药,当归
白术,贝母,甘草,乌药,茯神
肉豆蔻,槟榔,草果子,蒜,陈皮
白术,草果,良姜,缩砂,京三棱
白术,芍药,陈皮,枳实
砂仁,蔻仁,元胡,沉香,陈皮
砂仁,大米
扁豆,赤芍等份,丹皮,陈皮,藿香
白术,山药,牛膝,茱萸,白酒
白术,半夏,茯苓,柴胡,枳壳
白术,黑附子,陈皮,甘草,人参
扁豆,白术,山药,黄柏,桑枝
白术,山药,巴戟天,陈皮,地黄
芡实米,金樱子
神曲,赤小豆,小枳实,茯苓,生于术
芡实,白术,山药,肉豆蔻,茯苓
芡实,白术,山药,肉豆蔻,茯苓
白术,白糖,白面粉,益智仁,鲜生姜
山药,紫荆皮,枣仁
山楂,粳米,砂糖
白术,干姜,陈皮,肉桂
白术,猪苓,泽泻,茯苓
山药,肉豆蔻,半夏,厚朴
党参,白术,莪术,甘草,三棱
白术,党参,甘草,茯苓
白术,陈皮,黄柏,香附,地黄
苍术,元参,薏仁,苍耳子,茯苓
党参,白术,续断,何首乌,山药
白术,扁豆,甘草,香薷叶,木瓜
白术,砂仁,半夏,甘草,陈皮
苍术,茴香,乌头
白术,车前子,瞿麦,茯苓,猪苓
白术,天麻,当归,川芎,独活
白术,白藓皮,香附,白芷,茯苓
山药,黄芪,鸡血藤,续断,仙茅
白樟柳根,赤小豆,陈皮,木香
肉豆蔻,陈米,陈皮,黑牵牛,甘草
白术,神曲,巴戟天,山药,谷芽
鲜土豆
猪脊骨,茯苓
白术,党参,丹参,良姜,甘草
白术,黄连,西洋参,猪苓,生姜
党参,白术,何首乌,山药,甘草
白术,当归,茯苓,厚朴,黑姜L
党参,白术,神曲,干姜,秦皮
白术,山药,柴胡,车前子,苍术
苍术,车前子,益母草,鱼腥草,鹿衔草
白术,枸杞,天冬,糯米,黄精
生姜皮,茯苓皮,陈皮,大腹皮,桑白皮
盐,酒,姜,葱,鸡
党参,清炙草,木香,炒广皮,小川连
扁豆,香薷,厚朴
