水牛角浓缩粉,白芍,黄芪,郁金,川芎
海粉,青黛,瓜蒌仁,陈皮,连翘
天南星,当归,白芷,川芎,陈皮
天南星,远志,僵蚕,天麻,白附子
贝母,半夏,葛根,陈皮,紫苏
贝母,桔梗,紫苏,陈皮,杏仁
贝母,半夏,葛根,陈皮,紫苏
巴豆,郁金
紫菀,贝母,滑石,白芍,桑白皮
白芷,黄芪,海藻,柴胡,党参
贝母,地骨皮,当归,白芍,陈皮
贝母,远志,柴胡,赤苓,银花
橘饼
远志,紫菀,半夏,贝母,款冬花
紫菀,贝母,半夏,栝楼,款冬花
紫菀,贝母,半夏,陈皮,白矾
贝母,陈皮,杏仁,五味子,净金灯
紫菀,半夏,贝母,款冬花,紫苏
紫菀,半夏,贝母,杏仁,陈皮
粳米,陈皮
半夏,连翘,山楂,川芎,莱菔
半夏,白术,陈皮,枳实
半夏,黄连,桔梗,陈皮,黑山栀
紫菀,金荞麦,前胡,四季青,枳壳
钩藤,胆南星,天竺黄,朱砂,天麻
米仁,天门冬,杏仁,人参,麦门冬
天南星,半夏,白豆蔻,白术,山楂
贝母,片芩,知母,桔梗,杏仁
半夏,麻黄,小枳实,栝楼,杏仁
半夏,当归,白芍,陈皮,川芎
半夏,人参,草果,广皮,生姜
半夏,黄柏,人参,桔梗,栀子
半夏,当归,柴胡,白芍,白芷
半夏,人参,陈皮,粉草,香附
半夏,白术,三七,茯苓,桂枝
贝母,山药,熟地,麦冬,党参
紫菀,白前,陈皮,桔梗,旋复花
半夏,白术,五味子,人参,陈皮
半夏,柴胡,陈皮,竹茹,桔梗
半夏,竹茹,葛根,陈皮,云苓
白芍,陈皮,远志,当归,藿香
半夏,北梗,槟榔,白术,紫苏
人参,远志,郁金,琥珀,菖蒲
半夏,远志,紫苏,厚朴,茯神
天南星,半夏,白豆蔻,槟榔,益智仁
半夏,白芷,紫苏,木香,厚朴
杏仁,白芍,当归,旋覆花,刀豆子
半夏,当归,夏枯草,白术,黄药子
半夏,白术,桔梗,人参,前胡
前胡,杏仁,黄芩,银花,桔梗
半夏,陈皮,苦参,黄连,当归
半夏,当归,陈皮,竹茹,桔梗
半夏,陈皮,生姜,枳壳,茯苓
柿霜,玄明粉,硼砂,白粉,乌梅肉
川连,小枳实,陈皮,胆南星,羚羊
陈皮,竹茹,干青果,焦三仙
炙桑白皮,三仙饮
陈皮,焦三仙
钩蘑,白附子,乌药,苏合油3毫升,白芷
贝母,漏芦,柴胡,连翘,皂刺
半夏,栀子,白芍,黄芩,桂枝
