白术,熟地,白芥子,薏仁,芡实
白术,桂枝,半夏,干姜炭,牡蛎
麦冬,沙参,熟地,贝母,党参
紫菀,旋复花,陈皮,香附,嫩苏梗
白术,干姜,陈皮,茯苓,人参
竹茹,麦冬,香附,陈皮,桔梗
钩藤,竹茹,云苓,陈皮,半夏
川连,陈皮,当归,佩兰,白芍
白术,紫苏,辣桂,北梗,槟榔
茯苓,菖蒲,琥珀,人参,远志
紫苏,厚朴,茯苓,远志,半夏
天南星,陈皮,厚朴,苏梗,青皮
厚朴,紫苏,白芷,菖蒲,木香
当归,玫瑰花,香附,杏仁,陈皮
蛇莓,海藻,白术,当归,陈皮
白术,香附,桔梗,人参,半夏
款冬花,麦冬,枇杷叶,黄芩,杏仁
昆布,木通,陈皮,白术,黄连
黄连,地黄,竹茹,桔梗,陈皮
茅术,陈皮,茯苓,枳壳,生姜
寒水石,薄荷,玄明粉,柿霜,冰片
川连,苏叶子,胆南星,小枳实,陈皮
陈皮,竹茹,干青果,焦三仙
炙桑白皮,三仙饮
陈皮,焦三仙
胆南星,杭芍,陈皮,僵蚕,白附子
香附,皂刺,海藻,连翘,柴胡
桂枝,干姜,麻黄,栀子,半夏
天南星,黄连,桔梗,黄芩,陈皮
白术,鳖甲,知母,半夏,陈皮
芍药,天南星,白术,苍术,黄连
玉竹,百部,穿心莲,葎草,白及
朱砂,倭硫
紫苏,厚朴,厚朴,桔梗,陈皮
桂枝,苏叶,陈皮,麻黄,杏仁
葶苈,百合,木通,天冬,杏仁
槐角子,枸杞,陈皮,侧柏叶
醋2500毫升,半夏
白术,款冬花,钟乳粉,人参,川姜
款冬花,麻黄,杏仁,甘草
神曲,巴豆,玄胡,枳壳,陈皮
桔梗,枳壳,桂,半夏
厚朴,生老姜
天南星,葶苈,白术,黑牵牛,青皮
京三棱,青皮,大腹子,木香,半夏
生犀角,麦门冬,川芎,生龙脑,栀子
生犀角,麦门冬,川芎,生龙脑,栀子
紫苏,鸡苏叶,黍粘子,瓜蒌根,桔梗
天南星,白矾,草龙脑,半夏
天冬,黄连,黄芩,麦冬,元参
白术,白芍,半夏,牡蛎,龙骨
蛤壳,杏仁,紫苏,栀子,花粉
蛤壳,杏仁,紫苏,细辛,白芥子
蛤壳,紫苏,杏仁,花粉,麻黄
石膏,青礞石,硼砂,万年干
细川连,淡条芩,京元参,枳壳,上广皮
橘叶,桃仁,连翘,皂角刺,川芎
紫菀,紫苏,款冬花,杏仁,五味子
粳米,新鲜萝卜约
新鲜白萝卜
贝母,白果仁,豆腐皮,冰糖,莱菔
粳米,莱菔
莱菔
鹅管石,肉桂,款冬花,贝母,甘草
醋,绿茶
丹参,明矾
马兜铃,茯苓,陈皮,杏仁,葶苈
苏叶,党参,木香,枳壳,桔梗
白术,干姜,半夏,茯苓,人参
白术,干姜,茯苓,半夏,人参
麦冬,贝母,萝卜,秋梨,鲜藕
香附,茴香,草乌,半夏,茯苓
莱菔,厚朴,砂仁,陈皮,青皮
黄连,元参,花粉,山栀,桔梗
紫菀,款冬花,生草,牙皂肉,半夏
茯苓,杏仁,陈皮,甘草,半夏
白术,茯苓,陈皮,人参,半夏
厚朴,麻黄,款冬花,杏仁,黄芩
明天麻,菊花,川芎,半夏,荆芥
麻黄,贝母,杏仁,陈皮,石膏
麻黄,豆腐1小块,杏仁,半夏,甘草
茶叶,麻黄,莱菔,诃子,杏仁
陈皮,槟榔,赤芍,麦门冬,人参
杏仁,马兜铃,半夏,巴豆
白萝卜,蜂蜜
罗参,陈皮,枣仁,当归,茯苓
钩藤,陈皮,胆南星,明天麻,薄荷
皂刺,陈皮,熟地,当归,重楼
寒水石,硼砂,梅花脑,牙硝,五
寒水石,牙消,梅花脑,麝香,硼砂
天冬,玄参,麦冬,莲子,贝母
粳米,冰糖,枇杷叶
粳米,冰糖,枇杷叶
莱菔,黄连,白术,厚朴,神曲
天南星,黄芩,半夏,法制消,礞石
黄连,菖蒲,花粉,茯神,丹参
旋复花,半夏,黄连,黄芩,枳壳
