水牛角浓缩粉,郁金,羚羊角,黄芪,珍珠
金箔,远志,麝香3厘,桔梗,黄耆
海粉,青黛,黄芩,神曲
荸荠,海蜇皮
荸荠,海蜇
贝母,半夏,当归,川芎,海藻
海藻,小麦,龙胆草,柴胡,昆布
香附,海石
香附,海石,石礞,莪术,三棱
三七,透骨草,白芷,川羌,防风
半夏,昆布,熟地,陈皮,人参
半夏,地黄,陈皮,川芎,白芍
贝母,山栀,桔梗,当归,白芍
僵蚕,乌药,黄连,梅片,天竺黄
杏仁,蛤蚧,商陆,葶苈,防己
槐实,菊花,牵牛子,槟榔,皂荚
黄酒,山慈菇,核桃肉
陈皮,白芥子,熟地,莪术,白僵蚕
天竺黄,天南星,僵蚕,黄连,天麻
半夏,生姜,枣仁,甘草,厚朴
杏仁,麻黄,陈皮,茯苓,桑白皮
天南星,天麻,独活,荆芥,全蝎
天南星,天麻,独活,荆芥,全蝎
半夏,白附子,天南星,寒水石,轻粉
天南星,清夏,大黄,元芩,海浮石
五倍子
明矾,白僵蚕
贝母,山楂,半夏,白石英,海藻
半夏,茯苓,桔梗,干姜
半夏,青皮,天南星,陈皮,香附
天南星,白附子,半夏,明矾
半夏,天南星,生姜,白矾,皂角
天络丝
半夏,天南星,巴豆,滑石,干姜
瓜蒌仁,天南星,半夏,杏仁,陈皮
半夏,炙草,陈皮,桔梗,人参
半夏,沉香,大黄,荆三棱,葶苈
天南星,半夏,腻粉,陈皮,辰砂
半夏,紫菀,陈皮,杏仁,桔梗
贝母,清夏,紫菀,马兜铃,陈皮
半夏,杏仁,陈皮,人参,葶苈
硼砂,紫苏,乌梅肉,柿霜,檀香
半夏,瓜蒌仁,紫菀,前胡,天冬
天南星,乳香,明天麻,真麝香,直僵蚕
半夏,京三棱,大黄,黑牵牛,陈皮
天南星,僵蚕,茯苓,蝉壳,蜈蚣
金箔,防风,天竺黄,真麝香,胆南星
金箔,龙脑,半夏,天南星,天麻
半夏,熟地,当归,陈皮,甘草
干葛,川甜消,大黄,甘草
贝母,麦芽,天南星,半夏,瓜蒌仁
半夏,天南星,白矾,皂角
白芥子,僵蚕,片姜黄,透骨草,鸡血藤膏
半夏,天麻,夏枯草,白芷,葛根
桔梗,皮硝,瓜蒌仁,海粉,陈皮
天南星,天麻,白芷,陈皮,当归
天南星,白附子,僵蚕,远志,天麻
贝母,玄参,半夏,前胡,陈皮
贝母,前胡,石膏,黄芩,桑叶
贝母,玄参,半夏,前胡,陈皮
贝母,紫菀,栀子,小蓟,桃仁
海藻,白芷,防风,黄芪,板蓝根
贝母,当归,香附,麦门冬,陈皮
贝母,桔梗,远志,玄参,广皮
橘饼
贝母,半夏,远志,前胡,紫菀
贝母,栝楼,地黄,半夏,紫菀
杏仁,贝母,紫菀,半夏,五味子
贝母,净金灯,五味子,陈皮,杏仁
贝母,地黄,半夏,紫菀,石膏
贝母,苏子,半夏,紫菀,桔梗
陈皮,粳米
