半夏,藿香,苍术,甘草,厚朴
半夏,藿香,厚朴,甘草,陈皮
半夏,藿香,厚朴,甘草,陈皮
半夏,藿香,茯苓,生姜,丁香
半夏,茯苓,竹茹,枳壳,青子芩4
全蝎,甘草,天麻,川芎,苏木
半夏,雄黄,白矾,朱砂
天南星,木香,海藻,血竭,京墨
钩藤,胆南星,麝香,琥珀,地龙
半夏,贝母,百合,石膏,血琥珀
天竺黄,天南星,琥珀,檀香,山药
天南星,山药,天竺黄,金箔,真琥珀
天竺黄,琥珀,僵蚕,天南星,麝香
天竺黄,天南星,琥珀,檀香,金箔
天竺黄,僵蚕,琥珀,胆南星,全蝎
天竺黄,沉香,胆南星,山药,琥珀
天南星,天竺黄,琥珀,钩藤,人参
天竺黄,胆南星,钩藤,琥珀,羌活
天南星,真琥珀,远志,人参,茯神
天竺黄,伽楠香,羚羊角,枣仁,贝母
沉香,贝母,羚羊角,枣仁,青礞石
木香,金箔,辰砂,甘松,滑石
黄芩,海粉,神曲,青黛
荸荠,海蜇皮
荸荠,海蜇
连翘,当归,贝母,川芎,海带
海藻,柴胡,龙胆草,昆布,小麦
海石,香附
海石,三棱,石礞,蚶壳,桃仁
半夏,木香,白芍,当归,熟地
半夏,当归,白芍,甘草,地黄
贝母,当归,白芍,黄芩,山栀
天竺黄,白蔻,木香,梅片,当归
葶苈,杏仁,桑白皮,商陆,麻黄
山慈菇,核桃肉,黄酒
干姜,白僵蚕,三棱,白芥子,熟地
天竺黄,天南星,木香,滑石,黄连
半夏,生姜,厚朴,枣仁,甘草
杏仁,茯苓,麻黄,甘草,桑白皮
天南星,羌活,全蝎,粉草,独活
天南星,羌活,全蝎,粉草,独活
半夏,天南星,硇砂,白矾,皂角
天南星,蒌仁,大黄,沉香,清夏
白芍,当归,蜈蚣,红花,牛膝
五倍子
白僵蚕,明矾
连翘,贝母,海带,半夏,白石英
干姜,半夏,茯苓,桔梗
天南星,半夏,萝卜子,生姜,神曲
天南星,半夏,白附子,明矾
天南星,半夏,生姜,白矾,皂角
天络丝
半夏,天南星,干姜,滑石,巴豆
天南星,萝卜子,半夏,瓜蒌仁,杏仁
五味子,炙草,杏仁,知母,半夏
半夏,沉香,木香,荆三棱,葶苈
天南星,人参,腻粉,半夏,陈皮
杏仁,紫菀,五味子,葶苈,半夏
款冬花,杏仁,米壳,紫菀,五味子
款冬花,杏仁,半夏,五味子,麻黄
薄荷,檀香,紫苏,白冰糖,乌梅肉
