白术,白芍,肉桂,生草,升麻
白芍,白术,生草,升麻,柴胡
白术,牡蛎,党参,桂枝,半夏
白术,黄芩,白藓皮,防风,秦艽
白术,防风,白鲜皮,秦艽,黄芩
干姜,山药,川芎,当归,甘草
麻黄,干姜,山药,白术,茱萸
芡实,菖蒲,萆,益智仁,莲须
干姜,白术,缩砂仁,人参,陈皮
白术,五灵脂,北梗,枳壳,槟榔
连翘,白术,荷叶,神曲,枳实
枳实,神曲,半夏,白术,山楂
黄连,神曲,白术,卜子,半夏
枣仁,建莲肉,蜜半杯,大梨,枇杷叶50
肉豆蔻,黑附子,白术,甘草,木香
升麻,白术,川芎,生地
柴胡,白术,当归,木香,黄芪
山楂,白术,生姜,甘草,谷芽
白术,党参,蕲艾,续断,广皮
神曲,麦芽,生料平胃散
白术,麦冬,猪苓,泽泻,香薷
白果,肉桂,阿胶,黄芪,当归
川芎,扁豆,白芍,当归,地黄
白术,三棱,莪术,牛膝,党参
白术,白芍,川芎,当归,黄柏
白术,金樱子,党参,益智仁,莲须
黄连,神曲,芍药,白术,川芎
川芎,山楂,白术,苍术
白术,黄耆,党参,甘草,陈皮
白术,猪苓,枳壳,黄柏,泽泻
干姜,厚朴,黑附子,白术,茯苓
白术,龙骨,牡蛎,金樱子,五倍子
白术,白芍,黄芩,柴胡,黄连
白术,柴胡,黄芩,白芍,升麻
白术,茯神,葛根,川芎,当归
芍药,地黄,苍术,红花,茯苓
芍药,地黄,苍术,红花,茯苓
扁豆,于术,白芍,石斛,灶心土
于术,山药,白芍,党参,女贞子
茯苓,苍术,厚朴,陈皮,人参
干姜,白芷,当归,莲肉,白术
白术,白芷,柴胡,当归,肉桂
茯神,扁豆,甘草,白术,淮药
枳壳,神曲,山楂,白术,厚朴
干姜,白术,川芎,党参,当归
山药,杜仲,川芎,白术,当归
白术,白芍,当归,川芎,生地
茯苓,桔梗,枇杷叶,党参,三仙
益智仁,诃子,肉豆蔻,半夏,厚朴
扁豆,花粉,黄柏,枳壳,白术
白术,黄芩,竹叶,枳壳,茯苓皮
黄柏,山药,扁豆,枳壳,白术
扁豆,枳壳,黄柏,山药,白术
扁豆,黄连,神曲,桔梗,豆蔻
芍药,贝母,白术,山楂,陈皮
白术,五味子,白芍,党参,当归
益智,黄连,神曲,白芍,山药
百合,雷丸,山药,神曲,山楂
黄连,扁豆,连翘,白术,山药
荆芥,乌药,茯苓,苍术,木香
白术,柴胡,党参,白芍,米仁
白术,茯苓皮,桂枝,防己,生黄耆
当归,白术,党参,陈皮,茯苓
黄连,白术,白芍,茱萸,党参
贝母,白术,芡实,南豆,淮山
神曲,甘草,厚朴,黑豆,苍术
白术,川芎,当归,黑姜,人参
白术,白芍,柴胡,黄芩,当归
神曲,白术,芍药,天南星,山楂
黄芩,山药,白术,元参,党参
扁豆,肉桂,葛根,五味子,通草
枳实,白术,党参,陈皮,山楂
黄连,神曲,肉豆蔻,山药,白术
白术,枳实,人参,山楂,陈皮
神曲,当归,山楂,川芎,芍药
神曲,白术,黄连,虾蟆皮,炒麦芽
神曲,建莲肉,山药,山楂,白术
黄连,白芍,山药,白术,砂仁
扁豆,桔梗,白芍,猪苓,山药
黄连,神曲,白术,楂肉,人参
香附,艾
扁豆,大麦芽,柿霜,山药,芡实
黄连,白术,党参,椿皮,枳壳
蒸饼
神曲,乌药,莱菔,柴胡,枳壳
乌药,莱菔,白术,神曲,莪术
柴胡,山楂,白术,前胡,猪苓
扁豆,槟榔,六曲,枳壳,山药
枳实,白术,厚朴,陈皮
干生姜,槟榔,白术,神曲,草豆蔻
苏子,白芍,白术,黄连,黄耆
枣仁,粳米,龙眼肉
龙骨,白术,白芍,牡蛎,半夏
龙骨,白术,山药,五味子,党参
