珍珠母,牛膝,酒曲,酒曲,赭石
枣仁,人参,茯神,黄耆,远志
朱砂,人参,茯苓,钩藤,甘草
枣仁,淡竹叶,远志,黄耆,地黄
生姜,葱,食盐,白糖,玉竹
枣仁,合欢皮,浮小麦,女贞子,甘草
白糖,枣仁,粳米,夜交藤
远志,茯苓X克,芍药,人参,黄耆
枣仁,丁香,茯苓,甘杞子,麦冬
枣仁,茯神,栀子,柴胡,香附
阿胶,枣仁,茯神,熟地,黄耆
犀角,羚羊角,黄金,丁子香,滑石
朱砂,人参,紫石英,柏子仁,螵蛸
地黄,人参,枣仁,茯神,远志
