沉香,贝母,月石,羚羊角,天竹黄
远志,滑石,粉草,辰砂,麝香3厘
海粉,黄芩,青黛,神曲
荸荠,海蜇皮
荸荠,海蜇
海藻,连翘,昆布,独活,当归
海藻,昆布,柴胡,小麦,龙胆草
海石,香附
石礞,海石,蚶壳,红花,桃仁
半夏,昆布,丹皮,白芍,当归
半夏,白芍,茯苓,地黄,当归
贝母,白术,白芍,麦冬,丹皮
天竺黄,僵蚕,白术,白蔻,黄芩
杏仁,麻黄,商陆,茯苓,桑白皮
山慈菇,核桃肉,黄酒
陈皮,干姜,白僵蚕,白芥子,全丝瓜
天竺黄,僵蚕,滑石,柴胡,天南星
半夏,丁香,生姜,厚朴,枣仁
杏仁,陈皮,茯苓,甘草,紫苏
独活,天南星,粉草,川芎,天麻
独活,天南星,粉草,川芎,天麻
白附子,半夏,天南星,皂角,硇砂
沉香,天南星,蒌仁,花粉,元芩
五倍子
白僵蚕,明矾
连翘,海藻,昆布,枳实,半夏
半夏,桔梗,茯苓,干姜
半夏,杏仁,山檀,生姜,天南星
白附子,半夏,天南星,明矾
生姜,半夏,皂角,天南星,白矾
天络丝
半夏,滑石,枯矾,巴豆,天南星
杏仁,瓜蒌仁,萝卜子,枳壳,茯苓
半夏,炙草,旋覆花,杏仁,桔梗
半夏,沉香,白术,桔梗,茴香
腻粉,半夏,辰砂,天南星,陈皮
杏仁,知母,半夏,五味子,桔梗
杏仁,款冬花,阿胶,旋覆花,紫菀
杏仁,半夏,款冬花,阿胶,旋覆花
檀香,柿霜,乌梅肉,白冰糖,薄荷
半夏,远志,杏仁,黄芩,白芍
天南星,代赭石,真麝香,乳香,净全蝎
半夏,槟榔,大黄,陈皮,京三棱
铁粉,僵蚕,天南星,蝉壳,茯苓
蝉蜕,天竺黄,白附,僵蚕,金箔
金箔,半夏,天南星,丁香,天麻
半夏,芍药,前胡,旋覆花,甘草
当归,半夏,茯苓,陈皮,甘草
大黄,川甜消,干葛,甘草
半夏,贝母,草乌,枳实,藿梗
半夏,皂角,天南星,白矾
芍药,当归,白芥子,僵蚕,透骨草
半夏,白芍,牡蛎,茯苓,秦艽
海粉,皮硝,连翘,瓜蒌仁,陈皮
天南星,天麻,羚羊角,肉桂,当归
远志,天南星,僵蚕,白附子,天麻
杏仁,半夏,桔梗,前胡,贝母
贝母,杏仁,前胡,黄芩,菊花
杏仁,半夏,桔梗,前胡,贝母
巴豆,郁金
贝母,小蓟,滑石,丹皮,白芍
黄芪,海藻,柴胡,谷精草,党参
贝母,白术,麦门冬,白芍,柴胡
远志,贝母,柴胡,桔梗,赤苓
橘饼
远志,半夏,杏仁,前胡,贝母
地黄,半夏,杏仁,茯苓,贝母
杏仁,贝母,五味子,半夏,紫菀
杏仁,贝母,五味子,陈皮,甘草
地黄,半夏,杏仁,款冬花,贝母
半夏,杏仁,生地,瓜蒌皮,茯苓
粳米,陈皮
白术,半夏,莱菔,连翘,香附
半夏,白术,枳实,陈皮
半夏,黄连,黑山栀,黄芩,桔梗
鱼腥草,前胡,紫菀,四季青,枳壳
