山药,糯米,胡椒末,白糖
西瓜皮,葫芦壳,冬瓜皮,枣仁
粳米,新鲜胡萝卜
玉米渣,胡萝卜
扁豆,白术,山药,芍药,茯苓
粳米,白糖,新鲜红薯
山药,砂仁,莪术,益智仁,白梅花
神曲,海粉,黄芩,青黛
黄芪,山药,茯苓皮,丹参,泽兰
白术,山楂,柴胡,神曲,巴戟天
槐角米,白于术
猪胆粉,绿豆,板蓝根,五味子,柴胡
白术,茯苓,陈皮,川芎,牛膝
神曲,郁金,全瓜蒌,甘草,片姜黄
白术,茯苓,芍药,陈皮,草果仁
陈皮,干生姜,甘草,人参,木瓜
陈皮,厚朴,干姜,甘草
扁豆,芜荑,砂仁,神曲,神曲
神曲,皂角,杏仁,山檀,生姜
神曲,麦芽,厚朴,甘草,陈皮
炒麦芽,鸡内金,白术,神曲,连翘
鸡内金
粳米,鲜韭菜,食盐
白术,山药,莪术,山楂,丹参
苍术,蒌仁,花椒,白术,麦芽
砂仁,川芎,陈皮,香附,枳实
白术,陈皮,藿香,神曲,肉豆蔻
砂仁,白术,薄荷,茯苓,人参
白术,茯苓,薏仁,黄连,玄参
苍术,山药,白术,黄连,匾蓄
白术,茯苓,泽泻
山楂,菊花
白术,黄连,川芎,地榆,黄芩
白术,生姜,白姜蚕,陈皮,黄芩
山楂,白术,麦芽,山药,神曲
白术,贝母,陈皮,薄荷,茯苓
芡实,山药,白术,薏仁,肉桂
诃子,肉豆蔻,草豆蔻,木香,翼首草
诃子,肉豆蔻,草豆蔻,木香,翼首草
巴戟,盐花,川椒,硇砂,黑附子
神曲,诃子,肉豆蔻,缩砂仁,高良姜
青盐,茴香,厚朴,汉椒
扁豆,苍术,茯苓,车前,姜连
白术,神曲,肉豆蔻,茱萸,小麦蘖
韭菜,生姜,牛奶
神曲,食糖,生姜
薏仁,白术,神曲,茯苓,谷蘖
白术,牡蛎,芍药,麻黄根,人参
白术,藿香,木香,柴胡,干葛
白术,丹皮,茯苓,山栀,芍药
白术,薄荷,丹皮,柴胡,茯苓
黄芪,砂仁,白术,菟丝子,山药
菟丝子,生黄耆,砂仁,白术,枸杞
白术,橘络,生鸡内金,天竺黄,灯心
苍术,白术,生草,升麻,茯苓
苍术,白术,生草,升麻,茯苓
白术,三七,牡蛎,干姜炭,茯苓
白术,白藓皮,茯苓,丹皮,紫草
白术,白鲜皮,黄芩,丹皮,紫草
山药,川芎,甘草,干姜,当归
鸡血藤,白术,山药,生黄耆,炒陈曲
芡实,菟丝子,莲须,益智仁,鸡冠花
白术,缩砂仁,甘草,陈皮,干姜
白术,辣桂,槟榔,陈皮,木香
白术,山楂,麦芽,神曲,枳实
山楂,白术,半夏,麦芽,枳实
苍术,黄连,枳实,白术,神曲
建莲肉,枇杷叶50,蜜半杯,枣仁,大梨
白术,肉豆蔻,木香,黑附子,甘草
白术,川芎,升麻,生地
黄芪,白术,龙眼肉,山栀,柴胡
砂仁,白术,谷芽,山楂,生姜
白术,党参,续断,茯苓,蕲艾
神曲,生料平胃散,麦芽
白术,茯苓,麦冬,人参减半,香薷
白果,黄芪,肉桂,当归,阿胶
扁豆,山药,薏仁,茯苓,地黄
白术,党参,茯苓,莪术,牛膝
白术,川芎,陈皮,泽兰叶,香附
白术,金樱子,莲须,益智仁,党参
山楂,神曲,白术,茯苓,陈皮
苍术,白术,川芎,山楂
白术,陈皮,党参,甘草,蔓荆子
苍术,白术,赤苓,陈皮,黄柏
白术,茯苓,黑附子,厚朴,干姜
白术,竹叶,罂粟壳,金樱子,牡蛎
白术,黄连,地骨皮,灯草,木通
砂仁,白术,黄连,木香,茯苓
白术,薏仁,五加皮,川芎,木香
苍术,地黄,茯苓,陈皮,丁香
苍术,地黄,茯苓,陈皮,丁香
扁豆,茯苓,砂仁,薏仁,党参
砂仁,山药,茯苓,于术,丹皮
苍术,陈皮,茯苓,厚朴,人参
苍术,山药,白术,白芷,当归
砂仁,白术,莪术,川芎,青皮
扁豆,白术,砂仁,木香,泡参
白术,山楂,麦芽,厚朴,神曲
鸡血藤,白术,川芎,茯苓,桂枝
白术,茯苓,山药,川芎,地黄
白术,川芎,生姜,木香,茯苓
苍术,于术,木香,草豆蔻,党参
良姜,益智仁,肉豆蔻,诃子,茯苓
扁豆,山药,芡实,白术,茯苓
白术,竹叶,山栀,灯心,茯苓皮
扁豆,山药,芡实,白术,茯苓
扁豆,芡实,山药,白术,茯苓
扁豆,芡实,山药,薏仁,豆蔻
白术,山楂,芍药,贝母,陈皮
白术,菟丝子,续断,茯苓,党参
白蔻仁,麦芽,白术,山药,神曲
芡实,山药,薏仁,山楂,神曲
扁豆,山药,芡实,白术,砂仁
苍术,荆芥,木香,羌活,茯苓
白术,米仁,鸡内金,谷芽,丹参
白术,生黄耆,生姜皮,桂枝,防己
白术,鸡血藤,丹参,茯苓,陈皮
白术,黄连,党参,茱萸,甘草
芡实,白术,贝母,建莲,饭党
苍术,山楂,神曲,甘草,陈皮
白术,川芎,陈皮,黑姜,人参
白术,贝母,人参,知母,陈皮
苍术,贝母,白术,神曲,山楂
白芨,鸡内金,白术,薏仁,山药
扁豆,白术,山药,熟地,肉豆蔻
白术,山楂,陈皮,麦芽,党参
山药,麦芽,砂仁,肉豆蔻,山楂
白术,山楂,陈皮,麦芽,枳实
山楂,神曲,白术,茯苓,川芎
炒麦芽,黄连,五谷虫,鸡肫皮,山楂
山楂,山药,白术,建莲肉,茯苓
砂仁,山楂,山药,白术,黄连
扁豆,山药,芡实,苍术,白术
白术,神曲,茯苓,黄连,楂肉
艾,香附
扁豆,大麦芽,芡实,山药,薏仁
白术,茯苓,黄连,党参,木香
蒸饼
苍术,砂仁,莱菔,神曲,木香
莱菔,砂仁,莪术,白术,神曲
山楂,白术,白豆蔻,柴胡,青皮
扁豆,山药,砂仁,枳壳,鸡内金
白术,陈皮,枳实,厚朴
白术,神曲,枳实,干生姜,草豆蔻
苍术,白术,山楂,黄连,薏仁
粳米,龙眼肉,枣仁
白术,附片,生姜,牡蛎,龙骨
黄芪,白术,山药,维生素D,2
粳米,鹿头肉,香子,蔓荆子,高良姜
粳米,落花生,冰糖
扁豆,山药,白术,薏仁,神曲
粳米,嫩莲实
扁豆,山药,芜荑,使君子,神曲
苍术,生姜,肉豆蔻,山楂,木通
或加肉桂,熟地,干姜,甘草,当归
砂仁,山楂,山药,白术,茯苓
山楂,山药,白术,神曲,黄连
白术,茯苓,干姜,苏子,人参
白术,干姜,甘草,人参
白术,茯苓,干姜,半夏,人参
白术,干姜,甘草,人参
麦芽,神曲,莪术,山楂,木香
仙灵脾,黄酒,黑豆皮,生姜,陈皮
柿饼,栗子肉
黄芪,白术,三七,白芨,菟丝子
荜澄茄,肉豆蔻,丁香,片子姜黄,青皮
荜澄茄,肉豆蔻,丁香,片子姜黄,青皮
诃子,木香,山柰,大黄,碱花
诃子,木香,山柰,大黄,碱花
白术,茯苓,陈皮,半夏,人参
白术,茯苓,党参,陈皮,乌梅
白术,茯苓,陈皮,半夏,人参
香茹,檀香,木香,茯苓,厚朴
白术,小麦,茯苓,陈皮,半夏
白术,白糖,陈皮,麦芽,神曲60克米粉
芡实,白术,山药,茯苓,金楔子
白术,茯苓,牡蛎,麻黄根,人参
白术,芜荑,桂,黑附子,木香
白术,太子参,茯苓,萆薢,甘草
白术,茱萸,肉豆蔻,防风,茯苓
荆三棱,枳亮,诃子,白术,前胡
山楂,神曲,丹参,郁金,川芎
麦芽,砂仁,山楂,蔻仁,白术
扁豆,车前,丹参,白芍,谷芽
神曲,陈皮,莪术,三棱,延胡索
粳米,鲜荠菜
黄芪,薏仁,白术,制附片,茯苓
黄芪,薏仁,白术,丹参,党参
黄芪,白芨,白芍,甘松,元胡
芡实,山药,白糖,糯米粉
芡实,白术,菟丝子,山药,金樱子
使君子,黄连,白术,石膏,黄芩
薏仁,败酱草,白术,鱼腥草,茯苓
苍术,白术,菟丝子,防风,柴胡
扁豆,白术,茯苓,白芍,厚朴
白术,黑附子,陈皮,厚朴,草果仁
山药,山楂,白术,莲子,茯苓
山药,白术,山楂,茯苓,陈皮
丁香3O克,3O克,血竭,茯苓,甘草
黄芪,山药,砂仁,白术,木香
白术,贝母,枣仁,木香,陈皮
缩砂仁,肉豆蔻,陈皮,草果子,蓬莪茂
苍术,白术,良姜,甘草,陈皮
白术,陈皮,芍药,枳实
生白芍,砂仁,木香,片姜黄,蔻仁
砂仁,大米
扁豆,丹皮,茯苓,陈皮,藿香
白术,山药,牛膝,茱萸,熟地
白术,柴胡,茯苓,肉桂,半夏
白术,茯苓,黑附子,陈皮,木香
扁豆,山药,白术,黄柏,鹿茸
菟丝子,白术,山药,川芎,枸杞
芡实米,金樱子
神曲,赤小豆,小枳实,车前草,茯苓
芡实,山药,白术,肉豆蔻,茯苓
芡实,山药,白术,肉豆蔻,茯苓
白术,白糖,益智仁,白面粉,鲜生姜
山药,枣仁,紫荆皮
粳米,山楂,砂糖
白术,陈皮,干姜,肉桂
白术,茯苓,猪苓,泽泻
山药,肉豆蔻,厚朴,半夏
白术,党参,茯苓,莪术,牛膝
白术,茯苓,党参,甘草
白术,川芎,陈皮,香附,芍药
苍术,薏仁,茯苓,熟地,苍耳子
苍术,锁阳,龙骨,山药,桂圆肉
扁豆,白术,茯苓,厚朴,陈皮
砂仁,白术,藿香,茯苓,木香
苍术,茴香,乌头
白术,木通,茯苓,瞿麦,猪苓
白术,川芎,天麻,独活,当归
白术,白藓皮,川芎,茯苓,白芷
黄芪,鸡血藤,覆盆子,山药,莲子
赤小豆,木香,陈皮,白樟柳根
肉豆蔻,黑牵牛,陈皮,30屯,陈米
谷芽,菟丝子,砂仁,白术,山药
鲜土豆
猪脊骨,茯苓
白术,茯苓,良姜,丹参,党参
附片,白术,黄连,生姜,茯苓
菟丝子,覆盆子,白术,山药,枸杞
白术,黑姜L,厚朴,草豆蔻,茯苓
神曲,山楂,白术,茯苓,党参
苍术,白术,山药,陈皮,甘草
苍术,鹿衔草,白花蛇舌草,鱼腥草,益母草
白术,天冬,枸杞,糯米,细曲
陈皮,生姜皮,茯苓皮,桑白皮,大腹皮
葱,盐,鸡,姜,乌灵参
木香,党参,炒广皮,生冬术,清炙草
扁豆,厚朴,香薷
砂仁,木香,藕粉白糖
砂仁,白砂糖,香橼
砂仁,白术,木香,枳实
砂仁,白术,木香,枳实
白术,茯苓,党参,炒广皮,西砂仁
白术,茯苓,芍药,柴胡,当归
白术,薄荷,茯苓,柴胡,甘草
白术,薄荷,茯苓,柴胡,甘草
苍术,白术,茯苓,龙骨,丹参
干莲肉,菟丝子,茯苓,五味子
白术,胡椒,缩砂仁,良姜,红豆
白术,茯苓,枳实,干姜
麦芽,苍术,神曲,川芎,黄连
山楂,谷芽,槟榔,积壳等份
砂仁,白术,神曲,枳实,川芎
神曲,麦芽,干姜,炒乌梅肉
白术,茯苓,黑附子,大黄,人参
白术,木香,椒目,茯苓,葶苈
白术,地栗粉,厚朴,茯苓,人参
白术,神曲,九肋鳖甲,木香,半夏
生黄耆,牡蛎,三棱,莪术,贝母
陈皮,白术,黄连,姜黄,曲
苍术,莱菔,黄连,神曲,陈皮
神曲,草果,干姜,木香,陈皮
缩砂仁,神曲,陈皮,半夏,草果仁
白术,茯苓,知母,花粉,人参
山药,小米白糖
白胡椒,肉桂,丁香,茱萸
苍术,炒麦芽,砂仁,白术,茯苓
苍术,炒麦芽,茯苓,陈皮,六一散
白藓皮,何首乌,川芎,枸杞,地肤子
饴糖
扁豆,白术,茯苓,人参,甘草
薏仁
粳米,羊骨左右,生姜葱白,细盐
嫩肥羊肉,糯米,木香,曲,杏仁
苍术,山药,甘草,良姜,茴香
陈皮,诃子,甘草,丁香,青皮
白术,龟板胶,陈皮,木香,肉桂
诃子,山药,甘草,陈皮,丁香
黄芪,白术,山药,丹参,山楂
党参,茯苓,炮山甲粉,地鳖虫,玉米须
苍术,白术,牡蛎,山楂,佛手
白术,山楂,党参,竹茹,茯苓
苍术,茯苓,诃子,升麻,白术
白术,黄芪,赤芍,桂枝,生姜
苍术,茯苓,何首乌,地黄,地骨皮
砂仁,甘草,甘草,地榆
白术,川芎,茯苓,柴胡,钩藤钩
白术,麦冬,郁金,丹皮,甘草
白术,茯苓,陈皮,甘草,人参
桂圆肉,猫肉,党参
檀香,木香,缩砂仁,藿香,丁香
砂仁,檀香,木香,藿香,丁香
扁豆,山药,白术,莲子肉,地黄
白术,陈皮,厚朴,当归,皂矾
白术,苍术,茯苓,陈皮,神曲
桂圆肉,建莲肉,薏仁,山药,木香
芡实,山药,糯米,薏仁,莲子肉
仙灵脾,鹿衔草,白花蛇舌草,桂枝,茯苓
扁豆,山药,芡实,薏仁,白术
扁豆,山药,丹参,檀香,白芍
白术3巴豆,缩砂仁,代赭石,杏仁,白豆蔻
白术,茯苓,猪苓
葱,粳米,豆豉,椒,姜
白术,生姜,半夏,陈皮,藿香
白术,枳实
白术,枳实
白术,茯苓,枳实,半夏,蓬莪茂
苍术,白术,茯苓,芍药,益智仁
白术,肉豆蔻,藿香,缩砂仁,白豆蔻
生黄耆,野台参,于术,知母,威灵仙
5条,当归,于术,人参,30克
白术,陈皮,厚朴,没药,当归
大麦芽,神曲,陈皮,草豆蔻,干姜
砂仁,姜黄,白术,茯苓,黄连
扁豆,山药,燕窝,莲肉,人参
苍术,小麦芽,干姜,神曲,良姜
槐皮,苦楝皮,雄黄
