枣仁,半夏,丁香,厚朴,生姜
杏仁,麻黄,桑白皮,茯苓,甘草
天南星,荆芥,天麻,全蝎,独活
天南星,荆芥,天麻,全蝎,独活
天南星,轻粉,皂角,半夏,寒水石
天南星,蒌仁,枳壳,沉香,大黄
夏枯草,牡蛎,红花,蜈蚣,甘草
五倍子
明矾,白僵蚕
贝母,半夏,连翘,神曲,昆布
干姜,半夏,桔梗,茯苓
天南星,麦蘖,皂角,半夏,杏仁
天南星,明矾,白附子,半夏
天南星,皂角,半夏,白矾,生姜
天络丝
天南星,半夏,滑石,干姜,巴豆
天南星,半夏,杏仁,枳壳,萝卜子
半夏,莪术,杏仁,五味子,桔梗
半夏,麦蘖,鳖甲,荆三棱,蓬莪术
天南星,半夏,腻粉,人参,皂
半夏,杏仁,款冬,紫菀,覆花
贝母,米壳,紫菀,杏仁,五味子
麻黄,半夏,杏仁,五味子,桔梗
檀香,柿霜,乌梅肉,硼砂,薄荷
半夏,天冬,紫菀,杏仁,黄芩
天南星,梅冰片,直僵蚕,乳香,真麝香
半夏,京三棱,黑牵牛,枳壳,大黄
天南星,朱砂,雄黄,全蝎,蛇黄
天竺黄,全蝎,蝉蜕,金箔,丹参
丁香,天南星,半夏,天麻,金箔
芍药,半夏,麻黄,荆芥,前胡
半夏,当归,熟地,陈皮,茯苓
干葛,甘草,大黄,川甜消
天南星,贝母,半夏,防己,黄柏
天南星,半夏,皂角,白矾
透骨草,芍药,苏梗,片姜黄,菖蒲
半夏,秦艽,葛根,天麻,杭白菊
桔梗,连翘,陈皮,香附,青黛
天南星,枣仁,天麻,肉桂,当归
天南星,远志,天麻,木香,菖蒲
贝母,葛根,木香,半夏,杏仁
贝母,麻黄,杏仁,黄芩,菊花
贝母,葛根,木香,半夏,杏仁
巴豆,郁金
贝母,滑石,紫菀,白芍,丹皮
荆芥,海藻,党参,大青叶,黄芪
贝母,当归,地骨皮,香附,柴胡
贝母,远志,柴胡,桔梗,玄参
橘饼
贝母,紫菀,半夏,木香,苏子
地黄,栝楼,贝母,紫菀,半夏
贝母,紫菀,马兜铃,半夏,白矾
贝母,米壳,五味子,杏仁,白矾
地黄,贝母,紫菀,半夏,麦冬
贝母,苏子,杏仁,半夏,紫菀
粳米,陈皮
半夏,神曲,连翘,香附,莱菔
半夏,陈皮,枳实,白术
半夏,黄连,黑山栀,桔梗,黄芩
麻黄,紫菀,四季青,鱼腥草,甘草
天麻,钩藤,薄荷,丹参,天竺黄
杏仁,五味子,百合,天门冬,人参
天南星,半夏,麦芽,白芥子,神曲
贝母,麻黄,杏仁,知母,桔梗
半夏,栝楼,麻黄,杏仁,广皮红
半夏,当归,五味子,麻黄,杏仁
半夏,草果,生姜,青皮,广皮
半夏,黄柏,桔梗,黄芩,黄连
半夏,当归,桔梗,黄芩,白芍
半夏,香附,粉草,人参,茯苓
半夏,牡蛎,党参,干姜炭,三七
贝母,五味子,党参,熟地,沙参
紫菀,白前,旋复花,桔梗,陈皮
半夏,五味子,干姜,甘草,人参
半夏,柴胡,竹茹,麦冬,桔梗
半夏,钩藤,竹茹,葛根,丹参
菖蒲,藿香,何首乌,川连,杏仁
半夏,木香,五灵脂,枳壳,甘草
菖蒲,远志,茯苓,郁金,琥珀
半夏,厚朴,远志,紫苏,茯神
天南星,砂仁,半夏,苏梗,益智仁
木香,半夏,厚朴,菖蒲,紫苏
杏仁,刀豆子,玫瑰花,砂仁,赤芍
半夏,当归,海藻,党参,夏枯草
半夏,香附,桔梗,白术,前胡
杏仁,桔梗,黄芩,枇杷叶,款冬花
半夏,苦参,昆布,海藻,当归
半夏,地黄,当归,竹茹,桔梗
半夏,生姜,茯苓,茅术,甘草
柿霜,白粉,薄荷,乌梅肉,硼砂
陈皮,于术,胆南星,蒌子,苏叶子
干青果,竹茹,焦三仙,陈皮
炙桑白皮,三仙饮
焦三仙,陈皮
天麻,白附子,全蝎,杭芍,菖蒲
五味子,破故纸,地黄,苍术,莲肉
贝母,元参,海藻,蒲公英,地丁
半夏,麻黄,黄芩,干姜,白芍
天南星,栝楼,木香,半夏,黄连
贝母,半夏,黄耆,鳖甲,黄芩
芍药,贝母,半夏,栝楼,天南星
穿心莲,葎草,黄精,百部,白及
倭硫,朱砂
半夏,半夏,藿香,2味和作一处,桔梗
杏仁,麻黄,桑白皮,薄荷,陈皮
杏仁,百合,大黄,天冬,桑白皮
槐角子,陈皮,侧柏叶,枸杞
半夏,醋2500毫升
川姜,钟乳粉,款冬花,白术,甘草
杏仁,麻黄,款冬花,甘草
灵脂,神曲,榔片,生芍,陈皮
半夏,桂,枳壳,桔梗
厚朴,生老姜
天南星,半夏,木香,白矾,葶苈
京三棱,半夏,大腹子,木香,青皮
朱砂,阿胶,麦门冬,甘草,茯苓
朱砂,阿胶,麦门冬,甘草,茯苓
鸡苏叶,桔梗,荆芥,龙脑,紫苏
天南星,白矾,半夏,草龙脑
元参,麦冬,天冬,山栀,牛蒡
半夏,龙骨,生姜,牡蛎,茯苓
杏仁,龙延香,麻黄,白芥子,青黛
杏仁,麻黄,白芥子,青黛,回克
杏仁,白芥子,桅子,麻黄,瓜萎皮
万年干,硼砂,青礞石,石膏
桔梗,淡条芩,细川连,甘草,上广皮
栝楼,橘叶,皂角刺,甘草,连翘
紫菀,桔梗,五味子,桑白皮,杏仁
新鲜萝卜约,粳米
新鲜白萝卜
贝母,白糖,豆腐皮,莱菔,白果仁
粳米,莱菔
莱菔
贝母,肉桂,款冬花,甘草,鹅管石
醋,绿茶
明矾,丹参
杏仁,桔梗,葶苈,马兜铃,陈皮
葛根,半夏,党参,木香,黄芩
半夏,干姜,苏子,人参,甘草
半夏,干姜,人参,甘草,茯苓
贝母,麦冬,萝卜,鲜姜,秋梨
草乌,半夏,香附,茴香,茯苓
莱菔,藿香,砂仁,制野军,果仁
贝母,元参,山栀,黄连,大黄
半夏,麻黄,杏仁,紫菀,生草
半夏,杏仁,甘草,陈皮,茯苓
